,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5451,Eintracht Frankfurt,Freiburg,1.75331,1.38084,1,0,h,2014-08-23 14:30:00
5461,Eintracht Frankfurt,Wolfsburg,1.59633,1.00484,2,2,a,2014-08-30 14:30:00
5418,Eintracht Frankfurt,Augsburg,0.845902,1.00028,0,1,h,2014-09-14 14:30:00
5423,Eintracht Frankfurt,Schalke 04,0.83546,1.78008,2,2,a,2014-09-20 14:30:00
5432,Eintracht Frankfurt,Mainz 05,1.45137,1.09799,2,2,h,2014-09-23 19:00:00
5446,Eintracht Frankfurt,Hamburger SV,0.232889,1.09327,2,1,a,2014-09-28 16:30:00
5389,Eintracht Frankfurt,FC Cologne,2.49948,1.12408,3,2,h,2014-10-04 17:30:00
5400,Eintracht Frankfurt,Paderborn,0.558647,2.37575,1,3,a,2014-10-19 16:30:00
5402,Eintracht Frankfurt,VfB Stuttgart,2.97969,3.13433,4,5,h,2014-10-25 14:30:00
5349,Eintracht Frankfurt,Hannover 96,0.353128,1.11725,0,1,a,2014-11-01 14:30:00
5360,Eintracht Frankfurt,Bayern Munich,0.222447,3.03467,0,4,h,2014-11-08 14:30:00
5367,Eintracht Frankfurt,Borussia M.Gladbach,1.73996,0.595484,3,1,a,2014-11-22 14:30:00
5382,Eintracht Frankfurt,Borussia Dortmund,2.21905,0.769829,2,0,h,2014-11-30 16:30:00
5320,Eintracht Frankfurt,Werder Bremen,3.8335,1.44207,5,2,h,2014-12-07 16:30:00
5321,Eintracht Frankfurt,Hoffenheim,2.42804,3.32968,2,3,a,2014-12-12 19:30:00
5334,Eintracht Frankfurt,Hertha Berlin,2.73817,2.04957,4,4,h,2014-12-17 19:00:00
5343,Eintracht Frankfurt,Bayer Leverkusen,1.45883,0.861769,1,1,a,2014-12-20 14:30:00
5307,Eintracht Frankfurt,Freiburg,1.11886,3.19272,1,4,a,2015-01-31 14:30:00
5263,Eintracht Frankfurt,Wolfsburg,0.948078,1.8612,1,1,h,2015-02-03 19:00:00
5279,Eintracht Frankfurt,Augsburg,2.01179,1.76193,2,2,a,2015-02-08 16:30:00
5286,Eintracht Frankfurt,Schalke 04,1.11898,1.09914,1,0,h,2015-02-14 17:30:00
5292,Eintracht Frankfurt,Mainz 05,0.851176,1.29637,1,3,a,2015-02-21 14:30:00
5304,Eintracht Frankfurt,Hamburger SV,2.21323,1.43145,2,1,h,2015-02-28 17:30:00
5240,Eintracht Frankfurt,FC Cologne,1.89213,1.74567,2,4,a,2015-03-08 14:30:00
5247,Eintracht Frankfurt,Paderborn,1.726,0.634028,4,0,h,2015-03-14 14:30:00
5256,Eintracht Frankfurt,VfB Stuttgart,1.35468,2.22419,1,3,a,2015-03-21 14:30:00
5196,Eintracht Frankfurt,Hannover 96,1.03699,1.33074,2,2,h,2015-04-04 14:30:00
5205,Eintracht Frankfurt,Bayern Munich,0.243596,2.15165,0,3,a,2015-04-11 14:30:00
5213,Eintracht Frankfurt,Borussia M.Gladbach,1.45853,1.06606,0,0,h,2015-04-17 19:30:00
5227,Eintracht Frankfurt,Borussia Dortmund,0.372545,2.47437,0,2,a,2015-04-25 14:30:00
5163,Eintracht Frankfurt,Werder Bremen,1.2158,2.86921,0,1,a,2015-05-02 14:30:00
5173,Eintracht Frankfurt,Hoffenheim,0.906802,0.788645,3,1,h,2015-05-09 14:30:00
5183,Eintracht Frankfurt,Hertha Berlin,0.0408065,1.08366,0,0,a,2015-05-16 14:30:00
5188,Eintracht Frankfurt,Bayer Leverkusen,1.11352,0.836413,2,1,h,2015-05-23 14:30:00
