,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5452,FC Cologne,Hamburger SV,0.522276,0.913337,0,0,h,2014-08-23 14:30:00
5458,FC Cologne,VfB Stuttgart,1.2983,0.722885,2,0,a,2014-08-30 14:30:00
5416,FC Cologne,Paderborn,0.386458,0.327136,0,0,a,2014-09-13 14:30:00
5428,FC Cologne,Borussia M.Gladbach,0.551855,0.772177,0,0,h,2014-09-21 16:30:00
5436,FC Cologne,Hannover 96,0.695122,0.408032,0,1,a,2014-09-24 19:00:00
5442,FC Cologne,Bayern Munich,0.821798,3.46966,0,2,h,2014-09-27 14:30:00
5389,FC Cologne,Eintracht Frankfurt,1.12408,2.49948,2,3,a,2014-10-04 17:30:00
5397,FC Cologne,Borussia Dortmund,0.904346,0.825853,2,1,h,2014-10-18 14:30:00
5401,FC Cologne,Werder Bremen,0.519282,0.514564,1,0,a,2014-10-24 19:30:00
5354,FC Cologne,Freiburg,0.375065,1.46003,0,1,h,2014-11-02 16:30:00
5358,FC Cologne,Hoffenheim,1.30702,1.19994,4,3,a,2014-11-08 14:30:00
5371,FC Cologne,Hertha Berlin,1.12625,0.473541,1,2,h,2014-11-22 17:30:00
5377,FC Cologne,Bayer Leverkusen,0.950144,2.37812,1,5,a,2014-11-29 14:30:00
5317,FC Cologne,Augsburg,1.19112,1.35221,1,2,h,2014-12-06 14:30:00
5325,FC Cologne,Schalke 04,1.14183,1.20569,2,1,a,2014-12-13 14:30:00
5332,FC Cologne,Mainz 05,0.541438,0.482622,0,0,h,2014-12-16 19:00:00
5345,FC Cologne,Wolfsburg,0.401914,0.527607,1,2,a,2014-12-20 17:30:00
5309,FC Cologne,Hamburger SV,1.16042,0.601293,2,0,a,2015-01-31 14:30:00
5267,FC Cologne,VfB Stuttgart,0.310801,0.621159,0,0,h,2015-02-04 19:00:00
5272,FC Cologne,Paderborn,1.03792,0.58064,0,0,h,2015-02-07 14:30:00
5281,FC Cologne,Borussia M.Gladbach,0.390044,0.795179,0,1,a,2015-02-14 14:30:00
5295,FC Cologne,Hannover 96,1.54226,0.979608,1,1,h,2015-02-21 17:30:00
5298,FC Cologne,Bayern Munich,0.494166,3.92268,1,4,a,2015-02-27 19:30:00
5240,FC Cologne,Eintracht Frankfurt,1.74567,1.89213,4,2,h,2015-03-08 14:30:00
5248,FC Cologne,Borussia Dortmund,0.938097,0.5365,0,0,a,2015-03-14 17:30:00
5252,FC Cologne,Werder Bremen,1.76655,0.570166,1,1,h,2015-03-21 14:30:00
5197,FC Cologne,Freiburg,0.844825,0.504147,0,1,a,2015-04-04 14:30:00
5211,FC Cologne,Hoffenheim,2.55523,2.32029,3,2,h,2015-04-12 14:30:00
5216,FC Cologne,Hertha Berlin,0.54042,1.06799,0,0,a,2015-04-18 14:30:00
5226,FC Cologne,Bayer Leverkusen,1.30026,1.19204,1,1,h,2015-04-25 14:30:00
5161,FC Cologne,Augsburg,0.292827,1.43037,0,0,a,2015-05-02 14:30:00
5176,FC Cologne,Schalke 04,1.52646,0.236428,2,0,h,2015-05-10 16:30:00
5181,FC Cologne,Mainz 05,1.01035,1.67686,0,2,a,2015-05-16 14:30:00
5186,FC Cologne,Wolfsburg,0.909494,2.05941,2,2,h,2015-05-23 14:30:00
