,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
24448,RightFoot,OpenPlay,MissedShots,0.08285820484161377,54,2,1,Miiko Albornoz,95,h,Hannover 96,Schalke 04,,2014-08-23 14:30:00,5449,2014,"(0.9019999694824219, 0.5220000076293946)"
24455,Head,OpenPlay,SavedShot,0.2660420536994934,86,2,1,Joselu,866,h,Hannover 96,Schalke 04,Hiroki Sakai,2014-08-23 14:30:00,5449,2014,"(0.9440000152587891, 0.595999984741211)"
24453,RightFoot,OpenPlay,Goal,0.018404193222522736,69,2,1,Joselu,866,h,Hannover 96,Schalke 04,Edgar Prib,2014-08-23 14:30:00,5449,2014,"(0.7380000305175781, 0.35400001525878905)"
24447,RightFoot,OpenPlay,BlockedShot,0.06483519822359085,54,2,1,Joselu,866,h,Hannover 96,Schalke 04,Leonardo Bittencourt,2014-08-23 14:30:00,5449,2014,"(0.8830000305175781, 0.3509999847412109)"
24437,LeftFoot,DirectFreekick,BlockedShot,0.1049063578248024,15,2,1,Christian Pander,4342,h,Hannover 96,Schalke 04,,2014-08-23 14:30:00,5449,2014,"(0.7859999847412109, 0.4490000152587891)"
24439,RightFoot,OpenPlay,MissedShots,0.027019204571843147,36,2,1,Joselu,866,h,Hannover 96,Schalke 04,Edgar Prib,2014-08-23 14:30:00,5449,2014,"(0.774000015258789, 0.395)"
24438,RightFoot,OpenPlay,BlockedShot,0.037280965596437454,21,2,1,Edgar Prib,100,h,Hannover 96,Schalke 04,Miiko Albornoz,2014-08-23 14:30:00,5449,2014,"(0.8769999694824219, 0.7269999694824218)"
24452,LeftFoot,OpenPlay,Goal,0.5784468650817871,66,2,1,Edgar Prib,100,h,Hannover 96,Schalke 04,Leonardo Bittencourt,2014-08-23 14:30:00,5449,2014,"(0.919000015258789, 0.580999984741211)"
24644,RightFoot,SetPiece,MissedShots,0.008874486200511456,65,0,0,Manuel Schmiedebach,108,a,Hannover 96,Mainz 05,,2014-08-31 14:30:00,5463,2014,"(0.6909999847412109, 0.5279999923706055)"
24640,RightFoot,OpenPlay,SavedShot,0.013269898481667042,56,0,0,Hiroshi Kiyotake,396,a,Hannover 96,Mainz 05,Leon Andreasen,2014-08-31 14:30:00,5463,2014,"(0.7040000152587891, 0.5670000076293945)"
24631,RightFoot,OpenPlay,BlockedShot,0.019745226949453354,28,0,0,Leonardo Bittencourt,262,a,Hannover 96,Mainz 05,Hiroshi Kiyotake,2014-08-31 14:30:00,5463,2014,"(0.745999984741211, 0.3920000076293945)"
24636,LeftFoot,FromCorner,SavedShot,0.014038555324077606,43,0,0,Miiko Albornoz,95,a,Hannover 96,Mainz 05,,2014-08-31 14:30:00,5463,2014,"(0.769000015258789, 0.635)"
24642,RightFoot,OpenPlay,SavedShot,0.0172028336673975,63,0,0,Joselu,866,a,Hannover 96,Mainz 05,Leon Andreasen,2014-08-31 14:30:00,5463,2014,"(0.735, 0.6020000076293945)"
24639,LeftFoot,OpenPlay,BlockedShot,0.055878981947898865,50,0,0,Hiroshi Kiyotake,396,a,Hannover 96,Mainz 05,,2014-08-31 14:30:00,5463,2014,"(0.86, 0.35700000762939454)"
24641,RightFoot,OpenPlay,SavedShot,0.011686589568853378,57,0,0,Leon Andreasen,99,a,Hannover 96,Mainz 05,,2014-08-31 14:30:00,5463,2014,"(0.7140000152587891, 0.47400001525878904)"
24626,OtherBodyPart,OpenPlay,MissedShots,0.05083269253373146,13,0,0,Joselu,866,a,Hannover 96,Mainz 05,Christian Pander,2014-08-31 14:30:00,5463,2014,"(0.9159999847412109, 0.445)"
