,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
24557,Head,OpenPlay,MissedShots,0.04168860614299774,87,2,2,Shinji Okazaki,754,a,Mainz 05,Paderborn,Yunus Malli,2014-08-24 14:30:00,5454,2014,"(0.9280000305175782, 0.4370000076293945)"
24544,RightFoot,SetPiece,MissedShots,0.0639345645904541,44,2,2,Nikolce Noveski,4253,a,Mainz 05,Paderborn,,2014-08-24 14:30:00,5454,2014,"(0.8969999694824219, 0.634000015258789)"
24542,RightFoot,SetPiece,Goal,0.604059100151062,32,2,2,Shinji Okazaki,754,a,Mainz 05,Paderborn,,2014-08-24 14:30:00,5454,2014,"(0.94, 0.53)"
24554,RightFoot,DirectFreekick,MissedShots,0.040590766817331314,79,2,2,Johannes Geis,336,a,Mainz 05,Paderborn,,2014-08-24 14:30:00,5454,2014,"(0.875, 0.8859999847412109)"
24546,RightFoot,OpenPlay,MissedShots,0.01212251465767622,48,2,2,Johannes Geis,336,a,Mainz 05,Paderborn,Joo-Ho Park,2014-08-24 14:30:00,5454,2014,"(0.695, 0.6659999847412109)"
24541,RightFoot,DirectFreekick,SavedShot,0.040805965662002563,32,2,2,Johannes Geis,336,a,Mainz 05,Paderborn,,2014-08-24 14:30:00,5454,2014,"(0.7169999694824218, 0.64)"
24537,LeftFoot,OpenPlay,MissedShots,0.01488678902387619,9,2,2,Johannes Geis,336,a,Mainz 05,Paderborn,Julian Baumgartlinger,2014-08-24 14:30:00,5454,2014,"(0.6959999847412109, 0.549000015258789)"
24555,LeftFoot,OpenPlay,BlockedShot,0.09439828991889954,81,2,2,Gonzalo Jara,50,a,Mainz 05,Paderborn,Julian Baumgartlinger,2014-08-24 14:30:00,5454,2014,"(0.8919999694824219, 0.375)"
24553,Head,FromCorner,MissedShots,0.0751238614320755,77,2,2,Niko Bungert,39,a,Mainz 05,Paderborn,Johannes Geis,2014-08-24 14:30:00,5454,2014,"(0.9069999694824219, 0.4620000076293945)"
24540,RightFoot,OpenPlay,SavedShot,0.008050228469073772,31,2,2,Ja-Cheol Koo,271,a,Mainz 05,Paderborn,,2014-08-24 14:30:00,5454,2014,"(0.7419999694824219, 0.8390000152587891)"
24552,RightFoot,OpenPlay,BlockedShot,0.024662625044584274,77,2,2,Ja-Cheol Koo,271,a,Mainz 05,Paderborn,Julian Baumgartlinger,2014-08-24 14:30:00,5454,2014,"(0.750999984741211, 0.585)"
24559,RightFoot,Penalty,Goal,0.75777667760849,93,2,2,Ja-Cheol Koo,271,a,Mainz 05,Paderborn,,2014-08-24 14:30:00,5454,2014,"(0.885, 0.5)"
24558,Head,OpenPlay,ShotOnPost,0.029098590835928917,89,2,2,Shinji Okazaki,754,a,Mainz 05,Paderborn,Christoph Moritz,2014-08-24 14:30:00,5454,2014,"(0.8880000305175781, 0.4470000076293945)"
24538,Head,FromCorner,MissedShots,0.058682337403297424,14,2,2,Shinji Okazaki,754,a,Mainz 05,Paderborn,Johannes Geis,2014-08-24 14:30:00,5454,2014,"(0.9280000305175782, 0.525)"
24643,RightFoot,OpenPlay,BlockedShot,0.057536009699106216,63,0,0,Yunus Malli,45,h,Mainz 05,Hannover 96,Ja-Cheol Koo,2014-08-31 14:30:00,5463,2014,"(0.845999984741211, 0.33799999237060546)"
24647,RightFoot,OpenPlay,BlockedShot,0.3567869961261749,85,0,0,Filip Djuricic,1233,h,Mainz 05,Hannover 96,,2014-08-31 14:30:00,5463,2014,"(0.93, 0.629000015258789)"
24633,LeftFoot,OpenPlay,MissedShots,0.040259987115859985,33,0,0,Julian Baumgartlinger,42,h,Mainz 05,Hannover 96,Shinji Okazaki,2014-08-31 14:30:00,5463,2014,"(0.8390000152587891, 0.54)"
24629,RightFoot,OpenPlay,MissedShots,0.05775638669729233,22,0,0,Shinji Okazaki,754,h,Mainz 05,Hannover 96,Christoph Moritz,2014-08-31 14:30:00,5463,2014,"(0.95, 0.30100000381469727)"
24634,LeftFoot,FromCorner,MissedShots,0.027968116104602814,37,0,0,Júnior Díaz,15,h,Mainz 05,Hannover 96,,2014-08-31 14:30:00,5463,2014,"(0.895, 0.375)"
24648,RightFoot,OpenPlay,MissedShots,0.02125663310289383,85,0,0,Daniel Brosinski,38,h,Mainz 05,Hannover 96,,2014-08-31 14:30:00,5463,2014,"(0.7619999694824219, 0.41)"
24638,RightFoot,DirectFreekick,SavedShot,0.0729915052652359,48,0,0,Johannes Geis,336,h,Mainz 05,Hannover 96,,2014-08-31 14:30:00,5463,2014,"(0.765, 0.4)"
24627,Head,OpenPlay,MissedShots,0.058157194405794144,14,0,0,Christoph Moritz,54,h,Mainz 05,Hannover 96,Ja-Cheol Koo,2014-08-31 14:30:00,5463,2014,"(0.95, 0.39)"
24646,LeftFoot,OpenPlay,MissedShots,0.055310796946287155,82,0,0,Christoph Moritz,54,h,Mainz 05,Hannover 96,Julian Baumgartlinger,2014-08-31 14:30:00,5463,2014,"(0.845999984741211, 0.3820000076293945)"
24637,Head,FromCorner,MissedShots,0.056224822998046875,46,0,0,Ja-Cheol Koo,271,h,Mainz 05,Hannover 96,Johannes Geis,2014-08-31 14:30:00,5463,2014,"(0.9330000305175781, 0.5979999923706054)"
24649,Head,SetPiece,SavedShot,0.05440675839781761,86,0,0,Niko Bungert,39,h,Mainz 05,Hannover 96,Johannes Geis,2014-08-31 14:30:00,5463,2014,"(0.8930000305175781, 0.5540000152587891)"
24650,Head,FromCorner,MissedShots,0.08533036708831787,86,0,0,Niko Bungert,39,h,Mainz 05,Hannover 96,Johannes Geis,2014-08-31 14:30:00,5463,2014,"(0.9269999694824219, 0.4329999923706055)"
24632,Head,SetPiece,MissedShots,0.05577949807047844,32,0,0,Niko Bungert,39,h,Mainz 05,Hannover 96,Johannes Geis,2014-08-31 14:30:00,5463,2014,"(0.9169999694824219, 0.5370000076293945)"
24628,RightFoot,OpenPlay,MissedShots,0.009038952179253101,17,0,0,Johannes Geis,336,h,Mainz 05,Hannover 96,,2014-08-31 14:30:00,5463,2014,"(0.675, 0.43099998474121093)"
24980,RightFoot,OpenPlay,Goal,0.5272861123085022,90,3,1,Shinji Okazaki,754,a,Mainz 05,Hertha Berlin,Yunus Malli,2014-09-13 14:30:00,5415,2014,"(0.9169999694824219, 0.48200000762939454)"
24970,LeftFoot,OpenPlay,Goal,0.5211531519889832,35,3,1,Shinji Okazaki,754,a,Mainz 05,Hertha Berlin,,2014-09-13 14:30:00,5415,2014,"(0.914000015258789, 0.5)"
24958,Head,SetPiece,SavedShot,0.06301717460155487,0,3,1,Sami Allagui,4304,a,Mainz 05,Hertha Berlin,Johannes Geis,2014-09-13 14:30:00,5415,2014,"(0.8969999694824219, 0.47)"
24976,RightFoot,OpenPlay,Goal,0.8788843750953674,69,3,1,Sami Allagui,4304,a,Mainz 05,Hertha Berlin,Júnior Díaz,2014-09-13 14:30:00,5415,2014,"(0.9740000152587891, 0.46599998474121096)"
24966,RightFoot,FromCorner,MissedShots,0.012948952615261078,29,3,1,Daniel Brosinski,38,a,Mainz 05,Hertha Berlin,,2014-09-13 14:30:00,5415,2014,"(0.7119999694824218, 0.375)"
