,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5454,Paderborn,Mainz 05,0.35254,1.84123,2,2,h,2014-08-24 14:30:00
5459,Paderborn,Hamburger SV,2.37004,1.14049,3,0,a,2014-08-30 14:30:00
5416,Paderborn,FC Cologne,0.327136,0.386458,0,0,h,2014-09-13 14:30:00
5424,Paderborn,Hannover 96,2.05175,0.550873,2,0,h,2014-09-20 14:30:00
5430,Paderborn,Bayern Munich,0.402844,3.48286,0,4,a,2014-09-23 19:00:00
5443,Paderborn,Borussia M.Gladbach,1.5747,1.43504,1,2,h,2014-09-27 14:30:00
5387,Paderborn,Bayer Leverkusen,1.12552,1.60118,2,2,a,2014-10-04 14:30:00
5400,Paderborn,Eintracht Frankfurt,2.37575,0.558647,3,1,h,2014-10-19 16:30:00
5404,Paderborn,Hoffenheim,0.673226,1.5035,0,1,a,2014-10-25 14:30:00
5355,Paderborn,Hertha Berlin,1.96835,0.925677,3,1,h,2014-11-02 16:30:00
5357,Paderborn,Augsburg,0.968616,1.66135,0,3,a,2014-11-08 14:30:00
5370,Paderborn,Borussia Dortmund,0.638364,1.92358,2,2,h,2014-11-22 14:30:00
5379,Paderborn,Werder Bremen,0.839366,4.47976,0,4,a,2014-11-29 14:30:00
5316,Paderborn,Freiburg,1.38276,0.883469,1,1,h,2014-12-06 14:30:00
5329,Paderborn,Wolfsburg,0.996117,3.22294,1,1,a,2014-12-14 16:30:00
5338,Paderborn,Schalke 04,1.41446,1.14959,1,2,h,2014-12-17 19:00:00
5344,Paderborn,VfB Stuttgart,0.933283,0.772123,0,0,a,2014-12-20 14:30:00
5306,Paderborn,Mainz 05,0.717538,2.8788,0,5,a,2015-01-31 14:30:00
5268,Paderborn,Hamburger SV,0.81246,2.21275,0,3,h,2015-02-04 19:00:00
5272,Paderborn,FC Cologne,0.58064,1.03792,0,0,a,2015-02-07 14:30:00
5288,Paderborn,Hannover 96,0.98493,0.858803,2,1,a,2015-02-15 16:30:00
5294,Paderborn,Bayern Munich,0.380499,3.12815,0,6,h,2015-02-21 14:30:00
5231,Paderborn,Borussia M.Gladbach,0.746314,1.43897,0,2,a,2015-03-01 14:30:00
5241,Paderborn,Bayer Leverkusen,0.755297,1.17926,0,3,h,2015-03-08 16:30:00
5247,Paderborn,Eintracht Frankfurt,0.634028,1.726,0,4,a,2015-03-14 14:30:00
5253,Paderborn,Hoffenheim,1.07174,0.267507,0,0,h,2015-03-21 14:30:00
5203,Paderborn,Hertha Berlin,0.563136,1.84498,0,2,a,2015-04-05 16:30:00
5209,Paderborn,Augsburg,2.35597,0.637449,2,1,h,2015-04-11 14:30:00
5217,Paderborn,Borussia Dortmund,0.123904,3.20767,0,3,a,2015-04-18 14:30:00
5229,Paderborn,Werder Bremen,1.96537,0.959164,2,2,h,2015-04-26 14:30:00
5164,Paderborn,Freiburg,1.3154,1.70774,2,1,a,2015-05-02 14:30:00
5175,Paderborn,Wolfsburg,1.26876,1.68486,1,3,h,2015-05-10 14:30:00
5177,Paderborn,Schalke 04,0.87016,1.05307,0,1,a,2015-05-16 14:30:00
5194,Paderborn,VfB Stuttgart,0.538797,2.42856,1,2,h,2015-05-23 14:30:00
