,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
24547,RightFoot,FromCorner,BlockedShot,0.0822686105966568,59,2,2,Marvin Bakalorz,4266,h,Paderborn,Mainz 05,Elias Kachunga,2014-08-24 14:30:00,5454,2014,"(0.905, 0.44299999237060544)"
24545,RightFoot,DirectFreekick,MissedShots,0.033304933458566666,45,2,2,Moritz Stoppelkamp,4296,h,Paderborn,Mainz 05,,2014-08-24 14:30:00,5454,2014,"(0.860999984741211, 0.9180000305175782)"
24556,Head,OpenPlay,Goal,0.010001988150179386,86,2,2,Uwe Hünemeier,4258,h,Paderborn,Mainz 05,Marvin Bakalorz,2014-08-24 14:30:00,5454,2014,"(0.8980000305175782, 0.66)"
24550,RightFoot,FromCorner,BlockedShot,0.0636775866150856,68,2,2,Uwe Hünemeier,4258,h,Paderborn,Mainz 05,Patrick Ziegler,2014-08-24 14:30:00,5454,2014,"(0.865, 0.5309999847412109)"
24551,Head,OpenPlay,SavedShot,0.01692655123770237,68,2,2,Uwe Hünemeier,4258,h,Paderborn,Mainz 05,Mario Vrancic,2014-08-24 14:30:00,5454,2014,"(0.845, 0.649000015258789)"
24548,RightFoot,FromCorner,BlockedShot,0.05329617112874985,59,2,2,Uwe Hünemeier,4258,h,Paderborn,Mainz 05,,2014-08-24 14:30:00,5454,2014,"(0.865999984741211, 0.34)"
24539,RightFoot,FromCorner,BlockedShot,0.0192004032433033,25,2,2,Moritz Stoppelkamp,4296,h,Paderborn,Mainz 05,Mario Vrancic,2014-08-24 14:30:00,5454,2014,"(0.8590000152587891, 0.8319999694824218)"
24536,RightFoot,OpenPlay,MissedShots,0.026316815987229347,3,2,2,Süleyman Koc,4265,h,Paderborn,Mainz 05,Jens Wemmer,2014-08-24 14:30:00,5454,2014,"(0.8540000152587891, 0.24299999237060546)"
24549,RightFoot,FromCorner,MissedShots,0.014684147201478481,59,2,2,Jens Wemmer,4261,h,Paderborn,Mainz 05,,2014-08-24 14:30:00,5454,2014,"(0.7269999694824218, 0.31799999237060544)"
24543,RightFoot,OpenPlay,Goal,0.03917355090379715,36,2,2,Elias Kachunga,248,h,Paderborn,Mainz 05,,2014-08-24 14:30:00,5454,2014,"(0.81, 0.6029999923706054)"
24773,RightFoot,OpenPlay,MissedShots,0.05502871423959732,29,3,0,Elias Kachunga,248,a,Paderborn,Hamburger SV,Moritz Stoppelkamp,2014-08-30 14:30:00,5459,2014,"(0.8090000152587891, 0.685)"
24772,RightFoot,OpenPlay,Goal,0.3758781850337982,28,3,0,Elias Kachunga,248,a,Paderborn,Hamburger SV,,2014-08-30 14:30:00,5459,2014,"(0.9540000152587891, 0.4)"
24768,Head,SetPiece,SavedShot,0.030624432489275932,22,3,0,Elias Kachunga,248,a,Paderborn,Hamburger SV,Mario Vrancic,2014-08-30 14:30:00,5459,2014,"(0.9630000305175781, 0.6229999923706054)"
24764,LeftFoot,OpenPlay,MissedShots,0.01654004491865635,5,3,0,Mario Vrancic,12,a,Paderborn,Hamburger SV,Jens Wemmer,2014-08-30 14:30:00,5459,2014,"(0.8009999847412109, 0.24399999618530274)"
24782,RightFoot,OpenPlay,MissedShots,0.02212543599307537,53,3,0,Moritz Stoppelkamp,4296,a,Paderborn,Hamburger SV,Mario Vrancic,2014-08-30 14:30:00,5459,2014,"(0.700999984741211, 0.38)"
24767,RightFoot,OpenPlay,MissedShots,0.5464879274368286,17,3,0,Moritz Stoppelkamp,4296,a,Paderborn,Hamburger SV,,2014-08-30 14:30:00,5459,2014,"(0.95, 0.5629999923706055)"
24791,RightFoot,OpenPlay,Goal,0.3053787052631378,86,3,0,Moritz Stoppelkamp,4296,a,Paderborn,Hamburger SV,Daniel Brückner,2014-08-30 14:30:00,5459,2014,"(0.9169999694824219, 0.34900001525878904)"
24779,RightFoot,OpenPlay,MissedShots,0.026998203247785568,44,3,0,Marvin Bakalorz,4266,a,Paderborn,Hamburger SV,Süleyman Koc,2014-08-30 14:30:00,5459,2014,"(0.7369999694824219, 0.6020000076293945)"
24769,Head,FromCorner,SavedShot,0.019988998770713806,23,3,0,Christian Strohdiek,4268,a,Paderborn,Hamburger SV,Moritz Stoppelkamp,2014-08-30 14:30:00,5459,2014,"(0.8930000305175781, 0.6120000076293945)"
24766,RightFoot,OpenPlay,SavedShot,0.29137349128723145,17,3,0,Moritz Stoppelkamp,4296,a,Paderborn,Hamburger SV,Daniel Brückner,2014-08-30 14:30:00,5459,2014,"(0.8819999694824219, 0.7230000305175781)"
24780,RightFoot,SetPiece,BlockedShot,0.007564867381006479,51,3,0,Jens Wemmer,4261,a,Paderborn,Hamburger SV,,2014-08-30 14:30:00,5459,2014,"(0.6869999694824219, 0.27399999618530274)"
24781,RightFoot,OpenPlay,MissedShots,0.02130480483174324,51,3,0,Mario Vrancic,12,a,Paderborn,Hamburger SV,Moritz Stoppelkamp,2014-08-30 14:30:00,5459,2014,"(0.779000015258789, 0.705)"
24786,RightFoot,OpenPlay,Goal,0.7742983102798462,67,3,0,Mario Vrancic,12,a,Paderborn,Hamburger SV,,2014-08-30 14:30:00,5459,2014,"(0.9690000152587891, 0.415)"
24778,Head,SetPiece,MissedShots,0.008025133982300758,43,3,0,Uwe Hünemeier,4258,a,Paderborn,Hamburger SV,Mario Vrancic,2014-08-30 14:30:00,5459,2014,"(0.8419999694824218, 0.435)"
24771,RightFoot,OpenPlay,SavedShot,0.04431127384305,28,3,0,Süleyman Koc,4265,a,Paderborn,Hamburger SV,Patrick Ziegler,2014-08-30 14:30:00,5459,2014,"(0.8830000305175781, 0.6880000305175781)"
25015,RightFoot,OpenPlay,SavedShot,0.017823418602347374,10,0,0,Moritz Stoppelkamp,4296,h,Paderborn,FC Cologne,Mario Vrancic,2014-09-13 14:30:00,5416,2014,"(0.7930000305175782, 0.73)"
25016,RightFoot,OpenPlay,SavedShot,0.026168957352638245,11,0,0,Moritz Stoppelkamp,4296,h,Paderborn,FC Cologne,,2014-09-13 14:30:00,5416,2014,"(0.855999984741211, 0.7290000152587891)"
25020,RightFoot,OpenPlay,BlockedShot,0.06006002798676491,32,0,0,Moritz Stoppelkamp,4296,h,Paderborn,FC Cologne,Jens Wemmer,2014-09-13 14:30:00,5416,2014,"(0.8090000152587891, 0.49700000762939456)"
25022,RightFoot,OpenPlay,MissedShots,0.015656163915991783,69,0,0,Moritz Stoppelkamp,4296,h,Paderborn,FC Cologne,Daniel Brückner,2014-09-13 14:30:00,5416,2014,"(0.7340000152587891, 0.769000015258789)"
25018,Head,FromCorner,MissedShots,0.014950738288462162,19,0,0,Patrick Ziegler,4260,h,Paderborn,FC Cologne,Moritz Stoppelkamp,2014-09-13 14:30:00,5416,2014,"(0.924000015258789, 0.39099998474121095)"
