,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1026,Hannover 96,Darmstadt,1.85731,1.80912,2,2,a,2015-08-15 17:30:00
1035,Hannover 96,Bayer Leverkusen,0.0975496,1.37365,0,1,h,2015-08-22 17:30:00
1043,Hannover 96,Mainz 05,0.373166,3.41346,0,3,a,2015-08-29 17:30:00
1050,Hannover 96,Borussia Dortmund,0.582795,2.16909,2,4,h,2015-09-12 17:30:00
1064,Hannover 96,Augsburg,0.56218,2.24649,0,2,a,2015-09-20 19:30:00
1074,Hannover 96,VfB Stuttgart,0.807709,1.81814,1,3,h,2015-09-23 22:00:00
1080,Hannover 96,Wolfsburg,1.08934,1.41905,1,1,a,2015-09-26 17:30:00
1086,Hannover 96,Werder Bremen,0.695247,1.50158,1,0,h,2015-10-03 17:30:00
1100,Hannover 96,FC Cologne,1.26113,1.52116,1,0,a,2015-10-18 17:30:00
1105,Hannover 96,Eintracht Frankfurt,0.454178,0.74964,1,2,h,2015-10-24 17:30:00
1119,Hannover 96,Hamburger SV,0.843812,2.44912,2,1,a,2015-11-01 20:30:00
1120,Hannover 96,Hertha Berlin,1.1491,1.8958,1,3,h,2015-11-06 23:30:00
1133,Hannover 96,Borussia M.Gladbach,2.19568,2.61888,1,2,a,2015-11-21 18:30:00
1140,Hannover 96,Ingolstadt,1.50396,0.366248,4,0,h,2015-11-28 18:30:00
1147,Hannover 96,Schalke 04,0.228822,3.56394,1,3,a,2015-12-04 23:30:00
1160,Hannover 96,Hoffenheim,1.3987,1.55239,0,1,a,2015-12-12 18:30:00
1170,Hannover 96,Bayern Munich,0.221793,2.52645,0,1,h,2015-12-19 18:30:00
1176,Hannover 96,Darmstadt,1.28887,2.76698,1,2,h,2016-01-23 18:30:00
1186,Hannover 96,Bayer Leverkusen,0.177765,1.96768,0,3,a,2016-01-30 18:30:00
1195,Hannover 96,Mainz 05,0.638351,0.857195,0,1,h,2016-02-06 18:30:00
1203,Hannover 96,Borussia Dortmund,0.212153,1.23883,0,1,a,2016-02-13 18:30:00
1217,Hannover 96,Augsburg,0.433505,1.17413,0,1,h,2016-02-21 20:30:00
1223,Hannover 96,VfB Stuttgart,1.59513,3.13363,2,1,a,2016-02-27 18:30:00
1228,Hannover 96,Wolfsburg,0.395343,3.15639,0,4,h,2016-03-01 23:00:00
1239,Hannover 96,Werder Bremen,1.14266,2.14361,1,4,a,2016-03-05 18:30:00
1251,Hannover 96,FC Cologne,0.988474,1.12909,0,2,h,2016-03-12 18:30:00
1261,Hannover 96,Eintracht Frankfurt,0.381106,1.3943,0,1,a,2016-03-19 21:30:00
1269,Hannover 96,Hamburger SV,1.16167,2.17031,0,3,h,2016-04-02 17:30:00
1273,Hannover 96,Hertha Berlin,1.25141,1.66964,2,2,a,2016-04-08 22:30:00
1282,Hannover 96,Borussia M.Gladbach,1.64388,0.732627,2,0,h,2016-04-15 22:30:00
1296,Hannover 96,Ingolstadt,1.22986,1.16542,2,2,a,2016-04-23 17:30:00
1301,Hannover 96,Schalke 04,2.06666,1.79057,1,3,h,2016-04-30 17:30:00
1315,Hannover 96,Hoffenheim,0.689753,1.39948,1,0,h,2016-05-07 17:30:00
1319,Hannover 96,Bayern Munich,1.81013,2.692,1,3,a,2016-05-14 17:30:00
