,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1023,Hertha Berlin,Augsburg,1.23291,1.14869,1,0,a,2015-08-15 17:30:00
1030,Hertha Berlin,Werder Bremen,0.494279,0.957641,1,1,h,2015-08-21 22:30:00
1046,Hertha Berlin,Borussia Dortmund,0.633538,3.73248,1,3,a,2015-08-30 17:30:00
1051,Hertha Berlin,VfB Stuttgart,1.47686,1.02726,2,1,h,2015-09-12 17:30:00
1059,Hertha Berlin,Wolfsburg,0.271584,2.42975,0,2,a,2015-09-19 17:30:00
1067,Hertha Berlin,FC Cologne,1.34684,0.853586,2,0,h,2015-09-22 22:00:00
1082,Hertha Berlin,Eintracht Frankfurt,2.23038,1.41369,1,1,a,2015-09-27 17:30:00
1087,Hertha Berlin,Hamburger SV,2.0435,0.315135,3,0,h,2015-10-03 17:30:00
1096,Hertha Berlin,Schalke 04,0.933849,2.51235,1,2,a,2015-10-17 17:30:00
1108,Hertha Berlin,Ingolstadt,0.702791,0.66126,1,0,a,2015-10-24 20:30:00
1113,Hertha Berlin,Borussia M.Gladbach,2.31638,1.29051,1,4,h,2015-10-31 18:30:00
1120,Hertha Berlin,Hannover 96,1.8958,1.1491,3,1,a,2015-11-06 23:30:00
1136,Hertha Berlin,Hoffenheim,0.100337,0.328805,1,0,h,2015-11-22 18:30:00
1142,Hertha Berlin,Bayern Munich,0.218952,3.93799,0,2,a,2015-11-28 18:30:00
1151,Hertha Berlin,Bayer Leverkusen,1.02556,1.2452,2,1,h,2015-12-05 18:30:00
1157,Hertha Berlin,Darmstadt,1.99133,0.26179,4,0,a,2015-12-12 18:30:00
1172,Hertha Berlin,Mainz 05,1.52652,0.26315,2,0,h,2015-12-20 18:30:00
1177,Hertha Berlin,Augsburg,0.638542,0.704125,0,0,h,2016-01-23 18:30:00
1188,Hertha Berlin,Werder Bremen,1.33238,2.40454,3,3,a,2016-01-30 18:30:00
1196,Hertha Berlin,Borussia Dortmund,0.881103,0.391491,0,0,h,2016-02-06 18:30:00
1205,Hertha Berlin,VfB Stuttgart,1.12753,1.27221,0,2,a,2016-02-13 18:30:00
1212,Hertha Berlin,Wolfsburg,0.693683,0.743911,1,1,h,2016-02-20 18:30:00
1219,Hertha Berlin,FC Cologne,0.842565,0.787942,1,0,a,2016-02-26 23:30:00
1231,Hertha Berlin,Eintracht Frankfurt,1.21008,0.339767,2,0,h,2016-03-02 23:00:00
1245,Hertha Berlin,Hamburger SV,0.22915,1.10346,0,2,a,2016-03-06 20:30:00
1246,Hertha Berlin,Schalke 04,1.41068,1.08126,2,0,h,2016-03-11 23:30:00
1260,Hertha Berlin,Ingolstadt,1.12049,0.67263,2,1,h,2016-03-19 18:30:00
1271,Hertha Berlin,Borussia M.Gladbach,0.280578,2.41386,0,5,a,2016-04-03 17:30:00
1273,Hertha Berlin,Hannover 96,1.66964,1.25141,2,2,h,2016-04-08 22:30:00
1283,Hertha Berlin,Hoffenheim,1.09114,1.31625,1,2,a,2016-04-16 17:30:00
1295,Hertha Berlin,Bayern Munich,0.351189,0.192443,0,2,h,2016-04-23 17:30:00
1307,Hertha Berlin,Bayer Leverkusen,0.344918,2.98724,1,2,a,2016-04-30 20:30:00
1316,Hertha Berlin,Darmstadt,1.35682,1.26224,1,2,h,2016-05-07 17:30:00
1324,Hertha Berlin,Mainz 05,0.873124,1.48776,0,0,a,2016-05-14 17:30:00
