,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
76259,LeftFoot,OpenPlay,MissedShots,0.01443532481789589,5,1,0,Pascal Groß,239,a,Ingolstadt,Mainz 05,,2015-08-15 17:30:00,1025,2015,"(0.7390000152587891, 0.4)"
76279,RightFoot,OpenPlay,MissedShots,0.05248909443616867,92,1,0,Elias Kachunga,248,a,Ingolstadt,Mainz 05,Romain Brègerie,2015-08-15 17:30:00,1025,2015,"(0.93, 0.27399999618530274)"
76276,Head,OpenPlay,MissedShots,0.13954520225524902,69,1,0,Elias Kachunga,248,a,Ingolstadt,Mainz 05,Mathew Leckie,2015-08-15 17:30:00,1025,2015,"(0.9390000152587891, 0.43099998474121093)"
76269,RightFoot,SetPiece,MissedShots,0.008421150967478752,35,1,0,Konstantin Engel,402,a,Ingolstadt,Mainz 05,Moritz Hartmann,2015-08-15 17:30:00,1025,2015,"(0.7090000152587891, 0.61)"
76268,RightFoot,OpenPlay,SavedShot,0.009174127131700516,30,1,0,Konstantin Engel,402,a,Ingolstadt,Mainz 05,Mathew Leckie,2015-08-15 17:30:00,1025,2015,"(0.6919999694824219, 0.8080000305175781)"
76257,RightFoot,SetPiece,MissedShots,0.02020096406340599,4,1,0,Mathew Leckie,241,a,Ingolstadt,Mainz 05,,2015-08-15 17:30:00,1025,2015,"(0.7630000305175781, 0.575)"
76260,LeftFoot,OpenPlay,BlockedShot,0.009257062338292599,10,1,0,Mathew Leckie,241,a,Ingolstadt,Mainz 05,Lukas Hinterseer,2015-08-15 17:30:00,1025,2015,"(0.710999984741211, 0.4759999847412109)"
76266,RightFoot,OpenPlay,MissedShots,0.01053834892809391,22,1,0,Pascal Groß,239,a,Ingolstadt,Mainz 05,,2015-08-15 17:30:00,1025,2015,"(0.7819999694824219, 0.27)"
76262,RightFoot,OpenPlay,SavedShot,0.015366878360509872,14,1,0,Pascal Groß,239,a,Ingolstadt,Mainz 05,Moritz Hartmann,2015-08-15 17:30:00,1025,2015,"(0.725, 0.6140000152587891)"
76274,LeftFoot,SetPiece,SavedShot,0.10524740070104599,62,1,0,Benjamin Hübner,251,a,Ingolstadt,Mainz 05,Pascal Groß,2015-08-15 17:30:00,1025,2015,"(0.9459999847412109, 0.43099998474121093)"
76258,LeftFoot,SetPiece,MissedShots,0.017678461968898773,4,1,0,Moritz Hartmann,362,a,Ingolstadt,Mainz 05,,2015-08-15 17:30:00,1025,2015,"(0.7630000305175781, 0.46099998474121096)"
76270,LeftFoot,OpenPlay,SavedShot,0.09563299268484116,41,1,0,Moritz Hartmann,362,a,Ingolstadt,Mainz 05,Pascal Groß,2015-08-15 17:30:00,1025,2015,"(0.909000015258789, 0.48900001525878906)"
76275,RightFoot,OpenPlay,Goal,0.06737461686134338,65,1,0,Lukas Hinterseer,242,a,Ingolstadt,Mainz 05,Alfredo Morales,2015-08-15 17:30:00,1025,2015,"(0.909000015258789, 0.6759999847412109)"
76271,Head,FromCorner,MissedShots,0.011954663321375847,49,1,0,Benjamin Hübner,251,a,Ingolstadt,Mainz 05,Konstantin Engel,2015-08-15 17:30:00,1025,2015,"(0.8640000152587891, 0.445)"
76515,RightFoot,OpenPlay,SavedShot,0.013888988643884659,61,0,4,Stefan Lex,243,h,Ingolstadt,Borussia Dortmund,Mathew Leckie,2015-08-23 17:30:00,1037,2015,"(0.8119999694824219, 0.385)"
76512,RightFoot,OpenPlay,SavedShot,0.027039267122745514,48,0,4,Moritz Hartmann,362,h,Ingolstadt,Borussia Dortmund,Alfredo Morales,2015-08-23 17:30:00,1037,2015,"(0.8880000305175781, 0.24399999618530274)"
76505,Head,SetPiece,MissedShots,0.010478888638317585,19,0,4,Romain Brègerie,235,h,Ingolstadt,Borussia Dortmund,,2015-08-23 17:30:00,1037,2015,"(0.884000015258789, 0.664000015258789)"
76626,RightFoot,OpenPlay,MissedShots,0.011987296864390373,64,1,0,Roger,238,a,Ingolstadt,Augsburg,,2015-08-29 17:30:00,1041,2015,"(0.68, 0.44299999237060544)"
76610,LeftFoot,OpenPlay,BlockedShot,0.03059212490916252,8,1,0,Pascal Groß,239,a,Ingolstadt,Augsburg,,2015-08-29 17:30:00,1041,2015,"(0.7930000305175782, 0.37099998474121093)"
76619,RightFoot,OpenPlay,SavedShot,0.35322973132133484,43,1,0,Moritz Hartmann,362,a,Ingolstadt,Augsburg,Pascal Groß,2015-08-29 17:30:00,1041,2015,"(0.8919999694824219, 0.39099998474121095)"
76618,RightFoot,OpenPlay,BlockedShot,0.013014172203838825,42,1,0,Moritz Hartmann,362,a,Ingolstadt,Augsburg,,2015-08-29 17:30:00,1041,2015,"(0.7619999694824219, 0.509000015258789)"
76612,RightFoot,OpenPlay,MissedShots,0.030007777735590935,20,1,0,Moritz Hartmann,362,a,Ingolstadt,Augsburg,Lukas Hinterseer,2015-08-29 17:30:00,1041,2015,"(0.7680000305175781, 0.5820000076293945)"
76625,LeftFoot,OpenPlay,Goal,0.02017257735133171,62,1,0,Mathew Leckie,241,a,Ingolstadt,Augsburg,Pascal Groß,2015-08-29 17:30:00,1041,2015,"(0.7580000305175781, 0.27700000762939453)"
76634,RightFoot,OpenPlay,MissedShots,0.04276061803102493,90,1,0,Mathew Leckie,241,a,Ingolstadt,Augsburg,Alfredo Morales,2015-08-29 17:30:00,1041,2015,"(0.8519999694824218, 0.28)"
76613,LeftFoot,DirectFreekick,ShotOnPost,0.055734362453222275,30,1,0,Markus Suttner,379,a,Ingolstadt,Augsburg,,2015-08-29 17:30:00,1041,2015,"(0.7430000305175781, 0.38599998474121094)"
76632,RightFoot,OpenPlay,MissedShots,0.09333411604166031,81,1,0,Romain Brègerie,235,a,Ingolstadt,Augsburg,Pascal Groß,2015-08-29 17:30:00,1041,2015,"(0.9619999694824218, 0.345)"
76622,RightFoot,OpenPlay,SavedShot,0.061977729201316833,49,1,0,Alfredo Morales,252,a,Ingolstadt,Augsburg,Pascal Groß,2015-08-29 17:30:00,1041,2015,"(0.9619999694824218, 0.34)"
76620,RightFoot,OpenPlay,BlockedShot,0.020654892548918724,46,1,0,Alfredo Morales,252,a,Ingolstadt,Augsburg,Moritz Hartmann,2015-08-29 17:30:00,1041,2015,"(0.7619999694824219, 0.39599998474121095)"
76616,Head,FromCorner,MissedShots,0.052987176924943924,33,1,0,Benjamin Hübner,251,a,Ingolstadt,Augsburg,Pascal Groß,2015-08-29 17:30:00,1041,2015,"(0.9269999694824219, 0.46599998474121096)"
76633,RightFoot,OpenPlay,BlockedShot,0.013597012497484684,85,1,0,Pascal Groß,239,a,Ingolstadt,Augsburg,Stefan Lex,2015-08-29 17:30:00,1041,2015,"(0.705, 0.23299999237060548)"
76615,RightFoot,OpenPlay,BlockedShot,0.15749087929725647,33,1,0,Pascal Groß,239,a,Ingolstadt,Augsburg,Mathew Leckie,2015-08-29 17:30:00,1041,2015,"(0.740999984741211, 0.4540000152587891)"
76614,LeftFoot,SetPiece,MissedShots,0.06728768348693848,30,1,0,Benjamin Hübner,251,a,Ingolstadt,Augsburg,,2015-08-29 17:30:00,1041,2015,"(0.845, 0.509000015258789)"
76629,Head,SetPiece,MissedShots,0.22679433226585388,70,1,0,Lukas Hinterseer,242,a,Ingolstadt,Augsburg,Pascal Groß,2015-08-29 17:30:00,1041,2015,"(0.9430000305175781, 0.615999984741211)"
