,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1024,Schalke 04,Werder Bremen,1.4498,0.914717,3,0,a,2015-08-15 17:30:00
1032,Schalke 04,Darmstadt,1.05775,0.790379,1,1,h,2015-08-22 17:30:00
1039,Schalke 04,Wolfsburg,0.748153,1.52939,0,3,a,2015-08-28 22:30:00
1056,Schalke 04,Mainz 05,3.13941,2.94627,2,1,h,2015-09-13 19:30:00
1063,Schalke 04,VfB Stuttgart,1.09359,3.31265,1,0,a,2015-09-20 17:30:00
1071,Schalke 04,Eintracht Frankfurt,2.25209,0.952574,2,0,h,2015-09-23 22:00:00
1081,Schalke 04,Hamburger SV,1.27784,0.583026,1,0,a,2015-09-26 20:30:00
1090,Schalke 04,FC Cologne,1.11607,1.32,0,3,h,2015-10-04 17:30:00
1096,Schalke 04,Hertha Berlin,2.51235,0.933849,2,1,h,2015-10-17 17:30:00
1110,Schalke 04,Borussia M.Gladbach,0.767714,2.25814,1,3,a,2015-10-25 20:30:00
1116,Schalke 04,Ingolstadt,1.07951,0.26092,1,1,h,2015-10-31 18:30:00
1127,Schalke 04,Borussia Dortmund,1.37138,2.14772,2,3,a,2015-11-08 18:30:00
1135,Schalke 04,Bayern Munich,0.217596,2.27848,1,3,h,2015-11-21 21:30:00
1145,Schalke 04,Bayer Leverkusen,0.949254,2.13995,1,1,a,2015-11-29 20:30:00
1147,Schalke 04,Hannover 96,3.56394,0.228822,3,1,h,2015-12-04 23:30:00
1163,Schalke 04,Augsburg,1.45492,1.2358,1,2,a,2015-12-13 18:30:00
1165,Schalke 04,Hoffenheim,0.722775,0.870611,1,0,h,2015-12-18 23:30:00
1182,Schalke 04,Werder Bremen,2.01652,1.82961,1,3,h,2016-01-24 20:30:00
1184,Schalke 04,Darmstadt,1.56117,0.0939969,2,0,a,2016-01-30 18:30:00
1193,Schalke 04,Wolfsburg,0.785917,0.559619,3,0,h,2016-02-06 18:30:00
1201,Schalke 04,Mainz 05,0.980702,1.00349,1,2,a,2016-02-12 23:30:00
1218,Schalke 04,VfB Stuttgart,0.989802,1.68313,1,1,h,2016-02-21 20:30:00
1227,Schalke 04,Eintracht Frankfurt,0.223305,0.775413,0,0,a,2016-02-28 22:30:00
1234,Schalke 04,Hamburger SV,2.61412,0.825944,3,2,h,2016-03-02 23:00:00
1241,Schalke 04,FC Cologne,2.23816,2.44466,3,1,a,2016-03-05 18:30:00
1246,Schalke 04,Hertha Berlin,1.08126,1.41068,0,2,a,2016-03-11 23:30:00
1255,Schalke 04,Borussia M.Gladbach,0.10538,2.14568,2,1,h,2016-03-18 23:30:00
1267,Schalke 04,Ingolstadt,0.864055,1.86933,0,3,a,2016-04-02 17:30:00
1280,Schalke 04,Borussia Dortmund,1.23275,1.6976,2,2,h,2016-04-10 17:30:00
1288,Schalke 04,Bayern Munich,0.430468,1.27153,0,3,a,2016-04-16 20:30:00
1297,Schalke 04,Bayer Leverkusen,2.42823,1.52773,2,3,h,2016-04-23 20:30:00
1301,Schalke 04,Hannover 96,1.79057,2.06666,3,1,a,2016-04-30 17:30:00
1309,Schalke 04,Augsburg,1.4111,0.557159,1,1,h,2016-05-07 17:30:00
1322,Schalke 04,Hoffenheim,1.60217,1.41779,4,1,a,2016-05-14 17:30:00
