,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
76231,RightFoot,FromCorner,BlockedShot,0.013383504003286362,22,3,0,Julian Draxler,152,a,Schalke 04,Werder Bremen,,2015-08-15 17:30:00,1024,2015,"(0.705999984741211, 0.5029999923706054)"
76233,Head,OpenPlay,SavedShot,0.04772176221013069,26,3,0,Leon Goretzka,335,a,Schalke 04,Werder Bremen,Franco Di Santo,2015-08-15 17:30:00,1024,2015,"(0.88, 0.46299999237060546)"
76241,RightFoot,OpenPlay,MissedShots,0.02096554823219776,50,3,0,Leon Goretzka,335,a,Schalke 04,Werder Bremen,Dennis Aogo,2015-08-15 17:30:00,1024,2015,"(0.7019999694824218, 0.5629999923706055)"
76230,RightFoot,OpenPlay,BlockedShot,0.10721573978662491,22,3,0,Klaas-Jan Huntelaar,340,a,Schalke 04,Werder Bremen,Eric Maxim Choupo-Moting,2015-08-15 17:30:00,1024,2015,"(0.8969999694824219, 0.39799999237060546)"
76227,RightFoot,OpenPlay,BlockedShot,0.1294555366039276,8,3,0,Klaas-Jan Huntelaar,340,a,Schalke 04,Werder Bremen,Franco Di Santo,2015-08-15 17:30:00,1024,2015,"(0.85, 0.519000015258789)"
76250,RightFoot,OpenPlay,MissedShots,0.008497039787471294,77,3,0,Eric Maxim Choupo-Moting,339,a,Schalke 04,Werder Bremen,,2015-08-15 17:30:00,1024,2015,"(0.36200000762939455, 0.04400000095367432)"
76247,RightFoot,OpenPlay,Goal,0.26054537296295166,67,3,0,Eric Maxim Choupo-Moting,339,a,Schalke 04,Werder Bremen,Joel Matip,2015-08-15 17:30:00,1024,2015,"(0.870999984741211, 0.36)"
76228,Head,FromCorner,MissedShots,0.021632835268974304,9,3,0,Eric Maxim Choupo-Moting,339,a,Schalke 04,Werder Bremen,Johannes Geis,2015-08-15 17:30:00,1024,2015,"(0.9430000305175781, 0.6329999923706054)"
76254,RightFoot,OpenPlay,Goal,0.3394435942173004,84,3,0,Klaas-Jan Huntelaar,340,a,Schalke 04,Werder Bremen,Leroy Sané,2015-08-15 17:30:00,1024,2015,"(0.8590000152587891, 0.47299999237060547)"
76229,RightFoot,DirectFreekick,MissedShots,0.03902304545044899,10,3,0,Johannes Geis,336,a,Schalke 04,Werder Bremen,,2015-08-15 17:30:00,1024,2015,"(0.7190000152587891, 0.6669999694824219)"
76232,LeftFoot,OpenPlay,SavedShot,0.011537060141563416,23,3,0,Johannes Geis,336,a,Schalke 04,Werder Bremen,Franco Di Santo,2015-08-15 17:30:00,1024,2015,"(0.7669999694824219, 0.24299999237060546)"
76246,Head,FromCorner,MissedShots,0.012562286108732224,63,3,0,Joel Matip,332,a,Schalke 04,Werder Bremen,Johannes Geis,2015-08-15 17:30:00,1024,2015,"(0.8909999847412109, 0.6029999923706054)"
76226,LeftFoot,OpenPlay,MissedShots,0.02173149585723877,7,3,0,Eric Maxim Choupo-Moting,339,a,Schalke 04,Werder Bremen,Sascha Riether,2015-08-15 17:30:00,1024,2015,"(0.745999984741211, 0.34799999237060547)"
76242,RightFoot,OpenPlay,SavedShot,0.36650270223617554,51,3,0,Klaas-Jan Huntelaar,340,a,Schalke 04,Werder Bremen,Julian Draxler,2015-08-15 17:30:00,1024,2015,"(0.895, 0.59)"
76235,RightFoot,OpenPlay,BlockedShot,0.023670904338359833,29,3,0,Julian Draxler,152,a,Schalke 04,Werder Bremen,Franco Di Santo,2015-08-15 17:30:00,1024,2015,"(0.765, 0.6140000152587891)"
76256,LeftFoot,OpenPlay,MissedShots,0.02591501921415329,89,3,0,Julian Draxler,152,a,Schalke 04,Werder Bremen,Klaas-Jan Huntelaar,2015-08-15 17:30:00,1024,2015,"(0.7830000305175782, 0.3579999923706055)"
76324,Head,OpenPlay,SavedShot,0.2433977872133255,58,1,1,Klaas-Jan Huntelaar,340,h,Schalke 04,Darmstadt,Julian Draxler,2015-08-22 17:30:00,1032,2015,"(0.9359999847412109, 0.41)"
76329,LeftFoot,SetPiece,MissedShots,0.08716408908367157,73,1,1,Klaas-Jan Huntelaar,340,h,Schalke 04,Darmstadt,,2015-08-22 17:30:00,1032,2015,"(0.8859999847412109, 0.59)"
76318,LeftFoot,FromCorner,MissedShots,0.025606706738471985,37,1,1,Dennis Aogo,334,h,Schalke 04,Darmstadt,,2015-08-22 17:30:00,1032,2015,"(0.795, 0.595999984741211)"
76333,LeftFoot,OpenPlay,MissedShots,0.05691256374120712,87,1,1,Leroy Sané,337,h,Schalke 04,Darmstadt,Klaas-Jan Huntelaar,2015-08-22 17:30:00,1032,2015,"(0.8290000152587891, 0.40400001525878904)"
76308,RightFoot,OpenPlay,MissedShots,0.010635403916239738,10,1,1,Julian Draxler,152,h,Schalke 04,Darmstadt,Júnior Caiçara,2015-08-22 17:30:00,1032,2015,"(0.654000015258789, 0.645)"
76310,RightFoot,OpenPlay,SavedShot,0.015575507655739784,25,1,1,Julian Draxler,152,h,Schalke 04,Darmstadt,Klaas-Jan Huntelaar,2015-08-22 17:30:00,1032,2015,"(0.7290000152587891, 0.6840000152587891)"
76331,Head,SetPiece,SavedShot,0.033041324466466904,80,1,1,Roman Neustädter,346,h,Schalke 04,Darmstadt,Johannes Geis,2015-08-22 17:30:00,1032,2015,"(0.850999984741211, 0.5509999847412109)"
76325,Head,FromCorner,MissedShots,0.03264627605676651,60,1,1,Eric Maxim Choupo-Moting,339,h,Schalke 04,Darmstadt,Johannes Geis,2015-08-22 17:30:00,1032,2015,"(0.9440000152587891, 0.41700000762939454)"
