,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
127462,LeftFoot,OpenPlay,MissedShots,0.038043223321437836,31,0,2,Caiuby,272,h,Augsburg,Wolfsburg,Ja-Cheol Koo,2016-08-27 17:30:00,1328,2016,"(0.845999984741211, 0.6809999847412109)"
127476,RightFoot,OpenPlay,BlockedShot,0.028358593583106995,75,0,2,Daniel Baier,268,h,Augsburg,Wolfsburg,,2016-08-27 17:30:00,1328,2016,"(0.7809999847412109, 0.40900001525878904)"
127469,LeftFoot,DirectFreekick,BlockedShot,0.04028373584151268,62,0,2,Konstantinos Stafylidis,368,h,Augsburg,Wolfsburg,,2016-08-27 17:30:00,1328,2016,"(0.705, 0.5829999923706055)"
127470,RightFoot,SetPiece,MissedShots,0.016458692029118538,62,0,2,Konstantinos Stafylidis,368,h,Augsburg,Wolfsburg,,2016-08-27 17:30:00,1328,2016,"(0.764000015258789, 0.590999984741211)"
127464,RightFoot,OpenPlay,BlockedShot,0.059636618942022324,37,0,2,Alfred Finnbogason,2655,h,Augsburg,Wolfsburg,Paul Verhaegh,2016-08-27 17:30:00,1328,2016,"(0.8219999694824218, 0.42700000762939455)"
127477,RightFoot,OpenPlay,BlockedShot,0.06472455710172653,77,0,2,Ja-Cheol Koo,271,h,Augsburg,Wolfsburg,Raúl Bobadilla,2016-08-27 17:30:00,1328,2016,"(0.8319999694824218, 0.5840000152587891)"
127461,RightFoot,OpenPlay,MissedShots,0.024688204750418663,29,0,2,Ja-Cheol Koo,271,h,Augsburg,Wolfsburg,Daniel Baier,2016-08-27 17:30:00,1328,2016,"(0.7569999694824219, 0.5929999923706055)"
127481,RightFoot,OpenPlay,SavedShot,0.027372004464268684,81,0,2,Raúl Bobadilla,273,h,Augsburg,Wolfsburg,Caiuby,2016-08-27 17:30:00,1328,2016,"(0.75, 0.5720000076293945)"
127471,RightFoot,OpenPlay,MissedShots,0.02611064352095127,64,0,2,Raúl Bobadilla,273,h,Augsburg,Wolfsburg,Dominik Kohr,2016-08-27 17:30:00,1328,2016,"(0.789000015258789, 0.34)"
127467,RightFoot,OpenPlay,MissedShots,0.031134890392422676,51,0,2,Raúl Bobadilla,273,h,Augsburg,Wolfsburg,Jeffrey Gouweleeuw,2016-08-27 17:30:00,1328,2016,"(0.749000015258789, 0.33)"
127473,RightFoot,OpenPlay,SavedShot,0.030106378719210625,68,0,2,Caiuby,272,h,Augsburg,Wolfsburg,Daniel Baier,2016-08-27 17:30:00,1328,2016,"(0.8090000152587891, 0.6840000152587891)"
127466,LeftFoot,FromCorner,MissedShots,0.05189576745033264,48,0,2,Jeffrey Gouweleeuw,2665,h,Augsburg,Wolfsburg,Raúl Bobadilla,2016-08-27 17:30:00,1328,2016,"(0.8830000305175781, 0.555)"
127468,LeftFoot,OpenPlay,MissedShots,0.014557559974491596,59,0,2,Caiuby,272,h,Augsburg,Wolfsburg,Ja-Cheol Koo,2016-08-27 17:30:00,1328,2016,"(0.7, 0.5059999847412109)"
127994,LeftFoot,DirectFreekick,Goal,0.17592142522335052,72,2,1,Konstantinos Stafylidis,368,a,Augsburg,Werder Bremen,,2016-09-11 17:30:00,1343,2016,"(0.8219999694824218, 0.5359999847412109)"
127992,LeftFoot,OpenPlay,SavedShot,0.0245807021856308,69,2,1,Dong-Won Ji,276,a,Augsburg,Werder Bremen,,2016-09-11 17:30:00,1343,2016,"(0.88, 0.23)"
127997,RightFoot,OpenPlay,MissedShots,0.007622943259775639,80,2,1,Dong-Won Ji,276,a,Augsburg,Werder Bremen,,2016-09-11 17:30:00,1343,2016,"(0.580999984741211, 0.18899999618530272)"
127999,RightFoot,OpenPlay,MissedShots,0.03059282898902893,88,2,1,Dong-Won Ji,276,a,Augsburg,Werder Bremen,Alfred Finnbogason,2016-09-11 17:30:00,1343,2016,"(0.8269999694824218, 0.2589999961853027)"
127998,Head,FromCorner,MissedShots,0.0749693512916565,82,2,1,Caiuby,272,a,Augsburg,Werder Bremen,Daniel Baier,2016-09-11 17:30:00,1343,2016,"(0.914000015258789, 0.5540000152587891)"
