,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
127565,LeftFoot,OpenPlay,BlockedShot,0.0646762102842331,4,0,2,Mario Vrancic,12,a,Darmstadt,FC Cologne,Jérôme Gondorf,2016-08-27 17:30:00,1331,2016,"(0.8059999847412109, 0.515)"
127588,Head,SetPiece,MissedShots,0.03949134051799774,69,0,2,Immanuel Höhn,4288,a,Darmstadt,FC Cologne,Jérôme Gondorf,2016-08-27 17:30:00,1331,2016,"(0.93, 0.5829999923706055)"
127589,Head,SetPiece,MissedShots,0.011462136171758175,69,0,2,Alexander Milosevic,2669,a,Darmstadt,FC Cologne,Immanuel Höhn,2016-08-27 17:30:00,1331,2016,"(0.9669999694824218, 0.6409999847412109)"
127577,RightFoot,FromCorner,BlockedShot,0.06506182998418808,36,0,2,Alexander Milosevic,2669,a,Darmstadt,FC Cologne,Jérôme Gondorf,2016-08-27 17:30:00,1331,2016,"(0.8969999694824219, 0.47)"
127572,Head,SetPiece,MissedShots,0.059918493032455444,19,0,2,Alexander Milosevic,2669,a,Darmstadt,FC Cologne,Mario Vrancic,2016-08-27 17:30:00,1331,2016,"(0.8959999847412109, 0.46799999237060547)"
127574,LeftFoot,DirectFreekick,BlockedShot,0.0731186494231224,31,0,2,Mario Vrancic,12,a,Darmstadt,FC Cologne,,2016-08-27 17:30:00,1331,2016,"(0.7730000305175782, 0.63)"
127585,LeftFoot,OpenPlay,BlockedShot,0.0862123966217041,57,0,2,Änis Ben-Hatira,2648,a,Darmstadt,FC Cologne,Jérôme Gondorf,2016-08-27 17:30:00,1331,2016,"(0.8780000305175781, 0.580999984741211)"
127567,RightFoot,FromCorner,MissedShots,0.01642378233373165,7,0,2,Marcel Heller,6,a,Darmstadt,FC Cologne,,2016-08-27 17:30:00,1331,2016,"(0.769000015258789, 0.6659999847412109)"
127587,RightFoot,SetPiece,SavedShot,0.06103095784783363,65,0,2,Sandro Sirigu,380,a,Darmstadt,FC Cologne,Mario Vrancic,2016-08-27 17:30:00,1331,2016,"(0.835999984741211, 0.48200000762939454)"
127571,RightFoot,OpenPlay,MissedShots,0.029766004532575607,15,0,2,Marcel Heller,6,a,Darmstadt,FC Cologne,,2016-08-27 17:30:00,1331,2016,"(0.7609999847412109, 0.585)"
