,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
127490,LeftFoot,OpenPlay,BlockedShot,0.042939264327287674,27,1,1,Filip Kostic,64,h,Hamburger SV,Ingolstadt,Nicolai Müller,2016-08-27 17:30:00,1329,2016,"(0.8019999694824219, 0.5729999923706055)"
127492,RightFoot,OpenPlay,MissedShots,0.07843013852834702,34,1,1,Nicolai Müller,170,h,Hamburger SV,Ingolstadt,,2016-08-27 17:30:00,1329,2016,"(0.9740000152587891, 0.345)"
127485,Head,SetPiece,MissedShots,0.06260808557271957,7,1,1,Michael Gregoritsch,171,h,Hamburger SV,Ingolstadt,Aaron Hunt,2016-08-27 17:30:00,1329,2016,"(0.8959999847412109, 0.4779999923706055)"
127505,Head,FromCorner,MissedShots,0.011692289263010025,83,1,1,Johan Djourou,302,h,Hamburger SV,Ingolstadt,Aaron Hunt,2016-08-27 17:30:00,1329,2016,"(0.9159999847412109, 0.36700000762939455)"
127491,RightFoot,OpenPlay,Goal,0.03693937882781029,29,1,1,Bobby Wood,5224,h,Hamburger SV,Ingolstadt,René Adler,2016-08-27 17:30:00,1329,2016,"(0.8430000305175781, 0.3729999923706055)"
127489,RightFoot,OpenPlay,MissedShots,0.03613013029098511,21,1,1,Gideon Jung,168,h,Hamburger SV,Ingolstadt,Filip Kostic,2016-08-27 17:30:00,1329,2016,"(0.88, 0.36400001525878906)"
127500,LeftFoot,OpenPlay,BlockedShot,0.02829933725297451,60,1,1,Filip Kostic,64,h,Hamburger SV,Ingolstadt,Aaron Hunt,2016-08-27 17:30:00,1329,2016,"(0.8180000305175781, 0.7519999694824219)"
127504,LeftFoot,OpenPlay,ShotOnPost,0.01266801543533802,83,1,1,Filip Kostic,64,h,Hamburger SV,Ingolstadt,Matthias Ostrzolek,2016-08-27 17:30:00,1329,2016,"(0.8130000305175781, 0.8280000305175781)"
127712,Head,FromCorner,MissedShots,0.09132974594831467,4,1,3,Michael Gregoritsch,171,a,Hamburger SV,Bayer Leverkusen,Aaron Hunt,2016-09-10 17:30:00,1341,2016,"(0.9119999694824219, 0.515)"
127724,LeftFoot,DirectFreekick,BlockedShot,0.048946965485811234,71,1,3,Aaron Hunt,174,a,Hamburger SV,Bayer Leverkusen,,2016-09-10 17:30:00,1341,2016,"(0.7480000305175781, 0.3220000076293945)"
127720,RightFoot,OpenPlay,Goal,0.37301674485206604,57,1,3,Bobby Wood,5224,a,Hamburger SV,Bayer Leverkusen,Michael Gregoritsch,2016-09-10 17:30:00,1341,2016,"(0.8180000305175781, 0.725999984741211)"
127714,LeftFoot,OpenPlay,MissedShots,0.03902435675263405,12,1,3,Michael Gregoritsch,171,a,Hamburger SV,Bayer Leverkusen,Gotoku Sakai,2016-09-10 17:30:00,1341,2016,"(0.8119999694824219, 0.38)"
127716,LeftFoot,OpenPlay,SavedShot,0.05196863040328026,39,1,3,Nicolai Müller,170,a,Hamburger SV,Bayer Leverkusen,Michael Gregoritsch,2016-09-10 17:30:00,1341,2016,"(0.845999984741211, 0.635)"
127711,LeftFoot,OpenPlay,MissedShots,0.05200384929776192,1,1,3,Filip Kostic,64,a,Hamburger SV,Bayer Leverkusen,Lewis Holtby,2016-09-10 17:30:00,1341,2016,"(0.8680000305175781, 0.6819999694824219)"
128302,RightFoot,OpenPlay,MissedShots,0.0270377267152071,67,0,4,Nicolai Müller,170,h,Hamburger SV,RasenBallsport Leipzig,Filip Kostic,2016-09-17 17:30:00,1346,2016,"(0.8180000305175781, 0.705)"
128298,LeftFoot,OpenPlay,BlockedShot,0.15921638906002045,45,0,4,Nicolai Müller,170,h,Hamburger SV,RasenBallsport Leipzig,,2016-09-17 17:30:00,1346,2016,"(0.9119999694824219, 0.49900001525878906)"
128287,Head,FromCorner,MissedShots,0.07540379464626312,5,0,4,Gideon Jung,168,h,Hamburger SV,RasenBallsport Leipzig,Aaron Hunt,2016-09-17 17:30:00,1346,2016,"(0.91, 0.5429999923706055)"
128285,LeftFoot,OpenPlay,MissedShots,0.02456394024193287,0,0,4,Aaron Hunt,174,h,Hamburger SV,RasenBallsport Leipzig,Filip Kostic,2016-09-17 17:30:00,1346,2016,"(0.9830000305175781, 0.705)"
128290,LeftFoot,OpenPlay,BlockedShot,0.05810178816318512,17,0,4,Aaron Hunt,174,h,Hamburger SV,RasenBallsport Leipzig,Nicolai Müller,2016-09-17 17:30:00,1346,2016,"(0.8130000305175781, 0.45599998474121095)"
128293,LeftFoot,FromCorner,BlockedShot,0.020572878420352936,20,0,4,Aaron Hunt,174,h,Hamburger SV,RasenBallsport Leipzig,,2016-09-17 17:30:00,1346,2016,"(0.7380000305175781, 0.425)"
128297,LeftFoot,OpenPlay,SavedShot,0.6202031970024109,45,0,4,Aaron Hunt,174,h,Hamburger SV,RasenBallsport Leipzig,Filip Kostic,2016-09-17 17:30:00,1346,2016,"(0.915, 0.49900001525878906)"
128294,RightFoot,OpenPlay,SavedShot,0.02947838418185711,38,0,4,Nicolai Müller,170,h,Hamburger SV,RasenBallsport Leipzig,Gotoku Sakai,2016-09-17 17:30:00,1346,2016,"(0.9669999694824218, 0.2520000076293945)"
128295,RightFoot,OpenPlay,MissedShots,0.01901262253522873,39,0,4,Emir Spahic,165,h,Hamburger SV,RasenBallsport Leipzig,,2016-09-17 17:30:00,1346,2016,"(0.750999984741211, 0.5629999923706055)"
128308,RightFoot,FromCorner,MissedShots,0.01853393390774727,85,0,4,Alen Halilovic,2215,h,Hamburger SV,RasenBallsport Leipzig,Johan Djourou,2016-09-17 17:30:00,1346,2016,"(0.8280000305175781, 0.365)"
