,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
127560,Head,OpenPlay,MissedShots,0.027789687737822533,90,2,2,Sandro Wagner,11,h,Hoffenheim,RasenBallsport Leipzig,Philipp Ochs,2016-08-28 19:30:00,1335,2016,"(0.860999984741211, 0.5179999923706055)"
127561,RightFoot,SetPiece,MissedShots,0.012200184166431427,93,2,2,Pirmin Schwegler,80,h,Hoffenheim,RasenBallsport Leipzig,,2016-08-28 19:30:00,1335,2016,"(0.815, 0.3)"
127538,RightFoot,OpenPlay,SavedShot,0.1204259991645813,20,2,2,Mark Uth,88,h,Hoffenheim,RasenBallsport Leipzig,Lukas Rupp,2016-08-28 19:30:00,1335,2016,"(0.865, 0.48700000762939455)"
127551,LeftFoot,DirectFreekick,BlockedShot,0.05887926369905472,60,2,2,Mark Uth,88,h,Hoffenheim,RasenBallsport Leipzig,,2016-08-28 19:30:00,1335,2016,"(0.7680000305175781, 0.3220000076293945)"
127557,LeftFoot,OpenPlay,Goal,0.5613905787467957,82,2,2,Mark Uth,88,h,Hoffenheim,RasenBallsport Leipzig,Sebastian Rudy,2016-08-28 19:30:00,1335,2016,"(0.875, 0.5709999847412109)"
127548,RightFoot,FromCorner,Goal,0.08061793446540833,54,2,2,Lukas Rupp,62,h,Hoffenheim,RasenBallsport Leipzig,,2016-08-28 19:30:00,1335,2016,"(0.8780000305175781, 0.46700000762939453)"
127528,RightFoot,OpenPlay,SavedShot,0.022024035453796387,0,2,2,Sebastian Rudy,90,h,Hoffenheim,RasenBallsport Leipzig,Mark Uth,2016-08-28 19:30:00,1335,2016,"(0.8030000305175782, 0.29700000762939455)"
127529,LeftFoot,OpenPlay,SavedShot,0.06924916803836823,1,2,2,Sebastian Rudy,90,h,Hoffenheim,RasenBallsport Leipzig,Niklas Süle,2016-08-28 19:30:00,1335,2016,"(0.98, 0.6430000305175781)"
127546,RightFoot,DirectFreekick,MissedShots,0.04756114259362221,46,2,2,Sebastian Rudy,90,h,Hoffenheim,RasenBallsport Leipzig,,2016-08-28 19:30:00,1335,2016,"(0.8219999694824218, 0.8119999694824219)"
127535,LeftFoot,OpenPlay,MissedShots,0.1336233913898468,16,2,2,Lukas Rupp,62,h,Hoffenheim,RasenBallsport Leipzig,Mark Uth,2016-08-28 19:30:00,1335,2016,"(0.9019999694824219, 0.4759999847412109)"
127536,RightFoot,OpenPlay,MissedShots,0.02247943915426731,18,2,2,Andrej Kramaric,956,h,Hoffenheim,RasenBallsport Leipzig,Lukas Rupp,2016-08-28 19:30:00,1335,2016,"(0.7719999694824219, 0.6880000305175781)"
127845,LeftFoot,FromCorner,ShotOnPost,0.02611488103866577,74,4,4,Sebastian Rudy,90,a,Hoffenheim,Mainz 05,Niklas Süle,2016-09-11 19:30:00,1344,2016,"(0.8530000305175781, 0.23299999237060548)"
127828,RightFoot,OpenPlay,MissedShots,0.015471495687961578,28,4,4,Lukas Rupp,62,a,Hoffenheim,Mainz 05,Eugen Polanski,2016-09-11 19:30:00,1344,2016,"(0.7090000152587891, 0.5179999923706055)"
127830,RightFoot,OpenPlay,MissedShots,0.01288155559450388,40,4,4,Lukas Rupp,62,a,Hoffenheim,Mainz 05,Pirmin Schwegler,2016-09-11 19:30:00,1344,2016,"(0.82, 0.7019999694824218)"
127844,LeftFoot,FromCorner,BlockedShot,0.02184421196579933,73,4,4,Pavel Kaderábek,74,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.7859999847412109, 0.6140000152587891)"
127849,Head,FromCorner,MissedShots,0.03068484552204609,83,4,4,Niklas Süle,75,a,Hoffenheim,Mainz 05,Sebastian Rudy,2016-09-11 19:30:00,1344,2016,"(0.909000015258789, 0.534000015258789)"
127821,Head,FromCorner,MissedShots,0.1119002103805542,1,4,4,Fabian Schär,76,a,Hoffenheim,Mainz 05,Sebastian Rudy,2016-09-11 19:30:00,1344,2016,"(0.9290000152587891, 0.46099998474121096)"
127850,RightFoot,FromCorner,Goal,0.38953593373298645,83,4,4,Ádám Szalai,360,a,Hoffenheim,Mainz 05,Andrej Kramaric,2016-09-11 19:30:00,1344,2016,"(0.9490000152587891, 0.54)"
127838,LeftFoot,SetPiece,BlockedShot,0.07013355195522308,58,4,4,Pirmin Schwegler,80,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.8519999694824218, 0.4540000152587891)"
127835,Head,FromCorner,MissedShots,0.335778146982193,55,4,4,Ermin Bicakcic,84,a,Hoffenheim,Mainz 05,Pavel Kaderábek,2016-09-11 19:30:00,1344,2016,"(0.945, 0.4420000076293945)"
127825,RightFoot,OpenPlay,ShotOnPost,0.0725959911942482,20,4,4,Andrej Kramaric,956,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.8859999847412109, 0.4)"
127824,Head,OpenPlay,BlockedShot,0.025963755324482918,20,4,4,Andrej Kramaric,956,a,Hoffenheim,Mainz 05,Ermin Bicakcic,2016-09-11 19:30:00,1344,2016,"(0.870999984741211, 0.585)"
127837,LeftFoot,DirectFreekick,BlockedShot,0.08427004516124725,58,4,4,Mark Uth,88,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.815, 0.3060000038146973)"
127833,LeftFoot,OpenPlay,BlockedShot,0.03503253310918808,48,4,4,Andrej Kramaric,956,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.8380000305175781, 0.3529999923706055)"
127843,LeftFoot,OpenPlay,Goal,0.024190491065382957,71,4,4,Mark Uth,88,a,Hoffenheim,Mainz 05,Pirmin Schwegler,2016-09-11 19:30:00,1344,2016,"(0.759000015258789, 0.4329999923706055)"
127846,RightFoot,FromCorner,SavedShot,0.12545637786388397,74,4,4,Andrej Kramaric,956,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.904000015258789, 0.5120000076293946)"
127832,RightFoot,DirectFreekick,BlockedShot,0.08484242111444473,45,4,4,Sebastian Rudy,90,a,Hoffenheim,Mainz 05,,2016-09-11 19:30:00,1344,2016,"(0.7709999847412109, 0.5629999923706055)"
127842,Head,OpenPlay,Goal,0.5997366905212402,70,4,4,Mark Uth,88,a,Hoffenheim,Mainz 05,Andrej Kramaric,2016-09-11 19:30:00,1344,2016,"(0.9319999694824219, 0.49)"
127841,RightFoot,OpenPlay,BlockedShot,0.10958519577980042,66,4,4,Ádám Szalai,360,a,Hoffenheim,Mainz 05,Pavel Kaderábek,2016-09-11 19:30:00,1344,2016,"(0.915, 0.5879999923706055)"
127847,RightFoot,OpenPlay,MissedShots,0.06339306384325027,79,4,4,Sandro Wagner,11,a,Hoffenheim,Mainz 05,Andrej Kramaric,2016-09-11 19:30:00,1344,2016,"(0.850999984741211, 0.4570000076293945)"
127829,RightFoot,OpenPlay,Goal,0.041734952479600906,38,4,4,Sandro Wagner,11,a,Hoffenheim,Mainz 05,Andrej Kramaric,2016-09-11 19:30:00,1344,2016,"(0.8619999694824219, 0.3770000076293945)"
128354,LeftFoot,OpenPlay,BlockedShot,0.02060837671160698,40,0,0,Mark Uth,88,h,Hoffenheim,Wolfsburg,Nadiem Amiri,2016-09-17 17:30:00,1347,2016,"(0.7709999847412109, 0.40599998474121096)"
128355,LeftFoot,OpenPlay,MissedShots,0.11843159794807434,53,0,0,Mark Uth,88,h,Hoffenheim,Wolfsburg,Sebastian Rudy,2016-09-17 17:30:00,1347,2016,"(0.91, 0.40200000762939453)"
128336,RightFoot,OpenPlay,BlockedShot,0.06863309442996979,3,0,0,Lukas Rupp,62,h,Hoffenheim,Wolfsburg,,2016-09-17 17:30:00,1347,2016,"(0.855, 0.5690000152587891)"
128367,Head,OpenPlay,MissedShots,0.14284828305244446,76,0,0,Lukas Rupp,62,h,Hoffenheim,Wolfsburg,Kerem Demirbay,2016-09-17 17:30:00,1347,2016,"(0.93, 0.5220000076293946)"
128348,RightFoot,OpenPlay,MissedShots,0.08120276033878326,22,0,0,Andrej Kramaric,956,h,Hoffenheim,Wolfsburg,Nadiem Amiri,2016-09-17 17:30:00,1347,2016,"(0.9669999694824218, 0.6430000305175781)"
128343,RightFoot,OpenPlay,SavedShot,0.10052760690450668,13,0,0,Andrej Kramaric,956,h,Hoffenheim,Wolfsburg,Mark Uth,2016-09-17 17:30:00,1347,2016,"(0.8159999847412109, 0.624000015258789)"
