,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
165968,RightFoot,FromCorner,Goal,0.04281849414110184,26,3,0,Marc Bartra,2453,a,Borussia Dortmund,Wolfsburg,Gonzalo Castro,2017-08-19 14:30:00,8264,2017,"(0.9219999694824219, 0.735999984741211)"
165967,LeftFoot,OpenPlay,BlockedShot,0.03931397944688797,25,3,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Wolfsburg,Maximilian Philipp,2017-08-19 14:30:00,8264,2017,"(0.8130000305175781, 0.3270000076293945)"
165969,RightFoot,OpenPlay,MissedShots,0.04405718296766281,31,3,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Wolfsburg,Sokratis,2017-08-19 14:30:00,8264,2017,"(0.8530000305175781, 0.2620000076293945)"
165977,LeftFoot,OpenPlay,Goal,0.5386132001876831,59,3,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Wolfsburg,Christian Pulisic,2017-08-19 14:30:00,8264,2017,"(0.9530000305175781, 0.5790000152587891)"
165979,RightFoot,OpenPlay,BlockedShot,0.05778656527400017,80,3,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Wolfsburg,Gonzalo Castro,2017-08-19 14:30:00,8264,2017,"(0.81, 0.6309999847412109)"
165959,Head,SetPiece,MissedShots,0.06501221656799316,6,3,0,Dan-Axel Zagadou,6103,a,Borussia Dortmund,Wolfsburg,Nuri Sahin,2017-08-19 14:30:00,8264,2017,"(0.9259999847412109, 0.4640000152587891)"
165960,RightFoot,OpenPlay,MissedShots,0.013439871370792389,8,3,0,Gonzalo Castro,316,a,Borussia Dortmund,Wolfsburg,Maximilian Philipp,2017-08-19 14:30:00,8264,2017,"(0.7030000305175781, 0.3940000152587891)"
165978,RightFoot,OpenPlay,BlockedShot,0.02023521065711975,61,3,0,Maximilian Philipp,4247,a,Borussia Dortmund,Wolfsburg,Dan-Axel Zagadou,2017-08-19 14:30:00,8264,2017,"(0.7440000152587891, 0.82)"
165966,Head,FromCorner,MissedShots,0.06271767616271973,24,3,0,Maximilian Philipp,4247,a,Borussia Dortmund,Wolfsburg,Pierre-Emerick Aubameyang,2017-08-19 14:30:00,8264,2017,"(0.9469999694824218, 0.4420000076293945)"
165965,RightFoot,OpenPlay,Goal,0.05821671709418297,21,3,0,Christian Pulisic,2662,a,Borussia Dortmund,Wolfsburg,Mario Götze,2017-08-19 14:30:00,8264,2017,"(0.8719999694824219, 0.33099998474121095)"
165972,RightFoot,OpenPlay,SavedShot,0.024635355919599533,39,3,0,Mario Götze,422,a,Borussia Dortmund,Wolfsburg,Gonzalo Castro,2017-08-19 14:30:00,8264,2017,"(0.7530000305175781, 0.63)"
165973,RightFoot,OpenPlay,SavedShot,0.023035863414406776,49,3,0,Mario Götze,422,a,Borussia Dortmund,Wolfsburg,Pierre-Emerick Aubameyang,2017-08-19 14:30:00,8264,2017,"(0.7390000152587891, 0.5209999847412109)"
165963,RightFoot,OpenPlay,MissedShots,0.1343526542186737,17,3,0,Gonzalo Castro,316,a,Borussia Dortmund,Wolfsburg,Christian Pulisic,2017-08-19 14:30:00,8264,2017,"(0.9059999847412109, 0.524000015258789)"
165981,RightFoot,OpenPlay,MissedShots,0.1351333111524582,5,2,0,Maximilian Philipp,4247,h,Borussia Dortmund,Hertha Berlin,Christian Pulisic,2017-08-26 17:30:00,8274,2017,"(0.9080000305175782, 0.47200000762939454)"
165996,RightFoot,SetPiece,MissedShots,0.007897251285612583,67,2,0,Lukasz Piszczek,310,h,Borussia Dortmund,Hertha Berlin,,2017-08-26 17:30:00,8274,2017,"(0.6830000305175781, 0.3370000076293945)"
165989,RightFoot,OpenPlay,SavedShot,0.015971554443240166,43,2,0,Maximilian Philipp,4247,h,Borussia Dortmund,Hertha Berlin,Nuri Sahin,2017-08-26 17:30:00,8274,2017,"(0.7240000152587891, 0.7019999694824218)"
165999,RightFoot,OpenPlay,MissedShots,0.10989376902580261,77,2,0,Maximilian Philipp,4247,h,Borussia Dortmund,Hertha Berlin,Gonzalo Castro,2017-08-26 17:30:00,8274,2017,"(0.8730000305175781, 0.43900001525878907)"
165992,RightFoot,OpenPlay,BlockedShot,0.09564612805843353,56,2,0,Maximilian Philipp,4247,h,Borussia Dortmund,Hertha Berlin,Christian Pulisic,2017-08-26 17:30:00,8274,2017,"(0.8780000305175781, 0.534000015258789)"
165985,LeftFoot,OpenPlay,Goal,0.09436273574829102,14,2,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,Hertha Berlin,Nuri Sahin,2017-08-26 17:30:00,8274,2017,"(0.9030000305175782, 0.5279999923706055)"
166003,RightFoot,OpenPlay,SavedShot,0.4341330826282501,85,2,0,Christian Pulisic,2662,h,Borussia Dortmund,Hertha Berlin,Mahmoud Dahoud,2017-08-26 17:30:00,8274,2017,"(0.955999984741211, 0.605999984741211)"
165995,RightFoot,SetPiece,SavedShot,0.06094031780958176,66,2,0,Ömer Toprak,184,h,Borussia Dortmund,Hertha Berlin,,2017-08-26 17:30:00,8274,2017,"(0.845, 0.5459999847412109)"
166000,RightFoot,OpenPlay,SavedShot,0.5009255409240723,81,2,0,Christian Pulisic,2662,h,Borussia Dortmund,Hertha Berlin,Pierre-Emerick Aubameyang,2017-08-26 17:30:00,8274,2017,"(0.9159999847412109, 0.4329999923706055)"
166002,RightFoot,OpenPlay,MissedShots,0.09422281384468079,82,2,0,Christian Pulisic,2662,h,Borussia Dortmund,Hertha Berlin,Mahmoud Dahoud,2017-08-26 17:30:00,8274,2017,"(0.8119999694824219, 0.620999984741211)"
165987,LeftFoot,OpenPlay,SavedShot,0.12026013433933258,27,2,0,Christian Pulisic,2662,h,Borussia Dortmund,Hertha Berlin,Gonzalo Castro,2017-08-26 17:30:00,8274,2017,"(0.894000015258789, 0.40599998474121096)"
165983,RightFoot,OpenPlay,MissedShots,0.03426003083586693,12,2,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,Hertha Berlin,Gonzalo Castro,2017-08-26 17:30:00,8274,2017,"(0.9919999694824219, 0.6140000152587891)"
165982,RightFoot,OpenPlay,MissedShots,0.134905606508255,5,2,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,Hertha Berlin,Maximilian Philipp,2017-08-26 17:30:00,8274,2017,"(0.935, 0.5729999923706055)"
165990,RightFoot,OpenPlay,SavedShot,0.09872514754533768,49,2,0,Maximilian Philipp,4247,h,Borussia Dortmund,Hertha Berlin,Mario Götze,2017-08-26 17:30:00,8274,2017,"(0.8819999694824219, 0.5690000152587891)"
166001,LeftFoot,OpenPlay,MissedShots,0.02156957797706127,81,2,0,Nuri Sahin,2642,h,Borussia Dortmund,Hertha Berlin,,2017-08-26 17:30:00,8274,2017,"(0.7919999694824219, 0.6179999923706054)"
165993,RightFoot,OpenPlay,Goal,0.041391629725694656,56,2,0,Nuri Sahin,2642,h,Borussia Dortmund,Hertha Berlin,,2017-08-26 17:30:00,8274,2017,"(0.7919999694824219, 0.47200000762939454)"
165984,LeftFoot,OpenPlay,BlockedShot,0.07130207121372223,14,2,0,Nuri Sahin,2642,h,Borussia Dortmund,Hertha Berlin,Maximilian Philipp,2017-08-26 17:30:00,8274,2017,"(0.8230000305175781, 0.524000015258789)"
165991,LeftFoot,OpenPlay,MissedShots,0.03132086992263794,51,2,0,Christian Pulisic,2662,h,Borussia Dortmund,Hertha Berlin,Gonzalo Castro,2017-08-26 17:30:00,8274,2017,"(0.749000015258789, 0.4929999923706055)"
166293,LeftFoot,OpenPlay,BlockedShot,0.011887026019394398,61,0,0,Nuri Sahin,2642,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.7140000152587891, 0.5640000152587891)"
166296,RightFoot,OpenPlay,MissedShots,0.08954638987779617,63,0,0,Maximilian Philipp,4247,a,Borussia Dortmund,Freiburg,Mario Götze,2017-09-09 14:30:00,8280,2017,"(0.875999984741211, 0.62)"
166301,RightFoot,OpenPlay,MissedShots,0.03428659215569496,76,0,0,Maximilian Philipp,4247,a,Borussia Dortmund,Freiburg,Gonzalo Castro,2017-09-09 14:30:00,8280,2017,"(0.7959999847412109, 0.39099998474121095)"
166307,LeftFoot,FromCorner,MissedShots,0.012922006659209728,94,0,0,Dan-Axel Zagadou,6103,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.735, 0.41)"
166295,RightFoot,OpenPlay,BlockedShot,0.03114018216729164,63,0,0,Mario Götze,422,a,Borussia Dortmund,Freiburg,Nuri Sahin,2017-09-09 14:30:00,8280,2017,"(0.775, 0.515)"
166288,LeftFoot,OpenPlay,BlockedShot,0.025299329310655594,48,0,0,Nuri Sahin,2642,a,Borussia Dortmund,Freiburg,Ömer Toprak,2017-09-09 14:30:00,8280,2017,"(0.8169999694824219, 0.7269999694824218)"
166285,RightFoot,OpenPlay,BlockedShot,0.012607650831341743,48,0,0,Lukasz Piszczek,310,a,Borussia Dortmund,Freiburg,Nuri Sahin,2017-09-09 14:30:00,8280,2017,"(0.7030000305175781, 0.28600000381469726)"
166294,LeftFoot,FromCorner,MissedShots,0.0445212796330452,61,0,0,Lukasz Piszczek,310,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.8230000305175781, 0.5329999923706055)"
166304,Head,OpenPlay,MissedShots,0.0278032086789608,80,0,0,Lukasz Piszczek,310,a,Borussia Dortmund,Freiburg,Nuri Sahin,2017-09-09 14:30:00,8280,2017,"(0.9069999694824219, 0.3659999847412109)"
166283,LeftFoot,OpenPlay,BlockedShot,0.08367651700973511,42,0,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Freiburg,Mario Götze,2017-09-09 14:30:00,8280,2017,"(0.8430000305175781, 0.485)"
166278,Head,OpenPlay,MissedShots,0.22026482224464417,10,0,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Freiburg,Mario Götze,2017-09-09 14:30:00,8280,2017,"(0.9409999847412109, 0.5870000076293945)"
166282,LeftFoot,OpenPlay,SavedShot,0.016437625512480736,39,0,0,Nuri Sahin,2642,a,Borussia Dortmund,Freiburg,Sokratis,2017-09-09 14:30:00,8280,2017,"(0.7069999694824218, 0.5940000152587891)"
166291,LeftFoot,OpenPlay,MissedShots,0.023984601721167564,55,0,0,Dan-Axel Zagadou,6103,a,Borussia Dortmund,Freiburg,Gonzalo Castro,2017-09-09 14:30:00,8280,2017,"(0.9690000152587891, 0.6730000305175782)"
166290,Head,OpenPlay,MissedShots,0.04028036445379257,53,0,0,Pierre-Emerick Aubameyang,318,a,Borussia Dortmund,Freiburg,Christian Pulisic,2017-09-09 14:30:00,8280,2017,"(0.9369999694824219, 0.62)"
166289,RightFoot,OpenPlay,MissedShots,0.0882924273610115,52,0,0,Maximilian Philipp,4247,a,Borussia Dortmund,Freiburg,Dan-Axel Zagadou,2017-09-09 14:30:00,8280,2017,"(0.9209999847412109, 0.5879999923706055)"
166299,RightFoot,OpenPlay,SavedShot,0.02353828027844429,72,0,0,Nuri Sahin,2642,a,Borussia Dortmund,Freiburg,Gonzalo Castro,2017-09-09 14:30:00,8280,2017,"(0.75, 0.4759999847412109)"
166303,RightFoot,OpenPlay,MissedShots,0.00852605327963829,80,0,0,Sokratis,371,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.6769999694824219, 0.38599998474121094)"
166305,LeftFoot,OpenPlay,BlockedShot,0.059095002710819244,84,0,0,Christian Pulisic,2662,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.855, 0.37900001525878907)"
166287,Head,FromCorner,MissedShots,0.10966236144304276,46,0,0,Ömer Toprak,184,a,Borussia Dortmund,Freiburg,Maximilian Philipp,2017-09-09 14:30:00,8280,2017,"(0.9269999694824219, 0.47900001525878905)"
166306,RightFoot,OpenPlay,BlockedShot,0.021044638007879257,91,0,0,Sokratis,371,a,Borussia Dortmund,Freiburg,Gonzalo Castro,2017-09-09 14:30:00,8280,2017,"(0.774000015258789, 0.30700000762939456)"
166284,RightFoot,OpenPlay,BlockedShot,0.07936045527458191,47,0,0,Mario Götze,422,a,Borussia Dortmund,Freiburg,Nuri Sahin,2017-09-09 14:30:00,8280,2017,"(0.8430000305175781, 0.4279999923706055)"
166277,RightFoot,OpenPlay,BlockedShot,0.07149097323417664,8,0,0,Mario Götze,422,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.87, 0.5970000076293945)"
166292,RightFoot,OpenPlay,BlockedShot,0.012640740722417831,57,0,0,Sokratis,371,a,Borussia Dortmund,Freiburg,Nuri Sahin,2017-09-09 14:30:00,8280,2017,"(0.68, 0.415)"
166297,LeftFoot,DirectFreekick,BlockedShot,0.09730661660432816,66,0,0,Nuri Sahin,2642,a,Borussia Dortmund,Freiburg,,2017-09-09 14:30:00,8280,2017,"(0.78, 0.45099998474121095)"
166281,RightFoot,OpenPlay,MissedShots,0.01443458255380392,35,0,0,Sokratis,371,a,Borussia Dortmund,Freiburg,Ömer Toprak,2017-09-09 14:30:00,8280,2017,"(0.69, 0.3890000152587891)"
166286,LeftFoot,OpenPlay,SavedShot,0.2941463589668274,46,0,0,Christian Pulisic,2662,a,Borussia Dortmund,Freiburg,Mario Götze,2017-09-09 14:30:00,8280,2017,"(0.9259999847412109, 0.6140000152587891)"
166298,RightFoot,OpenPlay,BlockedShot,0.01381574384868145,68,0,0,Sokratis,371,a,Borussia Dortmund,Freiburg,Ömer Toprak,2017-09-09 14:30:00,8280,2017,"(0.6780000305175782, 0.4)"
166506,OtherBodyPart,FromCorner,MissedShots,0.04300533980131149,30,5,0,Lukasz Piszczek,310,h,Borussia Dortmund,FC Cologne,Gonzalo Castro,2017-09-17 17:00:00,8294,2017,"(0.9219999694824219, 0.534000015258789)"
166524,Head,FromCorner,MissedShots,0.025231342762708664,84,5,0,Lukasz Piszczek,310,h,Borussia Dortmund,FC Cologne,Gonzalo Castro,2017-09-17 17:00:00,8294,2017,"(0.87, 0.46599998474121096)"
166512,RightFoot,OpenPlay,MissedShots,0.09560976922512054,46,5,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,FC Cologne,Gonzalo Castro,2017-09-17 17:00:00,8294,2017,"(0.855999984741211, 0.34900001525878904)"
166511,RightFoot,OpenPlay,ShotOnPost,0.3665641248226166,45,5,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,FC Cologne,Gonzalo Castro,2017-09-17 17:00:00,8294,2017,"(0.904000015258789, 0.66)"
166502,RightFoot,OpenPlay,SavedShot,0.08297796547412872,16,5,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,FC Cologne,Gonzalo Castro,2017-09-17 17:00:00,8294,2017,"(0.8469999694824218, 0.4370000076293945)"
166518,RightFoot,OpenPlay,Goal,0.5497335195541382,59,5,0,Pierre-Emerick Aubameyang,318,h,Borussia Dortmund,FC Cologne,Lukasz Piszczek,2017-09-17 17:00:00,8294,2017,"(0.93, 0.5179999923706055)"
166510,RightFoot,FromCorner,Goal,0.5776728987693787,45,5,0,Sokratis,371,h,Borussia Dortmund,FC Cologne,,2017-09-17 17:00:00,8294,2017,"(0.9530000305175781, 0.53)"
