,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
165886,LeftFoot,OpenPlay,MissedShots,0.05710597336292267,82,0,1,Lukas Klünter,403,a,FC Cologne,Borussia M.Gladbach,Jonas Hector,2017-08-20 17:00:00,8267,2017,"(0.8780000305175781, 0.33099998474121095)"
165890,RightFoot,DirectFreekick,MissedShots,0.08019527792930603,89,0,1,Milos Jojic,144,a,FC Cologne,Borussia M.Gladbach,,2017-08-20 17:00:00,8267,2017,"(0.7630000305175781, 0.46900001525878904)"
165888,RightFoot,OpenPlay,BlockedShot,0.018460726365447044,86,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Simon Zoller,2017-08-20 17:00:00,8267,2017,"(0.745999984741211, 0.47200000762939454)"
165889,Head,FromCorner,MissedShots,0.058653414249420166,86,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Milos Jojic,2017-08-20 17:00:00,8267,2017,"(0.9259999847412109, 0.4879999923706055)"
165884,RightFoot,OpenPlay,SavedShot,0.0999063178896904,73,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Jannes Horn,2017-08-20 17:00:00,8267,2017,"(0.9469999694824218, 0.5420000076293945)"
165880,RightFoot,FromCorner,MissedShots,0.10355798155069351,66,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,,2017-08-20 17:00:00,8267,2017,"(0.9280000305175782, 0.4370000076293945)"
165879,Head,OpenPlay,BlockedShot,0.04368482902646065,65,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Jannes Horn,2017-08-20 17:00:00,8267,2017,"(0.909000015258789, 0.504000015258789)"
165877,RightFoot,OpenPlay,BlockedShot,0.0853646844625473,61,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Lukas Klünter,2017-08-20 17:00:00,8267,2017,"(0.894000015258789, 0.48400001525878905)"
165873,RightFoot,OpenPlay,BlockedShot,0.06125381216406822,49,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,,2017-08-20 17:00:00,8267,2017,"(0.9259999847412109, 0.35200000762939454)"
165885,RightFoot,OpenPlay,MissedShots,0.014054780825972557,75,0,1,Milos Jojic,144,a,FC Cologne,Borussia M.Gladbach,Lukas Klünter,2017-08-20 17:00:00,8267,2017,"(0.7369999694824219, 0.25299999237060544)"
165864,RightFoot,OpenPlay,SavedShot,0.09851071983575821,18,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Leonardo Bittencourt,2017-08-20 17:00:00,8267,2017,"(0.9290000152587891, 0.664000015258789)"
165866,RightFoot,OpenPlay,MissedShots,0.08960741013288498,31,0,1,Jhon Córdoba,48,a,FC Cologne,Borussia M.Gladbach,Marcel Risse,2017-08-20 17:00:00,8267,2017,"(0.95, 0.32799999237060545)"
165878,Head,OpenPlay,MissedShots,0.027547070756554604,64,0,1,Leonardo Bittencourt,262,a,FC Cologne,Borussia M.Gladbach,Lukas Klünter,2017-08-20 17:00:00,8267,2017,"(0.9590000152587891, 0.605999984741211)"
166047,Head,OpenPlay,MissedShots,0.04258837178349495,30,1,3,Christian Clemens,49,h,FC Cologne,Hamburger SV,Jannes Horn,2017-08-25 19:30:00,8268,2017,"(0.9080000305175782, 0.46299999237060546)"
166059,RightFoot,OpenPlay,MissedShots,0.04876154288649559,47,1,3,Christian Clemens,49,h,FC Cologne,Hamburger SV,Yuya Osako,2017-08-25 19:30:00,8268,2017,"(0.8059999847412109, 0.5529999923706055)"
166067,RightFoot,OpenPlay,MissedShots,0.021757017821073532,92,1,3,Christian Clemens,49,h,FC Cologne,Hamburger SV,Jonas Hector,2017-08-25 19:30:00,8268,2017,"(0.755, 0.5459999847412109)"
166068,Head,FromCorner,MissedShots,0.0939350351691246,94,1,3,Sehrou Guirassy,3738,h,FC Cologne,Hamburger SV,Milos Jojic,2017-08-25 19:30:00,8268,2017,"(0.9280000305175782, 0.4420000076293945)"
166065,Head,OpenPlay,MissedShots,0.5761333703994751,85,1,3,Sehrou Guirassy,3738,h,FC Cologne,Hamburger SV,Jannes Horn,2017-08-25 19:30:00,8268,2017,"(0.9569999694824218, 0.534000015258789)"
166054,RightFoot,OpenPlay,MissedShots,0.02615336701273918,43,1,3,Jannes Horn,2627,h,FC Cologne,Hamburger SV,,2017-08-25 19:30:00,8268,2017,"(0.81, 0.6480000305175782)"
166053,LeftFoot,FromCorner,MissedShots,0.022279497236013412,41,1,3,Jannes Horn,2627,h,FC Cologne,Hamburger SV,,2017-08-25 19:30:00,8268,2017,"(0.78, 0.5820000076293945)"
166048,LeftFoot,OpenPlay,MissedShots,0.017582902684807777,30,1,3,Leonardo Bittencourt,262,h,FC Cologne,Hamburger SV,,2017-08-25 19:30:00,8268,2017,"(0.745, 0.43099998474121093)"
166072,Head,FromCorner,BlockedShot,0.06386363506317139,101,1,3,Jonas Hector,131,h,FC Cologne,Hamburger SV,Milos Jojic,2017-08-25 19:30:00,8268,2017,"(0.9, 0.46799999237060547)"
166071,LeftFoot,OpenPlay,SavedShot,0.025227751582860947,101,1,3,Milos Jojic,144,h,FC Cologne,Hamburger SV,,2017-08-25 19:30:00,8268,2017,"(0.8780000305175781, 0.34299999237060547)"
166064,RightFoot,OpenPlay,MissedShots,0.03596457093954086,82,1,3,Milos Jojic,144,h,FC Cologne,Hamburger SV,Jhon Córdoba,2017-08-25 19:30:00,8268,2017,"(0.7959999847412109, 0.6079999923706054)"
166060,LeftFoot,OpenPlay,MissedShots,0.016409549862146378,63,1,3,Yuya Osako,135,h,FC Cologne,Hamburger SV,Dominique Heintz,2017-08-25 19:30:00,8268,2017,"(0.75, 0.7019999694824218)"
166052,LeftFoot,OpenPlay,SavedShot,0.018151095137000084,41,1,3,Jonas Hector,131,h,FC Cologne,Hamburger SV,Yuya Osako,2017-08-25 19:30:00,8268,2017,"(0.7680000305175781, 0.33299999237060546)"
166062,RightFoot,OpenPlay,SavedShot,0.008523596450686455,66,1,3,Matthias Lehmann,132,h,FC Cologne,Hamburger SV,Jannes Horn,2017-08-25 19:30:00,8268,2017,"(0.6880000305175781, 0.62)"
166043,RightFoot,OpenPlay,SavedShot,0.034013692289590836,5,1,3,Yuya Osako,135,h,FC Cologne,Hamburger SV,,2017-08-25 19:30:00,8268,2017,"(0.7809999847412109, 0.5120000076293946)"
166069,RightFoot,OpenPlay,Goal,0.27495408058166504,96,1,3,Frederik Sörensen,138,h,FC Cologne,Hamburger SV,Jhon Córdoba,2017-08-25 19:30:00,8268,2017,"(0.9630000305175781, 0.595999984741211)"
166063,RightFoot,OpenPlay,SavedShot,0.025979984551668167,76,1,3,Jhon Córdoba,48,h,FC Cologne,Hamburger SV,Christian Clemens,2017-08-25 19:30:00,8268,2017,"(0.7869999694824219, 0.3890000152587891)"
