,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
8260,Hoffenheim,Werder Bremen,0.97427,0.806833,1,0,h,2017-08-19 14:30:00
8271,Hoffenheim,Bayer Leverkusen,0.68001,2.43586,2,2,a,2017-08-26 14:30:00
8283,Hoffenheim,Bayern Munich,0.612108,1.51192,2,0,h,2017-09-09 17:30:00
8292,Hoffenheim,Hertha Berlin,0.576053,0.455083,1,1,h,2017-09-17 12:30:00
8303,Hoffenheim,Mainz 05,0.960305,1.1225,3,2,a,2017-09-20 19:30:00
8309,Hoffenheim,Schalke 04,1.31728,1.0397,2,0,h,2017-09-23 14:30:00
8316,Hoffenheim,Freiburg,0.627194,1.24882,2,3,a,2017-10-01 12:30:00
8324,Hoffenheim,Augsburg,1.92073,0.918991,2,2,h,2017-10-14 14:30:00
8339,Hoffenheim,Wolfsburg,1.91537,1.29664,1,1,a,2017-10-22 17:00:00
8341,Hoffenheim,Borussia M.Gladbach,1.08587,1.80818,1,3,h,2017-10-28 14:30:00
8350,Hoffenheim,FC Cologne,3.01942,0.857394,3,0,a,2017-11-05 14:30:00
8359,Hoffenheim,Eintracht Frankfurt,1.30552,0.436613,1,1,h,2017-11-18 14:30:00
8374,Hoffenheim,Hamburger SV,0.606966,1.8111,0,3,a,2017-11-26 14:30:00
8377,Hoffenheim,RasenBallsport Leipzig,1.69565,0.284209,4,0,h,2017-12-02 14:30:00
8388,Hoffenheim,Hannover 96,0.750256,1.48558,0,2,a,2017-12-10 14:30:00
8395,Hoffenheim,VfB Stuttgart,2.10144,0.616667,1,0,h,2017-12-13 17:30:00
8403,Hoffenheim,Borussia Dortmund,1.31881,3.38052,1,2,a,2017-12-16 17:30:00
8415,Hoffenheim,Werder Bremen,1.30821,2.47477,1,1,a,2018-01-13 14:30:00
8422,Hoffenheim,Bayer Leverkusen,0.638704,2.20181,1,4,h,2018-01-20 14:30:00
8431,Hoffenheim,Bayern Munich,1.01591,2.83832,2,5,a,2018-01-27 14:30:00
8439,Hoffenheim,Hertha Berlin,2.05596,1.24795,1,1,a,2018-02-03 14:30:00
8454,Hoffenheim,Mainz 05,2.97721,1.45197,4,2,h,2018-02-10 14:30:00
8461,Hoffenheim,Schalke 04,0.4915,1.03034,1,2,a,2018-02-17 17:30:00
8469,Hoffenheim,Freiburg,0.564931,1.00896,1,1,h,2018-02-24 14:30:00
8481,Hoffenheim,Augsburg,1.84153,0.52869,2,0,a,2018-03-03 14:30:00
8486,Hoffenheim,Wolfsburg,1.41466,0.226156,3,0,h,2018-03-10 14:30:00
8496,Hoffenheim,Borussia M.Gladbach,2.23407,2.29819,3,3,a,2018-03-17 14:30:00
8506,Hoffenheim,FC Cologne,3.02461,0.786962,6,0,h,2018-03-31 14:30:00
8516,Hoffenheim,Eintracht Frankfurt,0.621143,1.82811,1,1,a,2018-04-08 16:00:00
8521,Hoffenheim,Hamburger SV,3.47924,0.338639,2,0,h,2018-04-14 13:30:00
8530,Hoffenheim,RasenBallsport Leipzig,3.43682,1.59229,5,2,a,2018-04-21 13:30:00
8539,Hoffenheim,Hannover 96,1.88985,1.26677,3,1,h,2018-04-27 18:30:00
8549,Hoffenheim,VfB Stuttgart,1.18053,0.980831,0,2,a,2018-05-05 14:30:00
8557,Hoffenheim,Borussia Dortmund,1.07393,1.57779,3,1,h,2018-05-12 14:30:00
