,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
165800,LeftFoot,OpenPlay,BlockedShot,0.030899528414011,28,0,1,Max Kruse,155,a,Werder Bremen,Hoffenheim,Theodor Gebre Selassie,2017-08-19 14:30:00,8260,2017,"(0.799000015258789, 0.3940000152587891)"
165803,RightFoot,FromCorner,MissedShots,0.029344452545046806,35,0,1,Maximilian Eggestein,125,a,Werder Bremen,Hoffenheim,,2017-08-19 14:30:00,8260,2017,"(0.8080000305175781, 0.39599998474121095)"
165810,RightFoot,OpenPlay,SavedShot,0.029377441853284836,58,0,1,Maximilian Eggestein,125,a,Werder Bremen,Hoffenheim,Max Kruse,2017-08-19 14:30:00,8260,2017,"(0.8490000152587891, 0.2610000038146973)"
165801,RightFoot,OpenPlay,MissedShots,0.505068302154541,28,0,1,Florian Kainz,5231,a,Werder Bremen,Hoffenheim,Fin Bartels,2017-08-19 14:30:00,8260,2017,"(0.9159999847412109, 0.5270000076293946)"
165796,Head,FromCorner,MissedShots,0.01793208159506321,15,0,1,Milos Veljkovic,2691,a,Werder Bremen,Hoffenheim,Florian Kainz,2017-08-19 14:30:00,8260,2017,"(0.91, 0.5729999923706055)"
165799,Head,FromCorner,MissedShots,0.0182629507035017,26,0,1,Lamine Sané,3254,a,Werder Bremen,Hoffenheim,Max Kruse,2017-08-19 14:30:00,8260,2017,"(0.895, 0.4640000152587891)"
165804,Head,FromCorner,MissedShots,0.019114987924695015,36,0,1,Thomas Delaney,5230,a,Werder Bremen,Hoffenheim,Florian Kainz,2017-08-19 14:30:00,8260,2017,"(0.9259999847412109, 0.41)"
165802,LeftFoot,OpenPlay,SavedShot,0.059851016849279404,34,0,1,Ludwig Augustinsson,6083,a,Werder Bremen,Hoffenheim,,2017-08-19 14:30:00,8260,2017,"(0.9080000305175782, 0.669000015258789)"
165797,RightFoot,OpenPlay,MissedShots,0.021858543157577515,21,0,1,Max Kruse,155,a,Werder Bremen,Hoffenheim,Florian Kainz,2017-08-19 14:30:00,8260,2017,"(0.7619999694824219, 0.6409999847412109)"
165807,RightFoot,DirectFreekick,BlockedShot,0.04989674314856529,48,0,1,Florian Kainz,5231,a,Werder Bremen,Hoffenheim,,2017-08-19 14:30:00,8260,2017,"(0.7469999694824219, 0.669000015258789)"
165805,LeftFoot,OpenPlay,BlockedShot,0.025226624682545662,40,0,1,Max Kruse,155,a,Werder Bremen,Hoffenheim,Fin Bartels,2017-08-19 14:30:00,8260,2017,"(0.7580000305175781, 0.4929999923706055)"
166090,RightFoot,OpenPlay,BlockedShot,0.021254301071166992,57,0,2,Jérôme Gondorf,8,h,Werder Bremen,Bayern Munich,Fin Bartels,2017-08-26 14:30:00,8269,2017,"(0.7819999694824219, 0.32799999237060545)"
166082,RightFoot,SetPiece,BlockedShot,0.08024676889181137,28,0,2,Thomas Delaney,5230,h,Werder Bremen,Bayern Munich,,2017-08-26 14:30:00,8269,2017,"(0.899000015258789, 0.46599998474121096)"
166083,RightFoot,SetPiece,BlockedShot,0.10050081461668015,28,0,2,Ludwig Augustinsson,6083,h,Werder Bremen,Bayern Munich,,2017-08-26 14:30:00,8269,2017,"(0.879000015258789, 0.47400001525878904)"
166085,RightFoot,OpenPlay,BlockedShot,0.035760823637247086,42,0,2,Max Kruse,155,h,Werder Bremen,Bayern Munich,Jérôme Gondorf,2017-08-26 14:30:00,8269,2017,"(0.8119999694824219, 0.6480000305175782)"
166273,RightFoot,OpenPlay,MissedShots,0.040486063808202744,90,1,1,Max Kruse,155,a,Werder Bremen,Hertha Berlin,Thomas Delaney,2017-09-10 14:30:00,8284,2017,"(0.7980000305175782, 0.5929999923706055)"
166271,RightFoot,OpenPlay,SavedShot,0.022118141874670982,79,1,1,Thomas Delaney,5230,a,Werder Bremen,Hertha Berlin,Max Kruse,2017-09-10 14:30:00,8284,2017,"(0.7440000152587891, 0.44)"
166261,Head,FromCorner,MissedShots,0.06523372232913971,31,1,1,Ludwig Augustinsson,6083,a,Werder Bremen,Hertha Berlin,Maximilian Eggestein,2017-09-10 14:30:00,8284,2017,"(0.895, 0.5420000076293945)"
166260,RightFoot,OpenPlay,BlockedShot,0.02952575869858265,31,1,1,Florian Kainz,5231,a,Werder Bremen,Hertha Berlin,,2017-09-10 14:30:00,8284,2017,"(0.794000015258789, 0.36900001525878906)"
166268,RightFoot,OpenPlay,SavedShot,0.04251839220523834,62,1,1,Fin Bartels,115,a,Werder Bremen,Hertha Berlin,Max Kruse,2017-09-10 14:30:00,8284,2017,"(0.8030000305175782, 0.575)"
166257,Head,FromCorner,MissedShots,0.0626242384314537,3,1,1,Thomas Delaney,5230,a,Werder Bremen,Hertha Berlin,Ludwig Augustinsson,2017-09-10 14:30:00,8284,2017,"(0.9169999694824219, 0.49700000762939456)"
166269,Head,OpenPlay,MissedShots,0.05008895322680473,70,1,1,Thomas Delaney,5230,a,Werder Bremen,Hertha Berlin,Ludwig Augustinsson,2017-09-10 14:30:00,8284,2017,"(0.9009999847412109, 0.415)"
166267,LeftFoot,OpenPlay,Goal,0.0834745243191719,58,1,1,Thomas Delaney,5230,a,Werder Bremen,Hertha Berlin,,2017-09-10 14:30:00,8284,2017,"(0.8530000305175781, 0.43099998474121093)"
166259,LeftFoot,OpenPlay,SavedShot,0.12136785686016083,21,1,1,Thomas Delaney,5230,a,Werder Bremen,Hertha Berlin,Fin Bartels,2017-09-10 14:30:00,8284,2017,"(0.915, 0.40599998474121096)"
