,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10339,Augsburg,Fortuna Duesseldorf,0.755029,1.32783,2,1,a,2018-08-25 16:30:00
10349,Augsburg,Borussia M.Gladbach,1.7521,1.31189,1,1,h,2018-09-01 13:30:00
10357,Augsburg,Mainz 05,0.736371,2.81187,1,2,a,2018-09-15 13:30:00
10367,Augsburg,Werder Bremen,2.11259,1.39048,2,3,h,2018-09-22 13:30:00
10376,Augsburg,Bayern Munich,1.32512,1.43314,1,1,a,2018-09-25 18:30:00
10390,Augsburg,Freiburg,4.37565,1.61825,4,1,h,2018-09-30 16:00:00
10393,Augsburg,Borussia Dortmund,3.18937,2.09977,3,4,a,2018-10-06 13:30:00
10406,Augsburg,RasenBallsport Leipzig,0.267706,1.098,0,0,h,2018-10-20 13:30:00
10413,Augsburg,Hannover 96,1.45577,0.616434,2,1,a,2018-10-27 13:30:00
10419,Augsburg,Nuernberg,2.61879,1.37885,2,2,h,2018-11-03 14:30:00
10427,Augsburg,Hoffenheim,1.14191,1.82862,1,2,a,2018-11-10 14:30:00
10441,Augsburg,Eintracht Frankfurt,2.01274,3.21577,1,3,h,2018-11-24 14:30:00
10448,Augsburg,VfB Stuttgart,1.64707,0.710341,0,1,a,2018-12-01 14:30:00
10456,Augsburg,Bayer Leverkusen,0.768373,1.53502,0,1,a,2018-12-08 14:30:00
10468,Augsburg,Schalke 04,2.00924,0.758425,1,1,h,2018-12-15 14:30:00
10480,Augsburg,Hertha Berlin,0.728652,1.74712,2,2,a,2018-12-18 19:30:00
10488,Augsburg,Wolfsburg,0.382344,2.66718,2,3,h,2018-12-23 14:30:00
10493,Augsburg,Fortuna Duesseldorf,0.869957,1.0413,1,2,h,2019-01-19 14:30:00
10501,Augsburg,Borussia M.Gladbach,0.777086,2.08047,0,2,a,2019-01-26 14:30:00
10512,Augsburg,Mainz 05,3.79911,0.20019,3,0,h,2019-02-03 14:30:00
10521,Augsburg,Werder Bremen,1.05801,1.66903,0,4,a,2019-02-10 14:30:00
10531,Augsburg,Bayern Munich,0.510867,2.20232,2,3,h,2019-02-15 19:30:00
10541,Augsburg,Freiburg,1.54501,2.01296,1,5,a,2019-02-23 14:30:00
10550,Augsburg,Borussia Dortmund,0.961029,2.85445,2,1,h,2019-03-01 19:30:00
10556,Augsburg,RasenBallsport Leipzig,0.181299,2.35335,0,0,a,2019-03-09 14:30:00
10567,Augsburg,Hannover 96,1.35782,1.4864,3,1,h,2019-03-16 14:30:00
10575,Augsburg,Nuernberg,0.867874,1.76901,0,3,a,2019-03-30 14:30:00
10586,Augsburg,Hoffenheim,0.653608,3.60653,0,4,h,2019-04-07 14:30:00
10593,Augsburg,Eintracht Frankfurt,2.22016,2.09741,3,1,a,2019-04-14 17:00:00
10602,Augsburg,VfB Stuttgart,2.39187,1.38001,6,0,h,2019-04-20 14:30:00
10612,Augsburg,Bayer Leverkusen,0.278207,2.9293,1,4,h,2019-04-26 19:30:00
10617,Augsburg,Schalke 04,0.589384,1.82173,0,0,a,2019-05-05 12:30:00
10631,Augsburg,Hertha Berlin,1.43088,2.5836,3,4,h,2019-05-11 14:30:00
10641,Augsburg,Wolfsburg,0.672581,4.15452,1,8,a,2019-05-18 13:30:00
