,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
220338,RightFoot,FromCorner,MissedShots,0.07308173179626465,91,0,2,Jonathan Tah,183,a,Bayer Leverkusen,Borussia M.Gladbach,,2018-08-25 19:30:00,10343,2018,"(0.865999984741211, 0.524000015258789)"
220309,Head,OpenPlay,ShotOnPost,0.3444992005825043,16,0,2,Leon Bailey,5221,a,Bayer Leverkusen,Borussia M.Gladbach,Kevin Volland,2018-08-25 19:30:00,10343,2018,"(0.9469999694824218, 0.5690000152587891)"
220308,RightFoot,OpenPlay,SavedShot,0.03793107718229294,6,0,2,Leon Bailey,5221,a,Bayer Leverkusen,Borussia M.Gladbach,Kai Havertz,2018-08-25 19:30:00,10343,2018,"(0.9230000305175782, 0.7390000152587891)"
220323,LeftFoot,OpenPlay,SavedShot,0.027619244530797005,65,0,2,Kevin Volland,83,a,Bayer Leverkusen,Borussia M.Gladbach,Leon Bailey,2018-08-25 19:30:00,10343,2018,"(0.8380000305175781, 0.7230000305175781)"
220334,Head,OpenPlay,SavedShot,0.08303298056125641,85,0,2,Lucas Alario,6338,a,Bayer Leverkusen,Borussia M.Gladbach,Mitchell Weiser,2018-08-25 19:30:00,10343,2018,"(0.91, 0.555)"
220330,Head,FromCorner,MissedShots,0.06377729028463364,70,0,2,Lucas Alario,6338,a,Bayer Leverkusen,Borussia M.Gladbach,Leon Bailey,2018-08-25 19:30:00,10343,2018,"(0.905, 0.5509999847412109)"
220310,RightFoot,OpenPlay,BlockedShot,0.024241244420409203,16,0,2,Lucas Alario,6338,a,Bayer Leverkusen,Borussia M.Gladbach,Leon Bailey,2018-08-25 19:30:00,10343,2018,"(0.749000015258789, 0.54)"
220322,LeftFoot,OpenPlay,MissedShots,0.009687015786767006,63,0,2,Leon Bailey,5221,a,Bayer Leverkusen,Borussia M.Gladbach,Wendell,2018-08-25 19:30:00,10343,2018,"(0.8009999847412109, 0.7819999694824219)"
220337,RightFoot,OpenPlay,BlockedShot,0.1224355697631836,90,0,2,Isaac Thelin,3712,a,Bayer Leverkusen,Borussia M.Gladbach,Karim Bellarabi,2018-08-25 19:30:00,10343,2018,"(0.9219999694824219, 0.4620000076293945)"
220318,LeftFoot,OpenPlay,MissedShots,0.04160543531179428,48,0,2,Dominik Kohr,269,a,Bayer Leverkusen,Borussia M.Gladbach,Lucas Alario,2018-08-25 19:30:00,10343,2018,"(0.8, 0.485)"
220314,RightFoot,OpenPlay,MissedShots,0.017152709886431694,33,0,2,Dominik Kohr,269,a,Bayer Leverkusen,Borussia M.Gladbach,Leon Bailey,2018-08-25 19:30:00,10343,2018,"(0.7269999694824218, 0.5709999847412109)"
220313,LeftFoot,OpenPlay,BlockedShot,0.13499800860881805,32,0,2,Kevin Volland,83,a,Bayer Leverkusen,Borussia M.Gladbach,Julian Brandt,2018-08-25 19:30:00,10343,2018,"(0.9230000305175782, 0.5729999923706055)"
220316,LeftFoot,OpenPlay,MissedShots,0.02074488438665867,44,0,2,Wendell,185,a,Bayer Leverkusen,Borussia M.Gladbach,Julian Brandt,2018-08-25 19:30:00,10343,2018,"(0.7569999694824219, 0.6419999694824219)"
220331,LeftFoot,OpenPlay,MissedShots,0.05694189667701721,76,0,2,Leon Bailey,5221,a,Bayer Leverkusen,Borussia M.Gladbach,Dominik Kohr,2018-08-25 19:30:00,10343,2018,"(0.8619999694824219, 0.34)"
221637,LeftFoot,DirectFreekick,BlockedShot,0.06540406495332718,49,1,3,Leon Bailey,5221,h,Bayer Leverkusen,Wolfsburg,,2018-09-01 13:30:00,10351,2018,"(0.750999984741211, 0.42200000762939455)"
221644,RightFoot,OpenPlay,BlockedShot,0.04035516828298569,66,1,3,Leon Bailey,5221,h,Bayer Leverkusen,Wolfsburg,,2018-09-01 13:30:00,10351,2018,"(0.874000015258789, 0.6759999847412109)"
221627,LeftFoot,OpenPlay,Goal,0.021841684356331825,23,1,3,Leon Bailey,5221,h,Bayer Leverkusen,Wolfsburg,Mitchell Weiser,2018-09-01 13:30:00,10351,2018,"(0.764000015258789, 0.33299999237060546)"
221622,Head,FromCorner,MissedShots,0.0843484103679657,1,1,3,Jonathan Tah,183,h,Bayer Leverkusen,Wolfsburg,Leon Bailey,2018-09-01 13:30:00,10351,2018,"(0.9540000152587891, 0.519000015258789)"
221628,LeftFoot,OpenPlay,MissedShots,0.01756482757627964,30,1,3,Kai Havertz,5220,h,Bayer Leverkusen,Wolfsburg,,2018-09-01 13:30:00,10351,2018,"(0.720999984741211, 0.5790000152587891)"
221649,Head,OpenPlay,SavedShot,0.055994145572185516,90,1,3,Isaac Thelin,3712,h,Bayer Leverkusen,Wolfsburg,Kai Havertz,2018-09-01 13:30:00,10351,2018,"(0.9180000305175782, 0.56)"
221647,LeftFoot,OpenPlay,MissedShots,0.0674794465303421,78,1,3,Charles Aránguiz,454,h,Bayer Leverkusen,Wolfsburg,,2018-09-01 13:30:00,10351,2018,"(0.8809999847412109, 0.5720000076293945)"
221621,LeftFoot,FromCorner,BlockedShot,0.04096107929944992,1,1,3,Lars Bender,421,h,Bayer Leverkusen,Wolfsburg,Jonathan Tah,2018-09-01 13:30:00,10351,2018,"(0.855, 0.57)"
221623,LeftFoot,OpenPlay,MissedShots,0.02990189753472805,4,1,3,Julian Brandt,261,h,Bayer Leverkusen,Wolfsburg,Lucas Alario,2018-09-01 13:30:00,10351,2018,"(0.78, 0.40299999237060546)"
221631,OtherBodyPart,OpenPlay,OwnGoal,0.0,35,1,3,Ramazan Özcan,233,h,Bayer Leverkusen,Wolfsburg,,2018-09-01 13:30:00,10351,2018,"(0.01600000023841858, 0.46599998474121096)"
221638,RightFoot,OpenPlay,MissedShots,0.0331185907125473,52,1,3,Kai Havertz,5220,h,Bayer Leverkusen,Wolfsburg,Kevin Volland,2018-09-01 13:30:00,10351,2018,"(0.78, 0.54)"
221642,RightFoot,OpenPlay,BlockedShot,0.021622665226459503,63,1,3,Kevin Volland,83,h,Bayer Leverkusen,Wolfsburg,Aleksandar Dragovic,2018-09-01 13:30:00,10351,2018,"(0.7530000305175781, 0.62)"
221626,LeftFoot,OpenPlay,SavedShot,0.03485933318734169,17,1,3,Mitchell Weiser,28,h,Bayer Leverkusen,Wolfsburg,Kevin Volland,2018-09-01 13:30:00,10351,2018,"(0.860999984741211, 0.28)"
221620,RightFoot,FromCorner,BlockedShot,0.08058326691389084,1,1,3,Lucas Alario,6338,h,Bayer Leverkusen,Wolfsburg,,2018-09-01 13:30:00,10351,2018,"(0.9019999694824219, 0.40900001525878904)"
221648,RightFoot,OpenPlay,MissedShots,0.03334105387330055,86,1,3,Paulinho,7067,h,Bayer Leverkusen,Wolfsburg,Leon Bailey,2018-09-01 13:30:00,10351,2018,"(0.7809999847412109, 0.43099998474121093)"
221636,Head,OpenPlay,MissedShots,0.12576985359191895,45,1,3,Kevin Volland,83,h,Bayer Leverkusen,Wolfsburg,Mitchell Weiser,2018-09-01 13:30:00,10351,2018,"(0.955, 0.5070000076293946)"
221643,Head,SetPiece,MissedShots,0.12450989335775375,65,1,3,Lucas Alario,6338,h,Bayer Leverkusen,Wolfsburg,Kevin Volland,2018-09-01 13:30:00,10351,2018,"(0.92, 0.4540000152587891)"
223369,LeftFoot,Penalty,Goal,0.757696270942688,4,1,3,Wendell,185,a,Bayer Leverkusen,Bayern Munich,,2018-09-15 13:30:00,10360,2018,"(0.885, 0.5)"
223384,LeftFoot,OpenPlay,MissedShots,0.014090852811932564,78,1,3,Kai Havertz,5220,a,Bayer Leverkusen,Bayern Munich,,2018-09-15 13:30:00,10360,2018,"(0.7319999694824219, 0.4)"
223376,LeftFoot,OpenPlay,MissedShots,0.012937555089592934,38,1,3,Leon Bailey,5221,a,Bayer Leverkusen,Bayern Munich,Wendell,2018-09-15 13:30:00,10360,2018,"(0.71, 0.27899999618530275)"
225858,Head,SetPiece,MissedShots,0.019703377038240433,72,1,0,Lucas Alario,6338,h,Bayer Leverkusen,Mainz 05,Leon Bailey,2018-09-23 13:30:00,10371,2018,"(0.8490000152587891, 0.5840000152587891)"
225846,RightFoot,OpenPlay,MissedShots,0.10308082401752472,42,1,0,Kai Havertz,5220,h,Bayer Leverkusen,Mainz 05,Mitchell Weiser,2018-09-23 13:30:00,10371,2018,"(0.885, 0.40799999237060547)"
225833,RightFoot,OpenPlay,MissedShots,0.07183926552534103,5,1,0,Kai Havertz,5220,h,Bayer Leverkusen,Mainz 05,Lucas Alario,2018-09-23 13:30:00,10371,2018,"(0.8619999694824219, 0.38)"
225841,RightFoot,OpenPlay,BlockedShot,0.029286647215485573,36,1,0,Lars Bender,421,h,Bayer Leverkusen,Mainz 05,Julian Brandt,2018-09-23 13:30:00,10371,2018,"(0.7880000305175782, 0.6020000076293945)"
225843,LeftFoot,OpenPlay,SavedShot,0.08406170457601547,37,1,0,Dominik Kohr,269,h,Bayer Leverkusen,Mainz 05,Sven Bender,2018-09-23 13:30:00,10371,2018,"(0.8819999694824219, 0.4759999847412109)"
225842,RightFoot,OpenPlay,MissedShots,0.07194114476442337,37,1,0,Dominik Kohr,269,h,Bayer Leverkusen,Mainz 05,Lucas Alario,2018-09-23 13:30:00,10371,2018,"(0.8859999847412109, 0.4229999923706055)"
225844,LeftFoot,OpenPlay,BlockedShot,0.10416051000356674,39,1,0,Lucas Alario,6338,h,Bayer Leverkusen,Mainz 05,Mitchell Weiser,2018-09-23 13:30:00,10371,2018,"(0.9359999847412109, 0.4370000076293945)"
225837,Head,OpenPlay,MissedShots,0.01966051198542118,18,1,0,Lucas Alario,6338,h,Bayer Leverkusen,Mainz 05,Jonathan Tah,2018-09-23 13:30:00,10371,2018,"(0.8680000305175781, 0.4909999847412109)"
225847,LeftFoot,OpenPlay,SavedShot,0.05023103579878807,43,1,0,Kai Havertz,5220,h,Bayer Leverkusen,Mainz 05,Julian Brandt,2018-09-23 13:30:00,10371,2018,"(0.8080000305175781, 0.46)"
225835,RightFoot,OpenPlay,BlockedShot,0.018616575747728348,13,1,0,Dominik Kohr,269,h,Bayer Leverkusen,Mainz 05,Julian Brandt,2018-09-23 13:30:00,10371,2018,"(0.735999984741211, 0.4620000076293945)"
225836,RightFoot,OpenPlay,MissedShots,0.017794117331504822,13,1,0,Julian Brandt,261,h,Bayer Leverkusen,Mainz 05,,2018-09-23 13:30:00,10371,2018,"(0.789000015258789, 0.6730000305175782)"
225834,LeftFoot,OpenPlay,MissedShots,0.017931083217263222,11,1,0,Leon Bailey,5221,h,Bayer Leverkusen,Mainz 05,Dominik Kohr,2018-09-23 13:30:00,10371,2018,"(0.7240000152587891, 0.30700000762939456)"
225838,LeftFoot,DirectFreekick,SavedShot,0.04236685857176781,24,1,0,Leon Bailey,5221,h,Bayer Leverkusen,Mainz 05,,2018-09-23 13:30:00,10371,2018,"(0.7809999847412109, 0.21700000762939453)"
225839,LeftFoot,OpenPlay,BlockedShot,0.11067484319210052,29,1,0,Leon Bailey,5221,h,Bayer Leverkusen,Mainz 05,Julian Brandt,2018-09-23 13:30:00,10371,2018,"(0.7959999847412109, 0.645)"
225845,LeftFoot,OpenPlay,SavedShot,0.02834281697869301,41,1,0,Leon Bailey,5221,h,Bayer Leverkusen,Mainz 05,Kai Havertz,2018-09-23 13:30:00,10371,2018,"(0.855, 0.2560000038146973)"
225832,Head,OpenPlay,BlockedShot,0.028149062767624855,1,1,0,Julian Brandt,261,h,Bayer Leverkusen,Mainz 05,Kai Havertz,2018-09-23 13:30:00,10371,2018,"(0.8719999694824219, 0.5309999847412109)"
225840,Head,SetPiece,BlockedShot,0.013716123066842556,33,1,0,Jonathan Tah,183,h,Bayer Leverkusen,Mainz 05,Leon Bailey,2018-09-23 13:30:00,10371,2018,"(0.9740000152587891, 0.6780000305175782)"
225855,Head,OpenPlay,Goal,0.4623447358608246,61,1,0,Kai Havertz,5220,h,Bayer Leverkusen,Mainz 05,Julian Brandt,2018-09-23 13:30:00,10371,2018,"(0.9330000305175781, 0.5029999923706054)"
226432,LeftFoot,OpenPlay,MissedShots,0.07983242720365524,69,2,1,Julian Brandt,261,a,Bayer Leverkusen,Fortuna Duesseldorf,Mitchell Weiser,2018-09-26 16:30:00,10377,2018,"(0.850999984741211, 0.35400001525878905)"
226427,Head,FromCorner,MissedShots,0.03551274538040161,49,2,1,Dominik Kohr,269,a,Bayer Leverkusen,Fortuna Duesseldorf,Leon Bailey,2018-09-26 16:30:00,10377,2018,"(0.905, 0.40599998474121096)"
226428,LeftFoot,FromCorner,Goal,0.9157458543777466,49,2,1,Kevin Volland,83,a,Bayer Leverkusen,Fortuna Duesseldorf,Dominik Kohr,2018-09-26 16:30:00,10377,2018,"(0.9819999694824219, 0.53)"
226426,LeftFoot,OpenPlay,SavedShot,0.011808528564870358,48,2,1,Kai Havertz,5220,a,Bayer Leverkusen,Fortuna Duesseldorf,Dominik Kohr,2018-09-26 16:30:00,10377,2018,"(0.7469999694824219, 0.325)"
226430,Head,OpenPlay,Goal,0.34573397040367126,59,2,1,Kevin Volland,83,a,Bayer Leverkusen,Fortuna Duesseldorf,Kai Havertz,2018-09-26 16:30:00,10377,2018,"(0.9209999847412109, 0.46)"
226429,LeftFoot,OpenPlay,MissedShots,0.12459440529346466,51,2,1,Leon Bailey,5221,a,Bayer Leverkusen,Fortuna Duesseldorf,Kai Havertz,2018-09-26 16:30:00,10377,2018,"(0.9259999847412109, 0.6880000305175781)"
228245,LeftFoot,OpenPlay,SavedShot,0.10854928195476532,56,2,4,Kai Havertz,5220,h,Bayer Leverkusen,Borussia Dortmund,Julian Brandt,2018-09-29 16:30:00,10388,2018,"(0.91, 0.3820000076293945)"
228254,LeftFoot,FromCorner,BlockedShot,0.021369289606809616,86,2,4,Tin Jedvaj,417,h,Bayer Leverkusen,Borussia Dortmund,,2018-09-29 16:30:00,10388,2018,"(0.7919999694824219, 0.3609999847412109)"
228256,RightFoot,SetPiece,BlockedShot,0.016565753147006035,89,2,4,Tin Jedvaj,417,h,Bayer Leverkusen,Borussia Dortmund,,2018-09-29 16:30:00,10388,2018,"(0.779000015258789, 0.3609999847412109)"
228241,RightFoot,OpenPlay,SavedShot,0.05667155608534813,49,2,4,Julian Brandt,261,h,Bayer Leverkusen,Borussia Dortmund,Lars Bender,2018-09-29 16:30:00,10388,2018,"(0.8369999694824218, 0.31799999237060544)"
