,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
220326,RightFoot,OpenPlay,BlockedShot,0.04233561456203461,69,2,0,Matthias Ginter,315,h,Borussia M.Gladbach,Bayer Leverkusen,,2018-08-25 19:30:00,10343,2018,"(0.8469999694824218, 0.6780000305175782)"
220336,RightFoot,OpenPlay,BlockedShot,0.13774412870407104,89,2,0,Denis Zakaria,6147,h,Borussia M.Gladbach,Bayer Leverkusen,Alassane Pléa,2018-08-25 19:30:00,10343,2018,"(0.8959999847412109, 0.4209999847412109)"
220335,Head,FromCorner,BlockedShot,0.06286299973726273,88,2,0,Matthias Ginter,315,h,Borussia M.Gladbach,Bayer Leverkusen,Thorgan Hazard,2018-08-25 19:30:00,10343,2018,"(0.9390000152587891, 0.5429999923706055)"
220311,RightFoot,OpenPlay,BlockedShot,0.08753613382577896,26,2,0,Raffael,210,h,Borussia M.Gladbach,Bayer Leverkusen,Florian Neuhaus,2018-08-25 19:30:00,10343,2018,"(0.8680000305175781, 0.38599998474121094)"
220319,Head,OpenPlay,MissedShots,0.02104896865785122,51,2,0,Raffael,210,h,Borussia M.Gladbach,Bayer Leverkusen,Louis Beyer,2018-08-25 19:30:00,10343,2018,"(0.9159999847412109, 0.6359999847412109)"
220325,LeftFoot,OpenPlay,SavedShot,0.438929945230484,68,2,0,Raffael,210,h,Borussia M.Gladbach,Bayer Leverkusen,Jonas Hofmann,2018-08-25 19:30:00,10343,2018,"(0.9530000305175781, 0.595999984741211)"
220328,RightFoot,OpenPlay,BlockedShot,0.13596327602863312,69,2,0,Raffael,210,h,Borussia M.Gladbach,Bayer Leverkusen,,2018-08-25 19:30:00,10343,2018,"(0.909000015258789, 0.4520000076293945)"
220339,LeftFoot,OpenPlay,SavedShot,0.053519655019044876,92,2,0,Alassane Pléa,3310,h,Borussia M.Gladbach,Bayer Leverkusen,,2018-08-25 19:30:00,10343,2018,"(0.884000015258789, 0.6959999847412109)"
220327,RightFoot,OpenPlay,BlockedShot,0.1489809900522232,69,2,0,Louis Beyer,6557,h,Borussia M.Gladbach,Bayer Leverkusen,Raffael,2018-08-25 19:30:00,10343,2018,"(0.925, 0.495)"
220332,RightFoot,OpenPlay,MissedShots,0.04518234357237816,82,2,0,Louis Beyer,6557,h,Borussia M.Gladbach,Bayer Leverkusen,,2018-08-25 19:30:00,10343,2018,"(0.850999984741211, 0.3189999961853027)"
