,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10344,Mainz 05,VfB Stuttgart,1.28621,1.07847,1,0,h,2018-08-26 16:30:00
10347,Mainz 05,Nuernberg,0.367667,1.56238,1,1,a,2018-09-01 13:30:00
10357,Mainz 05,Augsburg,2.81187,0.736371,2,1,h,2018-09-15 13:30:00
10371,Mainz 05,Bayer Leverkusen,0.76291,1.29357,0,1,a,2018-09-23 13:30:00
10381,Mainz 05,Wolfsburg,0.362483,1.19657,0,0,h,2018-09-26 18:30:00
10384,Mainz 05,Schalke 04,0.642848,1.59406,0,1,a,2018-09-29 13:30:00
10398,Mainz 05,Hertha Berlin,1.56562,1.00145,0,0,h,2018-10-06 13:30:00
10404,Mainz 05,Borussia M.Gladbach,0.472964,3.00692,0,4,a,2018-10-21 16:00:00
10415,Mainz 05,Bayern Munich,0.592384,2.15695,1,2,h,2018-10-27 13:30:00
10420,Mainz 05,Werder Bremen,1.54801,1.25758,2,1,h,2018-11-04 17:00:00
10433,Mainz 05,Freiburg,0.770571,1.86463,3,1,a,2018-11-10 14:30:00
10443,Mainz 05,Borussia Dortmund,1.05805,1.08217,1,2,h,2018-11-24 14:30:00
10452,Mainz 05,Fortuna Duesseldorf,1.02576,1.10941,1,0,a,2018-11-30 19:30:00
10461,Mainz 05,Hannover 96,3.27966,2.23642,1,1,h,2018-12-09 14:30:00
10465,Mainz 05,RasenBallsport Leipzig,1.33833,4.47536,1,4,a,2018-12-16 14:30:00
10476,Mainz 05,Eintracht Frankfurt,1.61471,1.09488,2,2,h,2018-12-19 19:30:00
10482,Mainz 05,Hoffenheim,0.963816,2.21326,1,1,a,2018-12-23 17:00:00
10491,Mainz 05,VfB Stuttgart,1.17715,3.20149,3,2,a,2019-01-19 14:30:00
10505,Mainz 05,Nuernberg,2.36343,0.32725,2,1,h,2019-01-26 14:30:00
10512,Mainz 05,Augsburg,0.20019,3.79911,0,3,a,2019-02-03 14:30:00
10524,Mainz 05,Bayer Leverkusen,1.88457,3.30348,1,5,h,2019-02-08 19:30:00
10532,Mainz 05,Wolfsburg,0.719281,2.13855,0,3,a,2019-02-16 14:30:00
10542,Mainz 05,Schalke 04,2.44926,0.749874,3,0,h,2019-02-23 14:30:00
10549,Mainz 05,Hertha Berlin,0.83743,1.77228,1,2,a,2019-03-02 14:30:00
10559,Mainz 05,Borussia M.Gladbach,0.578029,1.20097,0,1,h,2019-03-09 17:30:00
10565,Mainz 05,Bayern Munich,0.302976,2.66818,0,6,a,2019-03-17 17:00:00
10576,Mainz 05,Werder Bremen,0.998556,1.22854,1,3,a,2019-03-30 14:30:00
10587,Mainz 05,Freiburg,2.27396,1.80652,5,0,h,2019-04-05 19:30:00
10590,Mainz 05,Borussia Dortmund,2.93676,2.13802,1,2,a,2019-04-13 17:30:00
10606,Mainz 05,Fortuna Duesseldorf,3.24326,2.5269,3,1,h,2019-04-20 14:30:00
10613,Mainz 05,Hannover 96,2.93831,0.877396,0,1,a,2019-04-27 14:30:00
10623,Mainz 05,RasenBallsport Leipzig,1.72126,2.74717,3,3,h,2019-05-03 19:30:00
10630,Mainz 05,Eintracht Frankfurt,1.2497,1.71254,2,0,a,2019-05-12 17:00:00
10642,Mainz 05,Hoffenheim,2.87626,1.64469,4,2,h,2019-05-18 13:30:00
