,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10340,Nuernberg,Hertha Berlin,1.34412,1.03309,0,1,a,2018-08-25 16:30:00
10347,Nuernberg,Mainz 05,1.56238,0.367667,1,1,h,2018-09-01 13:30:00
10362,Nuernberg,Werder Bremen,0.514375,0.700449,1,1,a,2018-09-16 13:30:00
10369,Nuernberg,Hannover 96,1.64985,0.557368,2,0,h,2018-09-22 13:30:00
10378,Nuernberg,Borussia Dortmund,0.154216,2.18746,0,7,a,2018-09-26 18:30:00
10387,Nuernberg,Fortuna Duesseldorf,2.42225,1.17182,3,0,h,2018-09-29 13:30:00
10394,Nuernberg,RasenBallsport Leipzig,0.394254,3.17935,0,6,a,2018-10-07 16:00:00
10408,Nuernberg,Hoffenheim,1.11043,2.46148,1,3,h,2018-10-20 13:30:00
10417,Nuernberg,Eintracht Frankfurt,0.949097,0.998569,1,1,h,2018-10-28 11:30:00
10419,Nuernberg,Augsburg,1.37885,2.61879,2,2,a,2018-11-03 14:30:00
10435,Nuernberg,VfB Stuttgart,0.434841,1.54977,0,2,h,2018-11-10 14:30:00
10437,Nuernberg,Schalke 04,2.29783,2.77116,2,5,a,2018-11-24 17:30:00
10453,Nuernberg,Bayer Leverkusen,0.675448,1.39302,1,1,h,2018-12-03 19:30:00
10454,Nuernberg,Bayern Munich,0.191129,2.8246,0,3,a,2018-12-08 14:30:00
10471,Nuernberg,Wolfsburg,0.601572,0.70077,0,2,h,2018-12-14 19:30:00
10479,Nuernberg,Borussia M.Gladbach,1.13637,3.61765,0,2,a,2018-12-18 17:30:00
10481,Nuernberg,Freiburg,1.13859,0.318199,0,1,h,2018-12-22 14:30:00
10495,Nuernberg,Hertha Berlin,1.1239,2.24853,1,3,h,2019-01-20 14:30:00
10505,Nuernberg,Mainz 05,0.32725,2.36343,1,2,a,2019-01-26 14:30:00
10514,Nuernberg,Werder Bremen,1.09967,1.10992,1,1,h,2019-02-02 14:30:00
10522,Nuernberg,Hannover 96,0.981416,1.4289,0,2,a,2019-02-09 14:30:00
10533,Nuernberg,Borussia Dortmund,0.498008,0.930531,0,0,h,2019-02-18 19:30:00
10543,Nuernberg,Fortuna Duesseldorf,0.112551,1.55152,1,2,a,2019-02-23 17:30:00
10552,Nuernberg,RasenBallsport Leipzig,1.02688,0.920561,0,1,h,2019-03-02 14:30:00
10554,Nuernberg,Hoffenheim,0.79045,2.64002,1,2,a,2019-03-10 14:30:00
10570,Nuernberg,Eintracht Frankfurt,0.702802,2.58949,0,1,a,2019-03-17 14:30:00
10575,Nuernberg,Augsburg,1.76901,0.867874,3,0,h,2019-03-30 14:30:00
10583,Nuernberg,VfB Stuttgart,2.37695,1.62221,1,1,a,2019-04-06 14:30:00
10597,Nuernberg,Schalke 04,2.35613,0.850368,1,1,h,2019-04-12 19:30:00
10599,Nuernberg,Bayer Leverkusen,0.245739,1.51156,0,2,a,2019-04-20 14:30:00
10615,Nuernberg,Bayern Munich,1.90716,1.68788,1,1,h,2019-04-28 17:00:00
10624,Nuernberg,Wolfsburg,0.566199,1.18184,0,2,a,2019-05-04 14:30:00
10633,Nuernberg,Borussia M.Gladbach,0.797591,1.75711,0,4,h,2019-05-11 14:30:00
10636,Nuernberg,Freiburg,0.734435,1.08819,1,5,a,2019-05-18 13:30:00
