,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
219952,RightFoot,OpenPlay,SavedShot,0.019789664074778557,23,0,1,Yuya Kubo,7039,a,Nuernberg,Hertha Berlin,Alexander Fuchs,2018-08-25 16:30:00,10340,2018,"(0.7269999694824218, 0.6409999847412109)"
219960,RightFoot,FromCorner,ShotOnPost,0.05282384902238846,58,0,1,Yuya Kubo,7039,a,Nuernberg,Hertha Berlin,Tim Leibold,2018-08-25 16:30:00,10340,2018,"(0.955999984741211, 0.6120000076293945)"
219961,LeftFoot,OpenPlay,MissedShots,0.012970195151865482,63,0,1,Hanno Behrens,7035,a,Nuernberg,Hertha Berlin,,2018-08-25 16:30:00,10340,2018,"(0.7369999694824219, 0.6509999847412109)"
219949,Head,SetPiece,MissedShots,0.01259929221123457,5,0,1,Hanno Behrens,7035,a,Nuernberg,Hertha Berlin,Tim Leibold,2018-08-25 16:30:00,10340,2018,"(0.870999984741211, 0.49)"
219967,RightFoot,OpenPlay,BlockedShot,0.05631150305271149,84,0,1,Federico Palacios,5309,a,Nuernberg,Hertha Berlin,Törles Knöll,2018-08-25 16:30:00,10340,2018,"(0.8169999694824219, 0.48700000762939455)"
219959,RightFoot,OpenPlay,SavedShot,0.2931053638458252,58,0,1,Yuya Kubo,7039,a,Nuernberg,Hertha Berlin,Lukas Mühl,2018-08-25 16:30:00,10340,2018,"(0.9769999694824218, 0.6)"
219970,RightFoot,SetPiece,MissedShots,0.008850231766700745,94,0,1,Federico Palacios,5309,a,Nuernberg,Hertha Berlin,,2018-08-25 16:30:00,10340,2018,"(0.764000015258789, 0.2610000038146973)"
219964,LeftFoot,OpenPlay,BlockedShot,0.055759917944669724,69,0,1,Mikael Ishak,7038,a,Nuernberg,Hertha Berlin,Alexander Fuchs,2018-08-25 16:30:00,10340,2018,"(0.85, 0.5829999923706055)"
219963,RightFoot,FromCorner,MissedShots,0.034450508654117584,68,0,1,Mikael Ishak,7038,a,Nuernberg,Hertha Berlin,Hanno Behrens,2018-08-25 16:30:00,10340,2018,"(0.8730000305175781, 0.345)"
219962,RightFoot,OpenPlay,BlockedShot,0.018460003659129143,67,0,1,Mikael Ishak,7038,a,Nuernberg,Hertha Berlin,Alexander Fuchs,2018-08-25 16:30:00,10340,2018,"(0.7340000152587891, 0.6140000152587891)"
219966,RightFoot,Penalty,SavedShot,0.75777667760849,83,0,1,Mikael Ishak,7038,a,Nuernberg,Hertha Berlin,,2018-08-25 16:30:00,10340,2018,"(0.885, 0.5)"
219954,LeftFoot,OpenPlay,MissedShots,0.02122247777879238,45,0,1,Mikael Ishak,7038,a,Nuernberg,Hertha Berlin,Alexander Fuchs,2018-08-25 16:30:00,10340,2018,"(0.745999984741211, 0.5840000152587891)"
221539,RightFoot,OpenPlay,BlockedShot,0.42237234115600586,75,1,1,Eduard Löwen,7043,h,Nuernberg,Mainz 05,Yuya Kubo,2018-09-01 13:30:00,10347,2018,"(0.8930000305175781, 0.44599998474121094)"
221527,RightFoot,OpenPlay,MissedShots,0.07581528276205063,38,1,1,Federico Palacios,5309,h,Nuernberg,Mainz 05,Mikael Ishak,2018-09-01 13:30:00,10347,2018,"(0.855, 0.45799999237060546)"
221526,LeftFoot,DirectFreekick,MissedShots,0.05750444158911705,33,1,1,Tim Leibold,7033,h,Nuernberg,Mainz 05,,2018-09-01 13:30:00,10347,2018,"(0.750999984741211, 0.3659999847412109)"
221533,RightFoot,OpenPlay,SavedShot,0.06531505286693573,62,1,1,Yuya Kubo,7039,h,Nuernberg,Mainz 05,Mikael Ishak,2018-09-01 13:30:00,10347,2018,"(0.8159999847412109, 0.5790000152587891)"
