,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10345,RasenBallsport Leipzig,Borussia Dortmund,1.46268,1.96153,1,4,a,2018-08-26 19:00:00
10353,RasenBallsport Leipzig,Fortuna Duesseldorf,2.25033,1.43691,1,1,h,2018-09-02 13:30:00
10356,RasenBallsport Leipzig,Hannover 96,2.35222,0.950644,3,2,h,2018-09-15 13:30:00
10372,RasenBallsport Leipzig,Eintracht Frankfurt,1.8818,1.80358,1,1,a,2018-09-23 16:00:00
10379,RasenBallsport Leipzig,VfB Stuttgart,3.13273,0.640951,2,0,h,2018-09-26 18:30:00
10385,RasenBallsport Leipzig,Hoffenheim,1.47287,1.77221,2,1,a,2018-09-29 13:30:00
10394,RasenBallsport Leipzig,Nuernberg,3.17935,0.394254,6,0,h,2018-10-07 16:00:00
10406,RasenBallsport Leipzig,Augsburg,1.098,0.267706,0,0,a,2018-10-20 13:30:00
10411,RasenBallsport Leipzig,Schalke 04,0.760107,0.754245,0,0,h,2018-10-28 13:30:00
10418,RasenBallsport Leipzig,Hertha Berlin,3.76073,1.79233,3,0,a,2018-11-03 17:30:00
10429,RasenBallsport Leipzig,Bayer Leverkusen,2.55127,0.443215,3,0,h,2018-11-11 14:30:00
10444,RasenBallsport Leipzig,Wolfsburg,0.647326,1.54495,0,1,a,2018-11-24 14:30:00
10447,RasenBallsport Leipzig,Borussia M.Gladbach,2.39576,0.628352,2,0,h,2018-12-02 14:30:00
10460,RasenBallsport Leipzig,Freiburg,1.23018,2.0335,0,3,a,2018-12-08 14:30:00
10465,RasenBallsport Leipzig,Mainz 05,4.47536,1.33833,4,1,h,2018-12-16 14:30:00
10472,RasenBallsport Leipzig,Bayern Munich,0.721767,1.81321,0,1,a,2018-12-19 19:30:00
10485,RasenBallsport Leipzig,Werder Bremen,1.93805,2.10073,3,2,h,2018-12-22 14:30:00
10490,RasenBallsport Leipzig,Borussia Dortmund,0.778946,1.02216,0,1,h,2019-01-19 17:30:00
10507,RasenBallsport Leipzig,Fortuna Duesseldorf,2.02739,0.290714,4,0,a,2019-01-27 17:00:00
10513,RasenBallsport Leipzig,Hannover 96,2.35194,0.138262,3,0,a,2019-02-01 19:30:00
10519,RasenBallsport Leipzig,Eintracht Frankfurt,1.59427,0.501519,0,0,h,2019-02-09 14:30:00
10528,RasenBallsport Leipzig,VfB Stuttgart,1.32163,1.36671,3,1,a,2019-02-16 14:30:00
10537,RasenBallsport Leipzig,Hoffenheim,1.91108,1.30993,1,1,h,2019-02-25 19:30:00
10552,RasenBallsport Leipzig,Nuernberg,0.920561,1.02688,1,0,a,2019-03-02 14:30:00
10556,RasenBallsport Leipzig,Augsburg,2.35335,0.181299,0,0,h,2019-03-09 14:30:00
10564,RasenBallsport Leipzig,Schalke 04,1.69354,1.01343,1,0,a,2019-03-16 14:30:00
10573,RasenBallsport Leipzig,Hertha Berlin,5.04475,0.895578,5,0,h,2019-03-30 17:30:00
10582,RasenBallsport Leipzig,Bayer Leverkusen,1.44447,2.1254,4,2,a,2019-04-06 14:30:00
10591,RasenBallsport Leipzig,Wolfsburg,2.11199,0.38877,2,0,h,2019-04-13 14:30:00
10604,RasenBallsport Leipzig,Borussia M.Gladbach,2.13066,2.19831,2,1,a,2019-04-20 17:30:00
10609,RasenBallsport Leipzig,Freiburg,2.04886,0.874413,2,1,h,2019-04-27 14:30:00
10623,RasenBallsport Leipzig,Mainz 05,2.74717,1.72126,3,3,a,2019-05-03 19:30:00
10628,RasenBallsport Leipzig,Bayern Munich,0.609829,1.72176,0,0,h,2019-05-11 14:30:00
10637,RasenBallsport Leipzig,Werder Bremen,1.84544,1.20038,1,2,a,2019-05-18 13:30:00
