,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
220653,Head,OpenPlay,MissedShots,0.0773760974407196,86,0,1,Daniel Didavi,300,a,VfB Stuttgart,Mainz 05,Christian Gentner,2018-08-26 16:30:00,10344,2018,"(0.9440000152587891, 0.40200000762939453)"
220652,RightFoot,OpenPlay,MissedShots,0.06177950277924538,84,0,1,Mario Gomez,3887,a,VfB Stuttgart,Mainz 05,Borna Sosa,2018-08-26 16:30:00,10344,2018,"(0.9619999694824218, 0.38)"
220645,RightFoot,OpenPlay,BlockedShot,0.09745344519615173,49,0,1,Mario Gomez,3887,a,VfB Stuttgart,Mainz 05,Nicolás González,2018-08-26 16:30:00,10344,2018,"(0.8769999694824219, 0.40700000762939453)"
220633,RightFoot,OpenPlay,BlockedShot,0.031698811799287796,2,0,1,Mario Gomez,3887,a,VfB Stuttgart,Mainz 05,,2018-08-26 16:30:00,10344,2018,"(0.7769999694824219, 0.5840000152587891)"
220650,LeftFoot,OpenPlay,BlockedShot,0.030603522434830666,77,0,1,Christian Gentner,60,a,VfB Stuttgart,Mainz 05,Erik Thommy,2018-08-26 16:30:00,10344,2018,"(0.7909999847412109, 0.610999984741211)"
220639,RightFoot,OpenPlay,MissedShots,0.06613276898860931,15,0,1,Christian Gentner,60,a,VfB Stuttgart,Mainz 05,Gonzalo Castro,2018-08-26 16:30:00,10344,2018,"(0.8190000152587891, 0.45799999237060546)"
220638,LeftFoot,OpenPlay,MissedShots,0.4273522198200226,14,0,1,Christian Gentner,60,a,VfB Stuttgart,Mainz 05,,2018-08-26 16:30:00,10344,2018,"(0.8909999847412109, 0.45799999237060546)"
220651,Head,FromCorner,MissedShots,0.10689082741737366,82,0,1,Christian Gentner,60,a,VfB Stuttgart,Mainz 05,Daniel Didavi,2018-08-26 16:30:00,10344,2018,"(0.95, 0.42700000762939455)"
220640,Head,OpenPlay,MissedShots,0.055913861840963364,23,0,1,Nicolás González,7074,a,VfB Stuttgart,Mainz 05,,2018-08-26 16:30:00,10344,2018,"(0.9130000305175782, 0.524000015258789)"
220643,RightFoot,OpenPlay,SavedShot,0.05271351709961891,39,0,1,Nicolás González,7074,a,VfB Stuttgart,Mainz 05,Erik Thommy,2018-08-26 16:30:00,10344,2018,"(0.8440000152587891, 0.655)"
220634,RightFoot,OpenPlay,SavedShot,0.0192831102758646,2,0,1,Erik Thommy,2676,a,VfB Stuttgart,Mainz 05,Emiliano Insúa,2018-08-26 16:30:00,10344,2018,"(0.7369999694824219, 0.6569999694824219)"
220635,LeftFoot,OpenPlay,SavedShot,0.051267996430397034,8,0,1,Nicolás González,7074,a,VfB Stuttgart,Mainz 05,Mario Gomez,2018-08-26 16:30:00,10344,2018,"(0.865999984741211, 0.68)"
221926,RightFoot,OpenPlay,BlockedShot,0.04329921305179596,66,0,3,Daniel Didavi,300,h,VfB Stuttgart,Bayern Munich,Mario Gomez,2018-09-01 16:30:00,10352,2018,"(0.850999984741211, 0.4490000152587891)"
221933,LeftFoot,OpenPlay,BlockedShot,0.007387844379991293,88,0,3,Dennis Aogo,334,h,VfB Stuttgart,Bayern Munich,,2018-09-01 16:30:00,10352,2018,"(0.6990000152587891, 0.5920000076293945)"
221930,Head,SetPiece,MissedShots,0.0256466343998909,78,0,3,Dennis Aogo,334,h,VfB Stuttgart,Bayern Munich,Daniel Didavi,2018-09-01 16:30:00,10352,2018,"(0.9019999694824219, 0.43900001525878907)"
221913,LeftFoot,OpenPlay,MissedShots,0.02275000885128975,33,0,3,Anastasios Donis,3962,h,VfB Stuttgart,Bayern Munich,Pablo Maffeo,2018-09-01 16:30:00,10352,2018,"(0.7869999694824219, 0.2879999923706055)"
224341,Head,FromCorner,MissedShots,0.012183183804154396,61,3,3,Benjamin Pavard,3363,a,VfB Stuttgart,Freiburg,Dennis Aogo,2018-09-16 16:00:00,10363,2018,"(0.965999984741211, 0.645)"
224347,LeftFoot,SetPiece,SavedShot,0.038447532802820206,93,3,3,Benjamin Pavard,3363,a,VfB Stuttgart,Freiburg,,2018-09-16 16:00:00,10363,2018,"(0.960999984741211, 0.7180000305175781)"
224342,Head,SetPiece,BlockedShot,0.019028818234801292,69,3,3,Timo Baumgartl,71,a,VfB Stuttgart,Freiburg,Dennis Aogo,2018-09-16 16:00:00,10363,2018,"(0.909000015258789, 0.585)"
224326,Head,OpenPlay,MissedShots,0.047425027936697006,12,3,3,Mario Gomez,3887,a,VfB Stuttgart,Freiburg,Dennis Aogo,2018-09-16 16:00:00,10363,2018,"(0.9180000305175782, 0.519000015258789)"
224336,RightFoot,OpenPlay,SavedShot,0.5896764993667603,47,3,3,Mario Gomez,3887,a,VfB Stuttgart,Freiburg,Nicolás González,2018-09-16 16:00:00,10363,2018,"(0.950999984741211, 0.539000015258789)"
224337,LeftFoot,OpenPlay,Goal,0.7400720119476318,47,3,3,Mario Gomez,3887,a,VfB Stuttgart,Freiburg,,2018-09-16 16:00:00,10363,2018,"(0.9730000305175781, 0.5420000076293945)"
224339,Head,OpenPlay,Goal,0.03215017542243004,55,3,3,Mario Gomez,3887,a,VfB Stuttgart,Freiburg,Emiliano Insúa,2018-09-16 16:00:00,10363,2018,"(0.8930000305175781, 0.534000015258789)"
224331,LeftFoot,FromCorner,Goal,0.026074467226862907,43,3,3,Emiliano Insúa,59,a,VfB Stuttgart,Freiburg,Gonzalo Castro,2018-09-16 16:00:00,10363,2018,"(0.8180000305175781, 0.735)"
224344,RightFoot,FromCorner,MissedShots,0.017009591683745384,73,3,3,Chadrac Akolo,6089,a,VfB Stuttgart,Freiburg,,2018-09-16 16:00:00,10363,2018,"(0.749000015258789, 0.5670000076293945)"
224330,RightFoot,OpenPlay,BlockedShot,0.06480654329061508,39,3,3,Santiago Ascacibar,6289,a,VfB Stuttgart,Freiburg,Gonzalo Castro,2018-09-16 16:00:00,10363,2018,"(0.8159999847412109, 0.5459999847412109)"
224340,RightFoot,OpenPlay,SavedShot,0.03377515450119972,61,3,3,Santiago Ascacibar,6289,a,VfB Stuttgart,Freiburg,Andreas Beck,2018-09-16 16:00:00,10363,2018,"(0.7669999694824219, 0.37599998474121094)"
224327,LeftFoot,OpenPlay,BlockedShot,0.012991797178983688,24,3,3,Nicolás González,7074,a,VfB Stuttgart,Freiburg,,2018-09-16 16:00:00,10363,2018,"(0.7580000305175781, 0.2720000076293945)"
224663,LeftFoot,OpenPlay,BlockedShot,0.028697650879621506,18,0,0,Mario Gomez,3887,h,VfB Stuttgart,Fortuna Duesseldorf,Andreas Beck,2018-09-21 18:30:00,10364,2018,"(0.805, 0.3579999923706055)"
224682,Head,OpenPlay,MissedShots,0.2126496434211731,68,0,0,Nicolás González,7074,h,VfB Stuttgart,Fortuna Duesseldorf,Emiliano Insúa,2018-09-21 18:30:00,10364,2018,"(0.889000015258789, 0.5509999847412109)"
224673,Head,OpenPlay,MissedShots,0.3101166784763336,57,0,0,Nicolás González,7074,h,VfB Stuttgart,Fortuna Duesseldorf,Andreas Beck,2018-09-21 18:30:00,10364,2018,"(0.919000015258789, 0.4540000152587891)"
224664,RightFoot,OpenPlay,MissedShots,0.01695585437119007,19,0,0,Nicolás González,7074,h,VfB Stuttgart,Fortuna Duesseldorf,Emiliano Insúa,2018-09-21 18:30:00,10364,2018,"(0.7390000152587891, 0.7030000305175781)"
224684,LeftFoot,OpenPlay,MissedShots,0.04529866203665733,79,0,0,Erik Thommy,2676,h,VfB Stuttgart,Fortuna Duesseldorf,Santiago Ascacibar,2018-09-21 18:30:00,10364,2018,"(0.7959999847412109, 0.33299999237060546)"
224668,RightFoot,OpenPlay,MissedShots,0.56253981590271,40,0,0,Mario Gomez,3887,h,VfB Stuttgart,Fortuna Duesseldorf,Nicolás González,2018-09-21 18:30:00,10364,2018,"(0.950999984741211, 0.5179999923706055)"
224672,RightFoot,OpenPlay,BlockedShot,0.07168002426624298,54,0,0,Christian Gentner,60,h,VfB Stuttgart,Fortuna Duesseldorf,Mario Gomez,2018-09-21 18:30:00,10364,2018,"(0.8619999694824219, 0.6270000076293946)"
224677,RightFoot,OpenPlay,MissedShots,0.08649595826864243,64,0,0,Christian Gentner,60,h,VfB Stuttgart,Fortuna Duesseldorf,Mario Gomez,2018-09-21 18:30:00,10364,2018,"(0.8830000305175781, 0.47200000762939454)"
224667,RightFoot,OpenPlay,SavedShot,0.029667900875210762,33,0,0,Chadrac Akolo,6089,h,VfB Stuttgart,Fortuna Duesseldorf,Christian Gentner,2018-09-21 18:30:00,10364,2018,"(0.8059999847412109, 0.669000015258789)"
224660,RightFoot,OpenPlay,MissedShots,0.029621323570609093,8,0,0,Mario Gomez,3887,h,VfB Stuttgart,Fortuna Duesseldorf,Chadrac Akolo,2018-09-21 18:30:00,10364,2018,"(0.799000015258789, 0.34200000762939453)"
226716,RightFoot,OpenPlay,BlockedShot,0.047078222036361694,53,0,2,Erik Thommy,2676,a,VfB Stuttgart,RasenBallsport Leipzig,Nicolás González,2018-09-26 18:30:00,10379,2018,"(0.8640000152587891, 0.33599998474121096)"
226697,LeftFoot,OpenPlay,BlockedShot,0.02617223560810089,1,0,2,Erik Thommy,2676,a,VfB Stuttgart,RasenBallsport Leipzig,Dennis Aogo,2018-09-26 18:30:00,10379,2018,"(0.7630000305175781, 0.5940000152587891)"
226700,RightFoot,OpenPlay,BlockedShot,0.07745610177516937,16,0,2,Chadrac Akolo,6089,a,VfB Stuttgart,RasenBallsport Leipzig,Santiago Ascacibar,2018-09-26 18:30:00,10379,2018,"(0.845, 0.49900001525878906)"
226702,RightFoot,OpenPlay,MissedShots,0.010427736677229404,27,0,2,Pablo Maffeo,1003,a,VfB Stuttgart,RasenBallsport Leipzig,,2018-09-26 18:30:00,10379,2018,"(0.710999984741211, 0.385)"
226699,RightFoot,OpenPlay,BlockedShot,0.03832615911960602,16,0,2,Mario Gomez,3887,a,VfB Stuttgart,RasenBallsport Leipzig,Borna Sosa,2018-09-26 18:30:00,10379,2018,"(0.9259999847412109, 0.72)"
226720,LeftFoot,SetPiece,MissedShots,0.015011443756520748,74,0,2,Erik Thommy,2676,a,VfB Stuttgart,RasenBallsport Leipzig,,2018-09-26 18:30:00,10379,2018,"(0.8540000152587891, 0.775)"
226707,RightFoot,OpenPlay,MissedShots,0.36996036767959595,36,0,2,Mario Gomez,3887,a,VfB Stuttgart,RasenBallsport Leipzig,Borna Sosa,2018-09-26 18:30:00,10379,2018,"(0.9159999847412109, 0.5179999923706055)"
226708,LeftFoot,OpenPlay,MissedShots,0.033984359353780746,38,0,2,Christian Gentner,60,a,VfB Stuttgart,RasenBallsport Leipzig,Mario Gomez,2018-09-26 18:30:00,10379,2018,"(0.825999984741211, 0.5629999923706055)"
226717,Head,FromCorner,MissedShots,0.022534532472491264,55,0,2,Christian Gentner,60,a,VfB Stuttgart,RasenBallsport Leipzig,Dennis Aogo,2018-09-26 18:30:00,10379,2018,"(0.955999984741211, 0.595999984741211)"
227881,LeftFoot,FromCorner,MissedShots,0.019078625366091728,49,2,1,Dennis Aogo,334,h,VfB Stuttgart,Werder Bremen,,2018-09-29 13:30:00,10383,2018,"(0.769000015258789, 0.6020000076293945)"
227891,LeftFoot,FromCorner,MissedShots,0.04397577419877052,81,2,1,Benjamin Pavard,3363,h,VfB Stuttgart,Werder Bremen,Erik Thommy,2018-09-29 13:30:00,10383,2018,"(0.93, 0.639000015258789)"
