,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
220038,Head,FromCorner,Goal,0.4585200250148773,32,2,1,John Brooks,22,h,Wolfsburg,Schalke 04,Maximilian Arnold,2018-08-25 16:30:00,10338,2018,"(0.9530000305175781, 0.5359999847412109)"
220037,RightFoot,OpenPlay,SavedShot,0.021848391741514206,29,2,1,Maximilian Arnold,153,h,Wolfsburg,Schalke 04,,2018-08-25 16:30:00,10338,2018,"(0.745999984741211, 0.5070000076293946)"
220034,RightFoot,DirectFreekick,SavedShot,0.04149991646409035,21,2,1,William,6229,h,Wolfsburg,Schalke 04,,2018-08-25 16:30:00,10338,2018,"(0.735999984741211, 0.6969999694824218)"
220035,RightFoot,OpenPlay,MissedShots,0.017759865149855614,24,2,1,William,6229,h,Wolfsburg,Schalke 04,Josuha Guilavogui,2018-08-25 16:30:00,10338,2018,"(0.7519999694824219, 0.3160000038146973)"
220036,RightFoot,OpenPlay,SavedShot,0.014373437501490116,25,2,1,Josuha Guilavogui,150,h,Wolfsburg,Schalke 04,Maximilian Arnold,2018-08-25 16:30:00,10338,2018,"(0.715999984741211, 0.5659999847412109)"
220042,Head,OpenPlay,MissedShots,0.0554661862552166,55,2,1,Renato Steffen,6484,h,Wolfsburg,Schalke 04,Maximilian Arnold,2018-08-25 16:30:00,10338,2018,"(0.9180000305175782, 0.575)"
220040,RightFoot,OpenPlay,MissedShots,0.05214077979326248,49,2,1,Wout Weghorst,7052,h,Wolfsburg,Schalke 04,,2018-08-25 16:30:00,10338,2018,"(0.825, 0.3240000152587891)"
220048,RightFoot,OpenPlay,SavedShot,0.35455256700515747,93,2,1,Yannick Gerhardt,140,h,Wolfsburg,Schalke 04,Ignacio Camacho,2018-08-25 16:30:00,10338,2018,"(0.8580000305175781, 0.5059999847412109)"
220049,RightFoot,OpenPlay,Goal,0.3246990442276001,93,2,1,Daniel Ginczek,426,h,Wolfsburg,Schalke 04,,2018-08-25 16:30:00,10338,2018,"(0.8590000152587891, 0.5059999847412109)"
220043,LeftFoot,OpenPlay,SavedShot,0.08455223590135574,78,2,1,John Brooks,22,h,Wolfsburg,Schalke 04,Josip Brekalo,2018-08-25 16:30:00,10338,2018,"(0.8340000152587891, 0.4879999923706055)"
