,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
311108,LeftFoot,OpenPlay,MissedShots,0.027472104877233505,27,1,0,Filip Kostic,64,h,Eintracht Frankfurt,Hoffenheim,Ante Rebic,2019-08-18 14:30:00,12410,2019,"(0.784000015258789, 0.7069999694824218)"
311123,Head,FromCorner,MissedShots,0.03217434510588646,88,1,0,Martin Hinteregger,2668,h,Eintracht Frankfurt,Hoffenheim,Filip Kostic,2019-08-18 14:30:00,12410,2019,"(0.8880000305175781, 0.42900001525878906)"
311100,LeftFoot,FromCorner,Goal,0.06643405556678772,0,1,0,Martin Hinteregger,2668,h,Eintracht Frankfurt,Hoffenheim,Filip Kostic,2019-08-18 14:30:00,12410,2019,"(0.904000015258789, 0.45099998474121095)"
311114,RightFoot,OpenPlay,BlockedShot,0.06518615037202835,45,1,0,Ante Rebic,1852,h,Eintracht Frankfurt,Hoffenheim,,2019-08-18 14:30:00,12410,2019,"(0.925, 0.705)"
311113,RightFoot,DirectFreekick,SavedShot,0.05770237743854523,44,1,0,Ante Rebic,1852,h,Eintracht Frankfurt,Hoffenheim,,2019-08-18 14:30:00,12410,2019,"(0.7340000152587891, 0.515)"
311102,RightFoot,OpenPlay,SavedShot,0.039037030190229416,2,1,0,Daichi Kamada,6145,h,Eintracht Frankfurt,Hoffenheim,,2019-08-18 14:30:00,12410,2019,"(0.875999984741211, 0.7280000305175781)"
311115,RightFoot,OpenPlay,SavedShot,0.14063972234725952,47,1,0,Daichi Kamada,6145,h,Eintracht Frankfurt,Hoffenheim,Gelson Fernandes,2019-08-18 14:30:00,12410,2019,"(0.8680000305175781, 0.5829999923706055)"
311101,LeftFoot,OpenPlay,BlockedShot,0.6065811514854431,2,1,0,Mijat Gacinovic,290,h,Eintracht Frankfurt,Hoffenheim,Filip Kostic,2019-08-18 14:30:00,12410,2019,"(0.9569999694824218, 0.5609999847412109)"
311116,Head,FromCorner,SavedShot,0.023111602291464806,50,1,0,Dominik Kohr,269,h,Eintracht Frankfurt,Hoffenheim,Daichi Kamada,2019-08-18 14:30:00,12410,2019,"(0.9030000305175782, 0.534000015258789)"
311105,RightFoot,OpenPlay,SavedShot,0.02153894491493702,17,1,0,Dominik Kohr,269,h,Eintracht Frankfurt,Hoffenheim,Mijat Gacinovic,2019-08-18 14:30:00,12410,2019,"(0.7419999694824219, 0.6329999923706054)"
311121,RightFoot,OpenPlay,BlockedShot,0.080975241959095,84,1,0,Sebastian Rode,228,h,Eintracht Frankfurt,Hoffenheim,Ante Rebic,2019-08-18 14:30:00,12410,2019,"(0.8330000305175781, 0.5629999923706055)"
311117,Head,SetPiece,BlockedShot,0.128113254904747,53,1,0,Dominik Kohr,269,h,Eintracht Frankfurt,Hoffenheim,Daichi Kamada,2019-08-18 14:30:00,12410,2019,"(0.9590000152587891, 0.3920000076293945)"
311119,LeftFoot,OpenPlay,MissedShots,0.11933241039514542,69,1,0,Filip Kostic,64,h,Eintracht Frankfurt,Hoffenheim,Ante Rebic,2019-08-18 14:30:00,12410,2019,"(0.8630000305175781, 0.5729999923706055)"
311120,LeftFoot,OpenPlay,MissedShots,0.011645274236798286,74,1,0,Filip Kostic,64,h,Eintracht Frankfurt,Hoffenheim,Makoto Hasebe,2019-08-18 14:30:00,12410,2019,"(0.7519999694824219, 0.20399999618530273)"
311112,LeftFoot,OpenPlay,SavedShot,0.4251401126384735,36,1,0,Filip Kostic,64,h,Eintracht Frankfurt,Hoffenheim,,2019-08-18 14:30:00,12410,2019,"(0.8859999847412109, 0.6409999847412109)"
