,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310585,RightFoot,OpenPlay,Goal,0.12244275212287903,51,3,1,Kenan Karaman,98,a,Fortuna Duesseldorf,Werder Bremen,Erik Thommy,2019-08-17 14:30:00,12404,2019,"(0.874000015258789, 0.46599998474121096)"
310601,LeftFoot,OpenPlay,SavedShot,0.05939440429210663,80,3,1,Rouwen Hennings,7060,a,Fortuna Duesseldorf,Werder Bremen,,2019-08-17 14:30:00,12404,2019,"(0.8919999694824219, 0.6859999847412109)"
310583,Head,OpenPlay,MissedShots,0.022219760343432426,47,3,1,Alfredo Morales,252,a,Fortuna Duesseldorf,Werder Bremen,Matthias Zimmermann,2019-08-17 14:30:00,12404,2019,"(0.86, 0.4329999923706055)"
310597,RightFoot,FromCorner,MissedShots,0.021539580076932907,73,3,1,Alfredo Morales,252,a,Fortuna Duesseldorf,Werder Bremen,Lewis Baker,2019-08-17 14:30:00,12404,2019,"(0.8880000305175781, 0.7630000305175781)"
310602,RightFoot,OpenPlay,MissedShots,0.12258703261613846,80,3,1,Alfredo Morales,252,a,Fortuna Duesseldorf,Werder Bremen,Thomas Pledl,2019-08-17 14:30:00,12404,2019,"(0.8640000152587891, 0.42400001525878905)"
310591,Head,FromCorner,Goal,0.06515511125326157,63,3,1,Kaan Ayhan,347,a,Fortuna Duesseldorf,Werder Bremen,Erik Thommy,2019-08-17 14:30:00,12404,2019,"(0.9319999694824219, 0.49599998474121093)"
310592,LeftFoot,OpenPlay,SavedShot,0.05160018429160118,65,3,1,Rouwen Hennings,7060,a,Fortuna Duesseldorf,Werder Bremen,Kenan Karaman,2019-08-17 14:30:00,12404,2019,"(0.7909999847412109, 0.624000015258789)"
310596,LeftFoot,FromCorner,MissedShots,0.014123727567493916,73,3,1,Lewis Baker,4510,a,Fortuna Duesseldorf,Werder Bremen,,2019-08-17 14:30:00,12404,2019,"(0.7269999694824218, 0.6079999923706054)"
310580,LeftFoot,OpenPlay,Goal,0.4349465072154999,35,3,1,Rouwen Hennings,7060,a,Fortuna Duesseldorf,Werder Bremen,Kenan Karaman,2019-08-17 14:30:00,12404,2019,"(0.9019999694824219, 0.485)"
310581,RightFoot,OpenPlay,SavedShot,0.02489444799721241,38,3,1,Erik Thommy,2676,a,Fortuna Duesseldorf,Werder Bremen,Kenan Karaman,2019-08-17 14:30:00,12404,2019,"(0.745999984741211, 0.6)"
