,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
311194,RightFoot,OpenPlay,MissedShots,0.08309363573789597,17,4,0,Timo Werner,65,a,RasenBallsport Leipzig,Union Berlin,Marcel Sabitzer,2019-08-18 17:00:00,12411,2019,"(0.8980000305175782, 0.30700000762939456)"
311217,LeftFoot,FromCorner,MissedShots,0.25404855608940125,85,4,0,Marcel Halstenberg,5254,a,RasenBallsport Leipzig,Union Berlin,Konrad Laimer,2019-08-18 17:00:00,12411,2019,"(0.8680000305175781, 0.42200000762939455)"
311193,RightFoot,OpenPlay,Goal,0.08037437498569489,15,4,0,Marcel Halstenberg,5254,a,RasenBallsport Leipzig,Union Berlin,Marcel Sabitzer,2019-08-18 17:00:00,12411,2019,"(0.865, 0.634000015258789)"
311201,RightFoot,OpenPlay,ShotOnPost,0.3314873278141022,32,4,0,Yussuf Poulsen,5250,a,RasenBallsport Leipzig,Union Berlin,Timo Werner,2019-08-18 17:00:00,12411,2019,"(0.8980000305175782, 0.3729999923706055)"
311199,Head,FromCorner,MissedShots,0.10142799466848373,30,4,0,Yussuf Poulsen,5250,a,RasenBallsport Leipzig,Union Berlin,Marcel Halstenberg,2019-08-18 17:00:00,12411,2019,"(0.9230000305175782, 0.54)"
311212,RightFoot,OpenPlay,Goal,0.6596769094467163,68,4,0,Christopher Nkunku,3300,a,RasenBallsport Leipzig,Union Berlin,Marcel Sabitzer,2019-08-18 17:00:00,12411,2019,"(0.9719999694824218, 0.5279999923706055)"
311216,RightFoot,OpenPlay,SavedShot,0.3875800371170044,84,4,0,Christopher Nkunku,3300,a,RasenBallsport Leipzig,Union Berlin,Marcel Sabitzer,2019-08-18 17:00:00,12411,2019,"(0.9309999847412109, 0.3579999923706055)"
311206,RightFoot,OpenPlay,SavedShot,0.6728845238685608,48,4,0,Diego Demme,5246,a,RasenBallsport Leipzig,Union Berlin,,2019-08-18 17:00:00,12411,2019,"(0.950999984741211, 0.5020000076293946)"
311200,LeftFoot,OpenPlay,Goal,0.077914759516716,30,4,0,Marcel Sabitzer,5248,a,RasenBallsport Leipzig,Union Berlin,Marcel Halstenberg,2019-08-18 17:00:00,12411,2019,"(0.8169999694824219, 0.5309999847412109)"
311205,RightFoot,OpenPlay,SavedShot,0.42252567410469055,48,4,0,Marcel Sabitzer,5248,a,RasenBallsport Leipzig,Union Berlin,Lukas Klostermann,2019-08-18 17:00:00,12411,2019,"(0.8690000152587891, 0.40599998474121096)"
311215,RightFoot,OpenPlay,ShotOnPost,0.494342565536499,79,4,0,Christopher Nkunku,3300,a,RasenBallsport Leipzig,Union Berlin,Emil Forsberg,2019-08-18 17:00:00,12411,2019,"(0.9369999694824219, 0.31799999237060544)"
311204,LeftFoot,OpenPlay,SavedShot,0.5006037354469299,48,4,0,Timo Werner,65,a,RasenBallsport Leipzig,Union Berlin,Kevin Kampl,2019-08-18 17:00:00,12411,2019,"(0.9309999847412109, 0.605)"
