,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
311197,RightFoot,FromCorner,MissedShots,0.05373035743832588,28,0,4,Grischa Prömel,4340,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.8469999694824218, 0.42400001525878905)"
311202,LeftFoot,OpenPlay,BlockedShot,0.0827317163348198,37,0,4,Grischa Prömel,4340,h,Union Berlin,RasenBallsport Leipzig,Sebastian Andersson,2019-08-18 17:00:00,12411,2019,"(0.874000015258789, 0.4809999847412109)"
311209,LeftFoot,OpenPlay,MissedShots,0.02066175825893879,62,0,4,Robert Andrich,7877,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.8090000152587891, 0.6880000305175781)"
311213,LeftFoot,OpenPlay,MissedShots,0.016659745946526527,70,0,4,Anthony Ujah,119,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.759000015258789, 0.5690000152587891)"
311210,RightFoot,OpenPlay,MissedShots,0.13665814697742462,62,0,4,Anthony Ujah,119,h,Union Berlin,RasenBallsport Leipzig,Robert Andrich,2019-08-18 17:00:00,12411,2019,"(0.9209999847412109, 0.4909999847412109)"
311207,RightFoot,OpenPlay,BlockedShot,0.07447022199630737,55,0,4,Sebastian Andersson,7880,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.8640000152587891, 0.44400001525878907)"
311192,Head,OpenPlay,SavedShot,0.14410820603370667,9,0,4,Sebastian Andersson,7880,h,Union Berlin,RasenBallsport Leipzig,Christopher Trimmel,2019-08-18 17:00:00,12411,2019,"(0.9540000152587891, 0.475)"
311195,RightFoot,OpenPlay,BlockedShot,0.019358687102794647,19,0,4,Suleiman Abdullahi,7878,h,Union Berlin,RasenBallsport Leipzig,Robert Andrich,2019-08-18 17:00:00,12411,2019,"(0.774000015258789, 0.27899999618530275)"
311211,RightFoot,DirectFreekick,SavedShot,0.03888428211212158,62,0,4,Robert Andrich,7877,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.735999984741211, 0.7180000305175781)"
311214,RightFoot,OpenPlay,MissedShots,0.03986247256398201,75,0,4,Sebastian Polter,7881,h,Union Berlin,RasenBallsport Leipzig,Sheraldo Becker,2019-08-18 17:00:00,12411,2019,"(0.7709999847412109, 0.7019999694824218)"
311208,RightFoot,OpenPlay,BlockedShot,0.009244028478860855,60,0,4,Robert Andrich,7877,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.715, 0.44099998474121094)"
311191,LeftFoot,OpenPlay,BlockedShot,0.12537522614002228,7,0,4,Robert Andrich,7877,h,Union Berlin,RasenBallsport Leipzig,Marius Bülter,2019-08-18 17:00:00,12411,2019,"(0.9230000305175782, 0.5940000152587891)"
311198,RightFoot,FromCorner,MissedShots,0.023985637351870537,29,0,4,Robert Andrich,7877,h,Union Berlin,RasenBallsport Leipzig,,2019-08-18 17:00:00,12411,2019,"(0.7780000305175782, 0.49900001525878906)"
312452,RightFoot,OpenPlay,BlockedShot,0.05633625388145447,43,1,1,Robert Andrich,7877,a,Union Berlin,Augsburg,,2019-08-24 14:30:00,12417,2019,"(0.8280000305175781, 0.44099998474121094)"
312450,Head,FromCorner,MissedShots,0.06776276975870132,40,1,1,Keven Schlotterbeck,7401,a,Union Berlin,Augsburg,Christopher Trimmel,2019-08-24 14:30:00,12417,2019,"(0.935, 0.5129999923706055)"
312451,RightFoot,OpenPlay,BlockedShot,0.03213119879364967,43,1,1,Robert Andrich,7877,a,Union Berlin,Augsburg,Grischa Prömel,2019-08-24 14:30:00,12417,2019,"(0.789000015258789, 0.6)"
312445,RightFoot,OpenPlay,MissedShots,0.031109819188714027,26,1,1,Anthony Ujah,119,a,Union Berlin,Augsburg,Marius Bülter,2019-08-24 14:30:00,12417,2019,"(0.8730000305175781, 0.27399999618530274)"
312461,RightFoot,OpenPlay,Goal,0.5214794874191284,79,1,1,Sebastian Andersson,7880,a,Union Berlin,Augsburg,Sebastian Polter,2019-08-24 14:30:00,12417,2019,"(0.855, 0.49400001525878906)"
312462,Head,OpenPlay,MissedShots,0.023870164528489113,81,1,1,Sebastian Polter,7881,a,Union Berlin,Augsburg,Christopher Trimmel,2019-08-24 14:30:00,12417,2019,"(0.875999984741211, 0.5420000076293945)"
