,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14174,Arminia Bielefeld,Eintracht Frankfurt,0.618787,2.46928,1,1,a,2020-09-19 13:30:00
14185,Arminia Bielefeld,FC Cologne,0.163242,1.3741,1,0,h,2020-09-26 13:30:00
15160,Arminia Bielefeld,Werder Bremen,1.02247,0.346071,0,1,a,2020-10-03 13:30:00
15172,Arminia Bielefeld,Bayern Munich,1.21235,3.29447,1,4,h,2020-10-17 16:30:00
15182,Arminia Bielefeld,Wolfsburg,0.664903,2.77748,1,2,a,2020-10-25 14:30:00
15188,Arminia Bielefeld,Borussia Dortmund,0.255813,2.75909,0,2,h,2020-10-31 14:30:00
15197,Arminia Bielefeld,Union Berlin,0.259002,2.25166,0,5,a,2020-11-07 14:30:00
15207,Arminia Bielefeld,Bayer Leverkusen,0.0,1.32693,1,2,h,2020-11-21 14:30:00
15213,Arminia Bielefeld,RasenBallsport Leipzig,1.76313,2.84171,1,2,a,2020-11-28 14:30:00
15229,Arminia Bielefeld,Mainz 05,1.18485,2.54193,2,1,h,2020-12-05 14:30:00
15235,Arminia Bielefeld,Freiburg,0.238384,2.43027,0,2,a,2020-12-12 14:30:00
15243,Arminia Bielefeld,Augsburg,0.702085,0.370523,0,1,h,2020-12-16 19:30:00
15254,Arminia Bielefeld,Schalke 04,0.89989,0.338524,1,0,a,2020-12-19 14:30:00
15264,Arminia Bielefeld,Borussia M.Gladbach,0.707828,1.88594,0,1,h,2021-01-02 14:30:00
15274,Arminia Bielefeld,Hertha Berlin,0.623296,0.603143,1,0,h,2021-01-10 17:00:00
15277,Arminia Bielefeld,Hoffenheim,0.596397,0.655307,0,0,a,2021-01-16 14:30:00
15292,Arminia Bielefeld,VfB Stuttgart,1.8577,1.32249,3,0,h,2021-01-20 19:30:00
15301,Arminia Bielefeld,Eintracht Frankfurt,0.328715,2.56406,1,5,h,2021-01-23 14:30:00
15308,Arminia Bielefeld,FC Cologne,0.949382,1.50709,1,3,a,2021-01-31 14:30:00
15320,Arminia Bielefeld,Bayern Munich,1.71797,2.29294,3,3,a,2021-02-15 19:30:00
15337,Arminia Bielefeld,Wolfsburg,0.319638,1.67634,0,3,h,2021-02-19 19:30:00
15339,Arminia Bielefeld,Borussia Dortmund,0.636679,2.50855,0,3,a,2021-02-27 14:30:00
15350,Arminia Bielefeld,Union Berlin,0.213406,1.49282,0,0,h,2021-03-07 17:00:00
15319,Arminia Bielefeld,Werder Bremen,2.49186,1.64589,0,2,h,2021-03-10 19:30:00
15358,Arminia Bielefeld,Bayer Leverkusen,2.28117,2.37314,2,1,a,2021-03-14 12:30:00
15373,Arminia Bielefeld,RasenBallsport Leipzig,0.290363,2.509,0,1,h,2021-03-19 19:30:00
15380,Arminia Bielefeld,Mainz 05,0.376815,2.45668,1,1,a,2021-04-03 13:30:00
15390,Arminia Bielefeld,Freiburg,1.35635,0.4306,1,0,h,2021-04-09 18:30:00
15400,Arminia Bielefeld,Augsburg,0.824002,0.752755,0,0,a,2021-04-17 13:30:00
15408,Arminia Bielefeld,Schalke 04,2.29829,0.252122,1,0,h,2021-04-20 18:30:00
15411,Arminia Bielefeld,Borussia M.Gladbach,0.594905,3.75166,0,5,a,2021-04-25 16:00:00
15424,Arminia Bielefeld,Hertha Berlin,0.501126,0.757903,0,0,a,2021-05-09 16:00:00
15436,Arminia Bielefeld,Hoffenheim,1.65894,1.57706,1,1,h,2021-05-15 13:30:00
15445,Arminia Bielefeld,VfB Stuttgart,1.52995,0.844397,2,0,a,2021-05-22 13:30:00
