,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
377381,RightFoot,OpenPlay,SavedShot,0.015179460868239403,92,1,1,Sven Schipplock,176,a,Arminia Bielefeld,Eintracht Frankfurt,,2020-09-19 13:30:00,14174,2020,"(0.77, 0.7319999694824219)"
377371,Head,FromCorner,MissedShots,0.032687921077013016,53,1,1,Amos Pieper,7320,a,Arminia Bielefeld,Eintracht Frankfurt,Ritsu Doan,2020-09-19 13:30:00,14174,2020,"(0.9490000152587891, 0.62)"
377382,LeftFoot,OpenPlay,BlockedShot,0.11738964170217514,94,1,1,Fabian Kunze,8793,a,Arminia Bielefeld,Eintracht Frankfurt,,2020-09-19 13:30:00,14174,2020,"(0.895, 0.6170000076293946)"
377362,RightFoot,OpenPlay,SavedShot,0.014662493951618671,38,1,1,Manuel Prietl,8789,a,Arminia Bielefeld,Eintracht Frankfurt,Marcel Hartel,2020-09-19 13:30:00,14174,2020,"(0.6990000152587891, 0.5479999923706055)"
377364,LeftFoot,OpenPlay,MissedShots,0.012948780320584774,42,1,1,Anderson-Lenda Lucoqui,8788,a,Arminia Bielefeld,Eintracht Frankfurt,,2020-09-19 13:30:00,14174,2020,"(0.725999984741211, 0.5220000076293946)"
377358,RightFoot,OpenPlay,MissedShots,0.022416194900870323,24,1,1,Manuel Prietl,8789,a,Arminia Bielefeld,Eintracht Frankfurt,,2020-09-19 13:30:00,14174,2020,"(0.7669999694824219, 0.3629999923706055)"
377383,RightFoot,OpenPlay,MissedShots,0.02218509092926979,94,1,1,Sven Schipplock,176,a,Arminia Bielefeld,Eintracht Frankfurt,,2020-09-19 13:30:00,14174,2020,"(0.7930000305175782, 0.634000015258789)"
377377,Head,OpenPlay,MissedShots,0.05427483841776848,76,1,1,Sergio Córdova,6096,a,Arminia Bielefeld,Eintracht Frankfurt,Cédric Brunner,2020-09-19 13:30:00,14174,2020,"(0.9, 0.46900001525878904)"
377363,RightFoot,OpenPlay,BlockedShot,0.09564828127622604,42,1,1,Sergio Córdova,6096,a,Arminia Bielefeld,Eintracht Frankfurt,Ritsu Doan,2020-09-19 13:30:00,14174,2020,"(0.8530000305175781, 0.5159999847412109)"
377369,RightFoot,OpenPlay,Goal,0.11617392301559448,50,1,1,Cebio Soukou,8790,a,Arminia Bielefeld,Eintracht Frankfurt,Sergio Córdova,2020-09-19 13:30:00,14174,2020,"(0.8809999847412109, 0.3559999847412109)"
377376,RightFoot,OpenPlay,SavedShot,0.024877896532416344,74,1,1,Fabian Klos,8792,a,Arminia Bielefeld,Eintracht Frankfurt,,2020-09-19 13:30:00,14174,2020,"(0.7869999694824219, 0.639000015258789)"
377370,RightFoot,OpenPlay,BlockedShot,0.07673380523920059,52,1,1,Fabian Klos,8792,a,Arminia Bielefeld,Eintracht Frankfurt,Stefan Ortega Moreno,2020-09-19 13:30:00,14174,2020,"(0.88, 0.37)"
377368,LeftFoot,OpenPlay,MissedShots,0.017451632767915726,49,1,1,Ritsu Doan,8791,a,Arminia Bielefeld,Eintracht Frankfurt,Sergio Córdova,2020-09-19 13:30:00,14174,2020,"(0.749000015258789, 0.48400001525878905)"
378774,RightFoot,FromCorner,BlockedShot,0.027371548116207123,39,1,0,Fabian Klos,8792,h,Arminia Bielefeld,FC Cologne,Marcel Hartel,2020-09-26 13:30:00,14185,2020,"(0.7969999694824219, 0.6790000152587891)"
378785,RightFoot,SetPiece,BlockedShot,0.010388372465968132,81,1,0,Cebio Soukou,8790,h,Arminia Bielefeld,FC Cologne,,2020-09-26 13:30:00,14185,2020,"(0.740999984741211, 0.669000015258789)"
378783,RightFoot,OpenPlay,MissedShots,0.015596538782119751,76,1,0,Amos Pieper,7320,h,Arminia Bielefeld,FC Cologne,Anderson-Lenda Lucoqui,2020-09-26 13:30:00,14185,2020,"(0.7230000305175781, 0.3629999923706055)"
378778,RightFoot,OpenPlay,SavedShot,0.015522461384534836,48,1,0,Marcel Hartel,2645,h,Arminia Bielefeld,FC Cologne,Ritsu Doan,2020-09-26 13:30:00,14185,2020,"(0.7030000305175781, 0.4179999923706055)"
378771,RightFoot,SetPiece,BlockedShot,0.04094034805893898,8,1,0,Cebio Soukou,8790,h,Arminia Bielefeld,FC Cologne,,2020-09-26 13:30:00,14185,2020,"(0.8180000305175781, 0.6170000076293946)"
378773,LeftFoot,FromCorner,MissedShots,0.012289085425436497,38,1,0,Anderson-Lenda Lucoqui,8788,h,Arminia Bielefeld,FC Cologne,,2020-09-26 13:30:00,14185,2020,"(0.6890000152587891, 0.44)"
378784,RightFoot,OpenPlay,Goal,0.04113397374749184,77,1,0,Jóan Símun Edmundsson,8874,h,Arminia Bielefeld,FC Cologne,Stefan Ortega Moreno,2020-09-26 13:30:00,14185,2020,"(0.975, 0.27100000381469724)"
380545,RightFoot,OpenPlay,MissedShots,0.02879399247467518,62,0,1,Sergio Córdova,6096,a,Arminia Bielefeld,Werder Bremen,Cédric Brunner,2020-10-03 13:30:00,15160,2020,"(0.9059999847412109, 0.6840000152587891)"
380546,LeftFoot,OpenPlay,MissedShots,0.014341337606310844,69,0,1,Sergio Córdova,6096,a,Arminia Bielefeld,Werder Bremen,Mike van der Hoorn,2020-10-03 13:30:00,15160,2020,"(0.740999984741211, 0.605999984741211)"
380549,Head,OpenPlay,SavedShot,0.017481205984950066,84,0,1,Sven Schipplock,176,a,Arminia Bielefeld,Werder Bremen,Amos Pieper,2020-10-03 13:30:00,15160,2020,"(0.9219999694824219, 0.7030000305175781)"
380544,Head,OpenPlay,SavedShot,0.40790238976478577,60,0,1,Fabian Klos,8792,a,Arminia Bielefeld,Werder Bremen,Marcel Hartel,2020-10-03 13:30:00,15160,2020,"(0.9519999694824218, 0.47200000762939454)"
380543,LeftFoot,OpenPlay,BlockedShot,0.03507990390062332,58,0,1,Ritsu Doan,8791,a,Arminia Bielefeld,Werder Bremen,Cebio Soukou,2020-10-03 13:30:00,15160,2020,"(0.799000015258789, 0.3729999923706055)"
380547,Head,SetPiece,MissedShots,0.040983881801366806,75,0,1,Mike van der Hoorn,1702,a,Arminia Bielefeld,Werder Bremen,Sven Schipplock,2020-10-03 13:30:00,15160,2020,"(0.899000015258789, 0.4759999847412109)"
380551,Head,OpenPlay,SavedShot,0.3554876446723938,93,0,1,Jóan Símun Edmundsson,8874,a,Arminia Bielefeld,Werder Bremen,Jacob Laursen,2020-10-03 13:30:00,15160,2020,"(0.9219999694824219, 0.46599998474121096)"
380538,RightFoot,OpenPlay,SavedShot,0.015135087072849274,25,0,1,Sergio Córdova,6096,a,Arminia Bielefeld,Werder Bremen,Fabian Klos,2020-10-03 13:30:00,15160,2020,"(0.74, 0.46599998474121096)"
