,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14181,Bayer Leverkusen,Wolfsburg,0.441229,1.27652,0,0,a,2020-09-20 16:00:00
14187,Bayer Leverkusen,RasenBallsport Leipzig,0.91247,1.20453,1,1,h,2020-09-26 13:30:00
15161,Bayer Leverkusen,VfB Stuttgart,1.69772,0.799979,1,1,a,2020-10-03 13:30:00
15171,Bayer Leverkusen,Mainz 05,0.454109,0.214962,1,0,a,2020-10-17 13:30:00
15184,Bayer Leverkusen,Augsburg,2.6291,0.342366,3,1,h,2020-10-26 19:30:00
15191,Bayer Leverkusen,Freiburg,1.34088,1.18284,4,2,a,2020-11-01 14:30:00
15202,Bayer Leverkusen,Borussia M.Gladbach,1.53904,3.02085,4,3,h,2020-11-08 17:00:00
15207,Bayer Leverkusen,Arminia Bielefeld,1.32693,0.0,2,1,a,2020-11-21 14:30:00
15215,Bayer Leverkusen,Hertha Berlin,1.04196,0.517533,0,0,h,2020-11-29 14:30:00
15226,Bayer Leverkusen,Schalke 04,2.45305,1.22701,3,0,a,2020-12-06 17:00:00
15233,Bayer Leverkusen,Hoffenheim,2.12151,1.67451,4,1,h,2020-12-13 17:00:00
15241,Bayer Leverkusen,FC Cologne,1.93376,0.251532,4,0,a,2020-12-16 19:30:00
15250,Bayer Leverkusen,Bayern Munich,0.307742,1.41401,1,2,h,2020-12-19 17:30:00
15260,Bayer Leverkusen,Eintracht Frankfurt,0.752325,1.34155,1,2,a,2021-01-02 14:30:00
15268,Bayer Leverkusen,Werder Bremen,0.588228,0.481943,1,1,h,2021-01-09 14:30:00
15280,Bayer Leverkusen,Union Berlin,0.794473,1.21832,0,1,a,2021-01-15 19:30:00
15286,Bayer Leverkusen,Borussia Dortmund,1.82076,1.25761,2,1,h,2021-01-19 19:30:00
15294,Bayer Leverkusen,Wolfsburg,0.572384,1.0586,0,1,h,2021-01-23 14:30:00
15304,Bayer Leverkusen,RasenBallsport Leipzig,0.905761,1.68828,0,1,a,2021-01-30 17:30:00
15312,Bayer Leverkusen,VfB Stuttgart,4.60657,1.30625,5,2,h,2021-02-06 14:30:00
15323,Bayer Leverkusen,Mainz 05,1.75183,2.27515,2,2,h,2021-02-13 14:30:00
15336,Bayer Leverkusen,Augsburg,0.397505,0.931657,1,1,a,2021-02-21 12:30:00
15341,Bayer Leverkusen,Freiburg,1.15987,1.47636,1,2,h,2021-02-28 17:00:00
15352,Bayer Leverkusen,Borussia M.Gladbach,1.36843,0.544034,1,0,a,2021-03-06 14:30:00
15358,Bayer Leverkusen,Arminia Bielefeld,2.37314,2.28117,1,2,h,2021-03-14 12:30:00
15369,Bayer Leverkusen,Hertha Berlin,2.00246,2.00238,0,3,a,2021-03-21 14:30:00
15377,Bayer Leverkusen,Schalke 04,0.861271,1.05068,2,1,h,2021-04-03 13:30:00
15384,Bayer Leverkusen,Hoffenheim,0.32178,0.0916581,0,0,a,2021-04-12 18:30:00
15395,Bayer Leverkusen,FC Cologne,1.98802,0.828829,3,0,h,2021-04-17 16:30:00
15401,Bayer Leverkusen,Bayern Munich,0.540312,1.89266,0,2,a,2021-04-20 18:30:00
15412,Bayer Leverkusen,Eintracht Frankfurt,2.08585,1.83222,3,1,h,2021-04-24 16:30:00
15426,Bayer Leverkusen,Werder Bremen,1.05171,0.552662,0,0,a,2021-05-08 13:30:00
15430,Bayer Leverkusen,Union Berlin,1.56402,1.53974,1,1,h,2021-05-15 13:30:00
15438,Bayer Leverkusen,Borussia Dortmund,1.56956,1.62981,1,3,a,2021-05-22 13:30:00
