,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
378403,RightFoot,SetPiece,ShotOnPost,0.04844699427485466,40,8,0,Niklas Süle,75,h,Bayern Munich,Schalke 04,,2020-09-18 18:30:00,14173,2020,"(0.8580000305175781, 0.37099998474121093)"
378400,RightFoot,OpenPlay,SavedShot,0.5248051285743713,23,8,0,Joshua Kimmich,223,h,Bayern Munich,Schalke 04,Serge Gnabry,2020-09-18 18:30:00,14173,2020,"(0.9130000305175782, 0.42700000762939455)"
378411,Head,FromCorner,MissedShots,0.057254254817962646,67,8,0,Corentin Tolisso,3603,h,Bayern Munich,Schalke 04,Joshua Kimmich,2020-09-18 18:30:00,14173,2020,"(0.9009999847412109, 0.5520000076293945)"
378412,LeftFoot,OpenPlay,Goal,0.10886871069669724,68,8,0,Thomas Müller,224,h,Bayern Munich,Schalke 04,Robert Lewandowski,2020-09-18 18:30:00,14173,2020,"(0.875, 0.5359999847412109)"
378416,RightFoot,DirectFreekick,MissedShots,0.033216677606105804,83,8,0,Joshua Kimmich,223,h,Bayern Munich,Schalke 04,,2020-09-18 18:30:00,14173,2020,"(0.6869999694824219, 0.6120000076293945)"
378404,LeftFoot,OpenPlay,MissedShots,0.0715634822845459,42,8,0,Serge Gnabry,993,h,Bayern Munich,Schalke 04,Thomas Müller,2020-09-18 18:30:00,14173,2020,"(0.8680000305175781, 0.6630000305175782)"
378395,LeftFoot,FromCorner,MissedShots,0.04723776504397392,5,8,0,Jérôme Boateng,220,h,Bayern Munich,Schalke 04,,2020-09-18 18:30:00,14173,2020,"(0.9019999694824219, 0.32799999237060545)"
378415,RightFoot,OpenPlay,Goal,0.10762665420770645,80,8,0,Jamal Musiala,8418,h,Bayern Munich,Schalke 04,Robert Lewandowski,2020-09-18 18:30:00,14173,2020,"(0.8619999694824219, 0.6040000152587891)"
378408,LeftFoot,OpenPlay,SavedShot,0.49417462944984436,62,8,0,Corentin Tolisso,3603,h,Bayern Munich,Schalke 04,Serge Gnabry,2020-09-18 18:30:00,14173,2020,"(0.8919999694824219, 0.53)"
378407,RightFoot,OpenPlay,Goal,0.36590665578842163,58,8,0,Serge Gnabry,993,h,Bayern Munich,Schalke 04,Leroy Sané,2020-09-18 18:30:00,14173,2020,"(0.904000015258789, 0.585)"
378410,RightFoot,OpenPlay,BlockedShot,0.060697656124830246,64,8,0,Serge Gnabry,993,h,Bayern Munich,Schalke 04,Corentin Tolisso,2020-09-18 18:30:00,14173,2020,"(0.855999984741211, 0.6780000305175782)"
378394,RightFoot,OpenPlay,BlockedShot,0.46233803033828735,4,8,0,Robert Lewandowski,227,h,Bayern Munich,Schalke 04,Leroy Sané,2020-09-18 18:30:00,14173,2020,"(0.914000015258789, 0.5659999847412109)"
378399,LeftFoot,OpenPlay,MissedShots,0.12052113562822342,20,8,0,Robert Lewandowski,227,h,Bayern Munich,Schalke 04,Leroy Sané,2020-09-18 18:30:00,14173,2020,"(0.860999984741211, 0.4179999923706055)"
378413,LeftFoot,OpenPlay,Goal,0.3720955550670624,70,8,0,Leroy Sané,337,h,Bayern Munich,Schalke 04,Joshua Kimmich,2020-09-18 18:30:00,14173,2020,"(0.825, 0.4759999847412109)"
378405,LeftFoot,OpenPlay,Goal,0.30990850925445557,46,8,0,Serge Gnabry,993,h,Bayern Munich,Schalke 04,Leroy Sané,2020-09-18 18:30:00,14173,2020,"(0.87, 0.5940000152587891)"
378398,RightFoot,OpenPlay,Goal,0.0719761848449707,18,8,0,Leon Goretzka,335,h,Bayern Munich,Schalke 04,Thomas Müller,2020-09-18 18:30:00,14173,2020,"(0.8230000305175781, 0.47)"
