,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14178,Freiburg,VfB Stuttgart,2.07011,2.15741,3,2,a,2020-09-19 13:30:00
14190,Freiburg,Wolfsburg,0.92465,0.413442,1,1,h,2020-09-27 16:00:00
15162,Freiburg,Borussia Dortmund,0.445096,2.82762,0,4,a,2020-10-03 13:30:00
15168,Freiburg,Werder Bremen,1.05894,1.6646,1,1,h,2020-10-17 13:30:00
15177,Freiburg,Union Berlin,0.271576,1.28488,1,1,a,2020-10-24 13:30:00
15191,Freiburg,Bayer Leverkusen,1.18284,1.34088,2,4,h,2020-11-01 14:30:00
15196,Freiburg,RasenBallsport Leipzig,0.577152,2.43212,0,3,a,2020-11-07 14:30:00
15210,Freiburg,Mainz 05,1.47979,3.20461,1,3,h,2020-11-22 14:30:00
15219,Freiburg,Augsburg,0.470106,0.385539,1,1,a,2020-11-28 14:30:00
15223,Freiburg,Borussia M.Gladbach,4.02129,1.66853,2,2,h,2020-12-05 14:30:00
15235,Freiburg,Arminia Bielefeld,2.43027,0.238384,2,0,h,2020-12-12 14:30:00
15240,Freiburg,Schalke 04,1.15776,0.376573,2,0,a,2020-12-16 17:30:00
15252,Freiburg,Hertha Berlin,2.96729,1.03828,4,1,h,2020-12-20 14:30:00
15259,Freiburg,Hoffenheim,2.08,1.14476,3,1,a,2021-01-02 14:30:00
15269,Freiburg,FC Cologne,2.91627,0.139728,5,0,h,2021-01-09 14:30:00
15275,Freiburg,Bayern Munich,0.76215,3.01697,1,2,a,2021-01-17 14:30:00
15287,Freiburg,Eintracht Frankfurt,0.850102,1.45197,2,2,h,2021-01-20 19:30:00
15296,Freiburg,VfB Stuttgart,1.53443,3.02675,2,1,h,2021-01-23 14:30:00
15305,Freiburg,Wolfsburg,0.684054,2.00557,0,3,a,2021-01-31 17:00:00
15314,Freiburg,Borussia Dortmund,0.167725,1.28601,2,1,h,2021-02-06 14:30:00
15327,Freiburg,Werder Bremen,0.375641,0.907057,0,0,a,2021-02-13 14:30:00
15331,Freiburg,Union Berlin,0.836092,1.49682,0,1,h,2021-02-20 14:30:00
15341,Freiburg,Bayer Leverkusen,1.47636,1.15987,2,1,a,2021-02-28 17:00:00
15354,Freiburg,RasenBallsport Leipzig,0.197373,1.97309,0,3,h,2021-03-06 14:30:00
15361,Freiburg,Mainz 05,1.48247,1.83812,0,1,a,2021-03-13 14:30:00
15367,Freiburg,Augsburg,2.06607,0.821272,2,0,h,2021-03-21 17:00:00
15376,Freiburg,Borussia M.Gladbach,1.96748,1.48872,1,2,a,2021-04-03 18:30:00
15390,Freiburg,Arminia Bielefeld,0.4306,1.35635,0,1,a,2021-04-09 18:30:00
15397,Freiburg,Schalke 04,2.07564,0.716727,4,0,h,2021-04-17 13:30:00
15414,Freiburg,Hoffenheim,1.31762,1.55721,1,1,h,2021-04-24 13:30:00
15405,Freiburg,Hertha Berlin,0.850618,2.03873,0,3,a,2021-05-06 16:30:00
15425,Freiburg,FC Cologne,2.49672,1.72084,4,1,a,2021-05-09 11:30:00
15431,Freiburg,Bayern Munich,0.964354,2.49234,2,2,h,2021-05-15 13:30:00
15441,Freiburg,Eintracht Frankfurt,0.525229,2.30602,1,3,a,2021-05-22 13:30:00
