,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
377439,Head,OpenPlay,Goal,0.22519075870513916,7,3,2,Nils Petersen,4248,a,Freiburg,VfB Stuttgart,Roland Sallai,2020-09-19 13:30:00,14178,2020,"(0.9009999847412109, 0.4640000152587891)"
377446,RightFoot,SetPiece,SavedShot,0.09540650248527527,25,3,2,Nils Petersen,4248,a,Freiburg,VfB Stuttgart,Vincenzo Grifo,2020-09-19 13:30:00,14178,2020,"(0.9580000305175781, 0.4229999923706055)"
377457,LeftFoot,OpenPlay,BlockedShot,0.12247723340988159,69,3,2,Woo-Yeong Jeong,7267,a,Freiburg,VfB Stuttgart,Christian Günter,2020-09-19 13:30:00,14178,2020,"(0.879000015258789, 0.5820000076293945)"
377448,LeftFoot,OpenPlay,SavedShot,0.034197960048913956,33,3,2,Roland Sallai,1277,a,Freiburg,VfB Stuttgart,Woo-Yeong Jeong,2020-09-19 13:30:00,14178,2020,"(0.7319999694824219, 0.35400001525878905)"
377451,RightFoot,OpenPlay,Goal,0.567148745059967,47,3,2,Vincenzo Grifo,5266,a,Freiburg,VfB Stuttgart,Lucas Höler,2020-09-19 13:30:00,14178,2020,"(0.919000015258789, 0.47200000762939454)"
377447,RightFoot,SetPiece,Goal,0.6658765077590942,25,3,2,Roland Sallai,1277,a,Freiburg,VfB Stuttgart,,2020-09-19 13:30:00,14178,2020,"(0.9569999694824218, 0.524000015258789)"
377455,LeftFoot,OpenPlay,BlockedShot,0.42334017157554626,62,3,2,Lucas Höler,6475,a,Freiburg,VfB Stuttgart,Woo-Yeong Jeong,2020-09-19 13:30:00,14178,2020,"(0.904000015258789, 0.4909999847412109)"
379685,RightFoot,OpenPlay,MissedShots,0.0872095376253128,60,1,1,Lucas Höler,6475,h,Freiburg,Wolfsburg,Christian Günter,2020-09-27 16:00:00,14190,2020,"(0.8819999694824219, 0.4909999847412109)"
379678,RightFoot,OpenPlay,MissedShots,0.10471092909574509,27,1,1,Vincenzo Grifo,5266,h,Freiburg,Wolfsburg,,2020-09-27 16:00:00,14190,2020,"(0.8640000152587891, 0.509000015258789)"
379696,RightFoot,OpenPlay,SavedShot,0.08172201365232468,90,1,1,Lucas Höler,6475,h,Freiburg,Wolfsburg,,2020-09-27 16:00:00,14190,2020,"(0.895, 0.625)"
