,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
377414,RightFoot,OpenPlay,Goal,0.4757865071296692,41,4,1,Peter Pekarík,443,a,Hertha Berlin,Werder Bremen,Maximilian Mittelstädt,2020-09-19 13:30:00,14177,2020,"(0.9719999694824218, 0.435)"
377428,Head,SetPiece,MissedShots,0.05282888561487198,82,4,1,Jhon Córdoba,48,a,Hertha Berlin,Werder Bremen,Matheus Cunha,2020-09-19 13:30:00,14177,2020,"(0.9230000305175782, 0.5579999923706055)"
377415,LeftFoot,OpenPlay,Goal,0.32501697540283203,46,4,1,Dodi Lukebakio,5706,a,Hertha Berlin,Werder Bremen,Vladimir Darida,2020-09-19 13:30:00,14177,2020,"(0.8830000305175781, 0.6790000152587891)"
377422,RightFoot,OpenPlay,SavedShot,0.25852102041244507,70,4,1,Jhon Córdoba,48,a,Hertha Berlin,Werder Bremen,Jordan Torunarigha,2020-09-19 13:30:00,14177,2020,"(0.8969999694824219, 0.6969999694824218)"
377429,Head,FromCorner,MissedShots,0.03590233251452446,84,4,1,Lucas Tousart,3743,a,Hertha Berlin,Werder Bremen,Maximilian Mittelstädt,2020-09-19 13:30:00,14177,2020,"(0.9259999847412109, 0.42400001525878905)"
377433,RightFoot,OpenPlay,Goal,0.2823772132396698,89,4,1,Jhon Córdoba,48,a,Hertha Berlin,Werder Bremen,Mathew Leckie,2020-09-19 13:30:00,14177,2020,"(0.8969999694824219, 0.3729999923706055)"
377427,LeftFoot,OpenPlay,BlockedShot,0.05691995471715927,79,4,1,Dodi Lukebakio,5706,a,Hertha Berlin,Werder Bremen,Vladimir Darida,2020-09-19 13:30:00,14177,2020,"(0.8919999694824219, 0.325)"
377410,Head,OpenPlay,ShotOnPost,0.03405068442225456,18,4,1,Krzysztof Piatek,7090,a,Hertha Berlin,Werder Bremen,Peter Pekarík,2020-09-19 13:30:00,14177,2020,"(0.884000015258789, 0.47900001525878905)"
377423,Head,FromCorner,MissedShots,0.20069491863250732,71,4,1,Dedryck Boyata,4468,a,Hertha Berlin,Werder Bremen,Dodi Lukebakio,2020-09-19 13:30:00,14177,2020,"(0.93, 0.5179999923706055)"
377419,LeftFoot,OpenPlay,SavedShot,0.11145444214344025,56,4,1,Matheus Cunha,7080,a,Hertha Berlin,Werder Bremen,Maximilian Mittelstädt,2020-09-19 13:30:00,14177,2020,"(0.8490000152587891, 0.575)"
377420,RightFoot,OpenPlay,Goal,0.06841034442186356,61,4,1,Matheus Cunha,7080,a,Hertha Berlin,Werder Bremen,Vladimir Darida,2020-09-19 13:30:00,14177,2020,"(0.8690000152587891, 0.6790000152587891)"
377432,RightFoot,OpenPlay,MissedShots,0.13003619015216827,88,4,1,Jhon Córdoba,48,a,Hertha Berlin,Werder Bremen,Arne Maier,2020-09-19 13:30:00,14177,2020,"(0.9209999847412109, 0.3)"
377416,RightFoot,DirectFreekick,MissedShots,0.022059127688407898,46,4,1,Matheus Cunha,7080,a,Hertha Berlin,Werder Bremen,,2020-09-19 13:30:00,14177,2020,"(0.6190000152587891, 0.6819999694824219)"
378565,RightFoot,OpenPlay,MissedShots,0.06864943355321884,64,1,3,Jhon Córdoba,48,h,Hertha Berlin,Eintracht Frankfurt,Dodi Lukebakio,2020-09-25 18:30:00,14182,2020,"(0.8730000305175781, 0.5409999847412109)"
378561,RightFoot,OpenPlay,SavedShot,0.009108408354222775,52,1,3,Lucas Tousart,3743,h,Hertha Berlin,Eintracht Frankfurt,,2020-09-25 18:30:00,14182,2020,"(0.715999984741211, 0.4809999847412109)"
378569,LeftFoot,OpenPlay,SavedShot,0.058267127722501755,80,1,3,Lucas Tousart,3743,h,Hertha Berlin,Eintracht Frankfurt,Dodi Lukebakio,2020-09-25 18:30:00,14182,2020,"(0.8980000305175782, 0.565)"
378572,RightFoot,SetPiece,MissedShots,0.01126815751194954,90,1,3,Lucas Tousart,3743,h,Hertha Berlin,Eintracht Frankfurt,,2020-09-25 18:30:00,14182,2020,"(0.725, 0.51)"
378556,LeftFoot,OpenPlay,SavedShot,0.42029422521591187,31,1,3,Dodi Lukebakio,5706,h,Hertha Berlin,Eintracht Frankfurt,Maximilian Mittelstädt,2020-09-25 18:30:00,14182,2020,"(0.8919999694824219, 0.4809999847412109)"
378562,Head,SetPiece,MissedShots,0.5252892971038818,57,1,3,Dodi Lukebakio,5706,h,Hertha Berlin,Eintracht Frankfurt,,2020-09-25 18:30:00,14182,2020,"(0.955999984741211, 0.514000015258789)"
378558,LeftFoot,SetPiece,MissedShots,0.008408618159592152,47,1,3,Maximilian Mittelstädt,419,h,Hertha Berlin,Eintracht Frankfurt,,2020-09-25 18:30:00,14182,2020,"(0.6840000152587891, 0.5790000152587891)"
378552,LeftFoot,OpenPlay,SavedShot,0.009729670360684395,15,1,3,Maximilian Mittelstädt,419,h,Hertha Berlin,Eintracht Frankfurt,,2020-09-25 18:30:00,14182,2020,"(0.6609999847412109, 0.6609999847412109)"
378570,Head,FromCorner,SavedShot,0.23903000354766846,87,1,3,Niklas Stark,418,h,Hertha Berlin,Eintracht Frankfurt,Maximilian Mittelstädt,2020-09-25 18:30:00,14182,2020,"(0.914000015258789, 0.44)"
378573,RightFoot,OpenPlay,SavedShot,0.017097732052206993,92,1,3,Matheus Cunha,7080,h,Hertha Berlin,Eintracht Frankfurt,Lucas Tousart,2020-09-25 18:30:00,14182,2020,"(0.795, 0.26799999237060546)"
378564,RightFoot,OpenPlay,BlockedShot,0.15655271708965302,61,1,3,Matheus Cunha,7080,h,Hertha Berlin,Eintracht Frankfurt,Jordan Torunarigha,2020-09-25 18:30:00,14182,2020,"(0.855, 0.5740000152587891)"
378563,LeftFoot,OpenPlay,BlockedShot,0.036245524883270264,61,1,3,Matheus Cunha,7080,h,Hertha Berlin,Eintracht Frankfurt,Lucas Tousart,2020-09-25 18:30:00,14182,2020,"(0.8430000305175781, 0.36400001525878906)"
381432,Head,OpenPlay,Goal,0.10012894123792648,87,3,4,Jessic Ngankam,8396,a,Hertha Berlin,Bayern Munich,Maximilian Mittelstädt,2020-10-04 16:00:00,15166,2020,"(0.9059999847412109, 0.485)"
381411,RightFoot,OpenPlay,MissedShots,0.047766223549842834,35,3,4,Matheus Cunha,7080,a,Hertha Berlin,Bayern Munich,,2020-10-04 16:00:00,15166,2020,"(0.805, 0.5029999923706054)"
