,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5829,Almeria,Espanyol,0.978788,0.399306,1,1,h,2014-08-23 22:00:00
5836,Almeria,Getafe,1.31079,1.31774,0,1,a,2014-08-29 19:00:00
5786,Almeria,Cordoba,1.03628,0.763656,1,1,h,2014-09-12 20:00:00
5801,Almeria,Real Sociedad,0.603236,1.67935,2,1,a,2014-09-21 11:00:00
5810,Almeria,Atletico Madrid,0.263228,1.689,0,1,h,2014-09-24 19:00:00
5823,Almeria,Deportivo La Coruna,0.72135,0.957268,1,0,a,2014-09-28 16:00:00
5758,Almeria,Elche,2.34067,0.511144,2,2,h,2014-10-04 21:00:00
5772,Almeria,Villarreal,0.336251,2.75077,0,2,a,2014-10-19 20:00:00
5775,Almeria,Athletic Club,0.310169,0.921626,0,1,h,2014-10-25 15:00:00
5722,Almeria,Levante,1.32208,1.46581,1,2,a,2014-11-02 18:00:00
5726,Almeria,Barcelona,0.710826,2.88307,1,2,h,2014-11-08 15:00:00
5744,Almeria,Granada,0.0493305,1.26093,0,0,a,2014-11-24 19:45:00
5686,Almeria,Rayo Vallecano,0.80016,1.25863,0,1,h,2014-12-01 19:45:00
5695,Almeria,Eibar,1.39683,1.57541,2,5,a,2014-12-08 16:00:00
5697,Almeria,Real Madrid,1.33389,1.25169,1,4,h,2014-12-12 19:45:00
5707,Almeria,Celta Vigo,1.36468,1.44921,1,0,a,2014-12-19 19:45:00
5646,Almeria,Malaga,1.38062,0.574598,2,1,a,2015-01-03 21:00:00
5657,Almeria,Sevilla,1.13032,1.07199,0,2,h,2015-01-11 11:00:00
5664,Almeria,Valencia,0.822402,2.23964,2,3,a,2015-01-17 17:00:00
5679,Almeria,Espanyol,0.300551,2.44178,0,3,a,2015-01-25 18:00:00
5603,Almeria,Getafe,1.93122,0.822826,1,0,h,2015-02-01 16:00:00
5613,Almeria,Cordoba,1.37273,1.02973,2,1,a,2015-02-08 11:00:00
5618,Almeria,Real Sociedad,1.1247,0.912368,2,2,h,2015-02-13 19:45:00
5631,Almeria,Atletico Madrid,0.331948,1.7792,0,3,a,2015-02-21 19:00:00
5641,Almeria,Deportivo La Coruna,0.385643,1.93328,0,0,h,2015-02-28 19:00:00
5574,Almeria,Elche,0.509389,1.87874,0,1,a,2015-03-07 19:00:00
5586,Almeria,Villarreal,1.3378,1.39493,0,0,h,2015-03-15 11:00:00
5595,Almeria,Athletic Club,0.341584,1.43356,1,2,a,2015-03-21 21:00:00
5508,Almeria,Levante,1.34021,2.45536,1,4,h,2015-04-04 19:00:00
5518,Almeria,Barcelona,0.267948,1.71657,0,4,a,2015-04-08 19:00:00
5528,Almeria,Granada,2.26761,1.66924,3,0,h,2015-04-11 21:00:00
5540,Almeria,Rayo Vallecano,0.372844,2.62824,0,2,a,2015-04-19 11:00:00
5551,Almeria,Eibar,1.6408,0.325557,2,0,h,2015-04-26 16:00:00
5559,Almeria,Real Madrid,0.248127,2.72518,0,3,a,2015-04-29 19:00:00
5474,Almeria,Celta Vigo,2.25388,0.998686,2,2,h,2015-05-04 19:45:00
5482,Almeria,Malaga,1.84645,2.14355,1,2,h,2015-05-10 18:00:00
5494,Almeria,Sevilla,1.19623,2.3833,1,2,a,2015-05-17 18:00:00
5500,Almeria,Valencia,1.38838,2.17387,2,3,h,2015-05-23 17:30:00
