,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
32556,RightFoot,OpenPlay,MissedShots,0.01528392918407917,5,1,1,Edgar Méndez,2088,h,Almeria,Espanyol,Verza,2014-08-23 22:00:00,5829,2014,"(0.725999984741211, 0.7709999847412109)"
32579,LeftFoot,OpenPlay,BlockedShot,0.023931564763188362,76,1,1,Sebastián Dubarbier,4043,h,Almeria,Espanyol,Thomas Partey,2014-08-23 22:00:00,5829,2014,"(0.7619999694824219, 0.705999984741211)"
32575,RightFoot,OpenPlay,MissedShots,0.06961169838905334,63,1,1,Míchel Macedo,4042,h,Almeria,Espanyol,Fernando Soriano,2014-08-23 22:00:00,5829,2014,"(0.850999984741211, 0.305)"
32566,RightFoot,OpenPlay,MissedShots,0.015655765309929848,30,1,1,Tomer Hemed,4046,h,Almeria,Espanyol,Verza,2014-08-23 22:00:00,5829,2014,"(0.6609999847412109, 0.3320000076293945)"
32571,LeftFoot,OpenPlay,MissedShots,0.29095518589019775,41,1,1,Tomer Hemed,4046,h,Almeria,Espanyol,Jonathan,2014-08-23 22:00:00,5829,2014,"(0.8469999694824218, 0.5709999847412109)"
32555,LeftFoot,OpenPlay,MissedShots,0.08143056929111481,3,1,1,Fernando Soriano,4048,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.915, 0.6040000152587891)"
32568,LeftFoot,OpenPlay,MissedShots,0.048148252069950104,33,1,1,Fernando Soriano,4048,h,Almeria,Espanyol,Verza,2014-08-23 22:00:00,5829,2014,"(0.9130000305175782, 0.6419999694824219)"
32569,Head,OpenPlay,SavedShot,0.018172400072216988,36,1,1,Fernando Soriano,4048,h,Almeria,Espanyol,Edgar Méndez,2014-08-23 22:00:00,5829,2014,"(0.8690000152587891, 0.49900001525878906)"
32573,RightFoot,OpenPlay,Goal,0.1049814373254776,51,1,1,Fernando Soriano,4048,h,Almeria,Espanyol,Edgar Méndez,2014-08-23 22:00:00,5829,2014,"(0.8730000305175781, 0.3820000076293945)"
32574,LeftFoot,FromCorner,BlockedShot,0.015387342311441898,58,1,1,Sebastián Dubarbier,4043,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.74, 0.6170000076293946)"
32559,RightFoot,FromCorner,BlockedShot,0.01734520122408867,16,1,1,Thomas Partey,2328,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.7530000305175781, 0.3990000152587891)"
32561,RightFoot,OpenPlay,SavedShot,0.06403769552707672,18,1,1,Jonathan,4050,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.8580000305175781, 0.34400001525878904)"
32562,RightFoot,OpenPlay,SavedShot,0.02283284068107605,22,1,1,Verza,2180,h,Almeria,Espanyol,Jonathan,2014-08-23 22:00:00,5829,2014,"(0.77, 0.3820000076293945)"
32557,RightFoot,FromCorner,SavedShot,0.06950363516807556,9,1,1,Mauro Dos Santos,2126,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.865999984741211, 0.55)"
32560,LeftFoot,FromCorner,BlockedShot,0.011564988642930984,17,1,1,Sebastián Dubarbier,4043,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.6709999847412109, 0.4829999923706055)"
32565,RightFoot,OpenPlay,BlockedShot,0.030688932165503502,28,1,1,Edgar Méndez,2088,h,Almeria,Espanyol,Fernando Soriano,2014-08-23 22:00:00,5829,2014,"(0.784000015258789, 0.595999984741211)"
32570,RightFoot,FromCorner,BlockedShot,0.04916366562247276,40,1,1,Edgar Méndez,2088,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.835, 0.5690000152587891)"
32572,RightFoot,SetPiece,SavedShot,0.017830824479460716,48,1,1,Edgar Méndez,2088,h,Almeria,Espanyol,,2014-08-23 22:00:00,5829,2014,"(0.775, 0.6120000076293945)"
32580,RightFoot,FromCorner,MissedShots,0.012262352742254734,78,1,1,Edgar Méndez,2088,h,Almeria,Espanyol,Tomer Hemed,2014-08-23 22:00:00,5829,2014,"(0.764000015258789, 0.5479999923706055)"
32638,RightFoot,OpenPlay,SavedShot,0.025905895978212357,20,0,1,Jonathan,4050,a,Almeria,Getafe,Tomer Hemed,2014-08-29 19:00:00,5836,2014,"(0.774000015258789, 0.3609999847412109)"
32640,LeftFoot,OpenPlay,MissedShots,0.3926270008087158,31,0,1,Edgar Méndez,2088,a,Almeria,Getafe,Jonathan,2014-08-29 19:00:00,5836,2014,"(0.905, 0.6020000076293945)"
32647,RightFoot,OpenPlay,BlockedShot,0.017156057059764862,57,0,1,Edgar Méndez,2088,a,Almeria,Getafe,Verza,2014-08-29 19:00:00,5836,2014,"(0.750999984741211, 0.71)"
32641,LeftFoot,OpenPlay,BlockedShot,0.04623742401599884,43,0,1,Fernando Soriano,4048,a,Almeria,Getafe,,2014-08-29 19:00:00,5836,2014,"(0.815, 0.5670000076293945)"
32648,Head,SetPiece,SavedShot,0.01270364224910736,62,0,1,Fernando Soriano,4048,a,Almeria,Getafe,Verza,2014-08-29 19:00:00,5836,2014,"(0.88, 0.555)"
32642,LeftFoot,FromCorner,SavedShot,0.07990525662899017,43,0,1,Jonathan,4050,a,Almeria,Getafe,Verza,2014-08-29 19:00:00,5836,2014,"(0.924000015258789, 0.5609999847412109)"
32649,RightFoot,OpenPlay,MissedShots,0.4095901846885681,63,0,1,Thievy,2554,a,Almeria,Getafe,,2014-08-29 19:00:00,5836,2014,"(0.9269999694824219, 0.605999984741211)"
32646,LeftFoot,OpenPlay,SavedShot,0.2815313935279846,51,0,1,Tomer Hemed,4046,a,Almeria,Getafe,Jonathan,2014-08-29 19:00:00,5836,2014,"(0.9130000305175782, 0.39299999237060546)"
32644,Head,OpenPlay,MissedShots,0.008495298214256763,46,0,1,Tomer Hemed,4046,a,Almeria,Getafe,Ximo Navarro,2014-08-29 19:00:00,5836,2014,"(0.845, 0.5670000076293945)"
32654,Head,OpenPlay,MissedShots,0.016562290489673615,86,0,1,Teerasil Dangda,4189,a,Almeria,Getafe,,2014-08-29 19:00:00,5836,2014,"(0.8219999694824218, 0.47400001525878904)"
32655,LeftFoot,OpenPlay,BlockedShot,0.02007695473730564,93,0,1,Sebastián Dubarbier,4043,a,Almeria,Getafe,,2014-08-29 19:00:00,5836,2014,"(0.750999984741211, 0.539000015258789)"
32867,RightFoot,OpenPlay,BlockedShot,0.019893476739525795,37,1,1,Thomas Partey,2328,h,Almeria,Cordoba,,2014-09-12 20:00:00,5786,2014,"(0.75, 0.5309999847412109)"
32876,Head,FromCorner,MissedShots,0.07738050818443298,74,1,1,Fernando Soriano,4048,h,Almeria,Cordoba,Verza,2014-09-12 20:00:00,5786,2014,"(0.9030000305175782, 0.5209999847412109)"
32875,Head,FromCorner,ShotOnPost,0.04764551669359207,72,1,1,Fernando Soriano,4048,h,Almeria,Cordoba,Verza,2014-09-12 20:00:00,5786,2014,"(0.895, 0.44)"
32864,RightFoot,OpenPlay,BlockedShot,0.11034173518419266,34,1,1,Fernando Soriano,4048,h,Almeria,Cordoba,,2014-09-12 20:00:00,5786,2014,"(0.9230000305175782, 0.4759999847412109)"
32872,RightFoot,FromCorner,BlockedShot,0.0647682175040245,51,1,1,Edgar Méndez,2088,h,Almeria,Cordoba,Wellington,2014-09-12 20:00:00,5786,2014,"(0.9330000305175781, 0.6329999923706054)"
32866,RightFoot,SetPiece,MissedShots,0.02480991743505001,36,1,1,Wellington,4047,h,Almeria,Cordoba,,2014-09-12 20:00:00,5786,2014,"(0.7909999847412109, 0.40599998474121096)"
32870,RightFoot,OpenPlay,MissedShots,0.026277806609869003,49,1,1,Thomas Partey,2328,h,Almeria,Cordoba,,2014-09-12 20:00:00,5786,2014,"(0.7659999847412109, 0.36700000762939455)"
32858,RightFoot,OpenPlay,Goal,0.06715845316648483,11,1,1,Edgar Méndez,2088,h,Almeria,Cordoba,Ximo Navarro,2014-09-12 20:00:00,5786,2014,"(0.91, 0.6090000152587891)"
32869,Head,OpenPlay,BlockedShot,0.04976353794336319,46,1,1,Tomer Hemed,4046,h,Almeria,Cordoba,Wellington,2014-09-12 20:00:00,5786,2014,"(0.8830000305175781, 0.46299999237060546)"
32857,LeftFoot,OpenPlay,MissedShots,0.14401765167713165,6,1,1,Tomer Hemed,4046,h,Almeria,Cordoba,Ángel Trujillo,2014-09-12 20:00:00,5786,2014,"(0.9630000305175781, 0.44299999237060544)"
32871,RightFoot,OpenPlay,SavedShot,0.3503967821598053,50,1,1,Tomer Hemed,4046,h,Almeria,Cordoba,Verza,2014-09-12 20:00:00,5786,2014,"(0.9380000305175781, 0.3659999847412109)"
32856,RightFoot,FromCorner,MissedShots,0.05382878705859184,6,1,1,Tomer Hemed,4046,h,Almeria,Cordoba,Verza,2014-09-12 20:00:00,5786,2014,"(0.885, 0.529000015258789)"
