,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5834,Cordoba,Real Madrid,0.37841,0.612645,0,2,a,2014-08-25 19:00:00
5838,Cordoba,Celta Vigo,0.241504,0.786352,1,1,h,2014-08-30 18:00:00
5786,Cordoba,Almeria,0.763656,1.03628,1,1,a,2014-09-12 20:00:00
5803,Cordoba,Sevilla,0.901931,2.64146,1,3,h,2014-09-21 18:00:00
5815,Cordoba,Valencia,0.116667,1.26428,0,3,a,2014-09-25 21:00:00
5825,Cordoba,Espanyol,0.137119,0.112527,0,0,h,2014-09-28 20:00:00
5754,Cordoba,Getafe,0.377042,1.4608,1,1,a,2014-10-03 20:00:00
5768,Cordoba,Malaga,0.395949,1.41292,1,2,h,2014-10-18 21:00:00
5778,Cordoba,Real Sociedad,2.09938,0.967731,1,1,h,2014-10-25 21:00:00
5717,Cordoba,Atletico Madrid,0.785648,1.77353,2,4,a,2014-11-01 17:00:00
5725,Cordoba,Deportivo La Coruna,1.22585,0.217729,0,0,h,2014-11-07 19:45:00
5742,Cordoba,Elche,0.941968,2.11064,2,2,a,2014-11-23 18:00:00
5752,Cordoba,Villarreal,0.541323,0.84254,0,2,h,2014-11-30 18:00:00
5688,Cordoba,Athletic Club,1.1939,0.611024,1,0,a,2014-12-06 17:00:00
5700,Cordoba,Levante,0.806315,0.603413,0,0,h,2014-12-13 19:00:00
5708,Cordoba,Barcelona,0.29662,2.59358,0,5,a,2014-12-20 15:00:00
5651,Cordoba,Granada,0.980041,0.501211,2,0,h,2015-01-05 19:45:00
5661,Cordoba,Rayo Vallecano,0.573866,1.78825,1,0,a,2015-01-12 19:45:00
5662,Cordoba,Eibar,1.11225,0.290839,1,1,h,2015-01-16 19:45:00
5672,Cordoba,Real Madrid,1.63834,1.99717,1,2,h,2015-01-24 15:00:00
5601,Cordoba,Celta Vigo,0.402388,2.59613,0,1,a,2015-01-31 21:00:00
5613,Cordoba,Almeria,1.02973,1.37273,1,2,h,2015-02-08 11:00:00
5619,Cordoba,Sevilla,0.320386,2.40554,0,3,a,2015-02-14 15:00:00
5630,Cordoba,Valencia,1.08496,1.89163,1,2,h,2015-02-21 17:00:00
5638,Cordoba,Espanyol,1.14225,0.579128,0,1,a,2015-02-27 19:45:00
5580,Cordoba,Getafe,1.134,0.757081,1,2,h,2015-03-09 19:45:00
5587,Cordoba,Malaga,0.926039,1.64345,0,2,a,2015-03-15 16:00:00
5599,Cordoba,Real Sociedad,0.6619,1.48367,1,3,a,2015-03-22 18:00:00
5507,Cordoba,Atletico Madrid,0.477035,1.18641,0,2,h,2015-04-04 17:00:00
5519,Cordoba,Deportivo La Coruna,1.36851,0.469966,1,1,a,2015-04-08 19:00:00
5533,Cordoba,Elche,1.00055,1.18169,0,2,h,2015-04-12 20:00:00
5542,Cordoba,Villarreal,0.270253,2.31812,0,0,a,2015-04-19 18:00:00
5545,Cordoba,Athletic Club,2.18715,1.4308,0,1,h,2015-04-24 19:45:00
5557,Cordoba,Levante,0.223601,1.16982,0,1,a,2015-04-28 21:00:00
5466,Cordoba,Barcelona,0.433609,6.18696,0,8,h,2015-05-02 15:00:00
5476,Cordoba,Granada,0.0979845,3.14933,0,2,a,2015-05-09 15:00:00
5490,Cordoba,Rayo Vallecano,1.05152,2.20767,1,2,h,2015-05-17 18:00:00
5502,Cordoba,Eibar,0.44487,1.68473,0,3,a,2015-05-23 17:30:00
