,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
32543,Head,FromCorner,MissedShots,0.08805857598781586,43,0,2,Mike Havenaar,4223,a,Cordoba,Real Madrid,Fausto Rossi,2014-08-25 19:00:00,5834,2014,"(0.9490000152587891, 0.505)"
32533,RightFoot,OpenPlay,MissedShots,0.061059072613716125,6,0,2,Mike Havenaar,4223,a,Cordoba,Real Madrid,,2014-08-25 19:00:00,5834,2014,"(0.8380000305175781, 0.32)"
32541,RightFoot,OpenPlay,MissedShots,0.012521651573479176,33,0,2,López Silva,4153,a,Cordoba,Real Madrid,Mike Havenaar,2014-08-25 19:00:00,5834,2014,"(0.7290000152587891, 0.4279999923706055)"
32553,LeftFoot,OpenPlay,MissedShots,0.021464796736836433,91,0,2,Fidel,4146,a,Cordoba,Real Madrid,,2014-08-25 19:00:00,5834,2014,"(0.825, 0.595999984741211)"
32549,LeftFoot,OpenPlay,SavedShot,0.029750894755125046,69,0,2,Fidel,4146,a,Cordoba,Real Madrid,Fausto Rossi,2014-08-25 19:00:00,5834,2014,"(0.8830000305175781, 0.7340000152587891)"
32548,RightFoot,FromCorner,MissedShots,0.08711492270231247,69,0,2,Aleksandar Pantic,2137,a,Cordoba,Real Madrid,Xisco,2014-08-25 19:00:00,5834,2014,"(0.9169999694824219, 0.59)"
32545,RightFoot,OpenPlay,SavedShot,0.05895001441240311,48,0,2,Ryder Matos,1153,a,Cordoba,Real Madrid,,2014-08-25 19:00:00,5834,2014,"(0.860999984741211, 0.6680000305175782)"
32544,Head,FromCorner,MissedShots,0.019490504637360573,47,0,2,Aleksandar Pantic,2137,a,Cordoba,Real Madrid,Fausto Rossi,2014-08-25 19:00:00,5834,2014,"(0.9569999694824218, 0.6020000076293945)"
32662,LeftFoot,OpenPlay,MissedShots,0.011418519541621208,35,1,1,Fede Cartabia,2318,h,Cordoba,Celta Vigo,,2014-08-30 18:00:00,5838,2014,"(0.7719999694824219, 0.2520000076293945)"
32666,RightFoot,OpenPlay,BlockedShot,0.022425245493650436,53,1,1,Borja,4070,h,Cordoba,Celta Vigo,López Silva,2014-08-30 18:00:00,5838,2014,"(0.8080000305175781, 0.7380000305175781)"
32668,RightFoot,OpenPlay,BlockedShot,0.04929554834961891,61,1,1,Borja,4070,h,Cordoba,Celta Vigo,Fede Cartabia,2014-08-30 18:00:00,5838,2014,"(0.855, 0.6680000305175782)"
32656,LeftFoot,OpenPlay,MissedShots,0.017273947596549988,2,1,1,Fede Cartabia,2318,h,Cordoba,Celta Vigo,Adrián Gunino,2014-08-30 18:00:00,5838,2014,"(0.7390000152587891, 0.24399999618530274)"
32667,LeftFoot,OpenPlay,Goal,0.06970252841711044,59,1,1,Fede Cartabia,2318,h,Cordoba,Celta Vigo,,2014-08-30 18:00:00,5838,2014,"(0.8859999847412109, 0.41900001525878905)"
32661,Head,SetPiece,MissedShots,0.0713885948061943,22,1,1,Íñigo López,4071,h,Cordoba,Celta Vigo,Fede Cartabia,2014-08-30 18:00:00,5838,2014,"(0.909000015258789, 0.4129999923706055)"
