,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5832,Getafe,Celta Vigo,0.673965,1.91721,1,3,a,2014-08-24 20:00:00
5836,Getafe,Almeria,1.31774,1.31079,1,0,h,2014-08-29 19:00:00
5793,Getafe,Sevilla,0.30148,2.03978,0,2,a,2014-09-14 18:00:00
5805,Getafe,Valencia,0.23474,1.54259,0,3,h,2014-09-22 19:45:00
5814,Getafe,Espanyol,0.40196,2.09364,0,2,a,2014-09-25 19:00:00
5822,Getafe,Malaga,0.704397,0.619457,1,0,h,2014-09-28 11:00:00
5754,Getafe,Cordoba,1.4608,0.377042,1,1,h,2014-10-03 20:00:00
5773,Getafe,Real Sociedad,1.19816,1.29417,2,1,a,2014-10-20 19:45:00
5783,Getafe,Atletico Madrid,0.42457,1.57745,0,1,h,2014-10-26 20:00:00
5784,Getafe,Deportivo La Coruna,1.5836,0.760639,2,1,a,2014-10-31 19:45:00
5727,Getafe,Elche,0.701376,0.891117,0,0,h,2014-11-08 17:00:00
5743,Getafe,Villarreal,0.580139,0.655779,1,2,a,2014-11-23 20:00:00
5746,Getafe,Athletic Club,0.704685,0.518302,1,2,h,2014-11-29 15:00:00
5696,Getafe,Levante,0.24465,1.1169,1,1,a,2014-12-08 18:00:00
5698,Getafe,Barcelona,0.11349,1.87156,0,0,h,2014-12-13 15:00:00
5713,Getafe,Granada,0.923894,1.52366,1,1,a,2014-12-21 16:00:00
5647,Getafe,Rayo Vallecano,0.518609,2.5901,1,2,h,2015-01-04 11:00:00
5656,Getafe,Eibar,0.273647,0.857562,1,2,a,2015-01-10 21:00:00
5667,Getafe,Real Madrid,0.544312,2.41204,0,3,h,2015-01-18 11:00:00
5681,Getafe,Celta Vigo,2.05397,0.47185,2,1,h,2015-01-26 19:45:00
5603,Getafe,Almeria,0.822826,1.93122,0,1,a,2015-02-01 16:00:00
5614,Getafe,Sevilla,3.04719,0.401739,2,1,h,2015-02-08 16:00:00
5623,Getafe,Valencia,0.649505,2.14598,0,1,a,2015-02-15 11:00:00
5628,Getafe,Espanyol,1.43242,0.705886,2,1,h,2015-02-20 19:45:00
5565,Getafe,Malaga,2.02132,1.61726,2,3,a,2015-02-28 21:00:00
5580,Getafe,Cordoba,0.757081,1.134,2,1,a,2015-03-09 19:45:00
5590,Getafe,Real Sociedad,1.18559,0.440657,0,1,h,2015-03-16 19:45:00
5592,Getafe,Atletico Madrid,0.255093,2.09938,0,2,a,2015-03-21 15:00:00
5512,Getafe,Deportivo La Coruna,1.29359,1.16571,2,1,h,2015-04-05 18:00:00
5523,Getafe,Elche,1.01048,0.552753,1,0,a,2015-04-09 21:00:00
5530,Getafe,Villarreal,1.41544,1.11289,1,1,h,2015-04-12 11:00:00
5539,Getafe,Athletic Club,0.0426725,4.04338,0,4,a,2015-04-18 21:00:00
5548,Getafe,Levante,0.827697,0.371997,0,1,h,2015-04-25 19:00:00
5555,Getafe,Barcelona,0.576588,2.78449,0,6,a,2015-04-28 19:00:00
5471,Getafe,Granada,0.783329,1.73377,1,2,h,2015-05-03 16:00:00
5484,Getafe,Rayo Vallecano,0.866413,1.40202,0,2,a,2015-05-11 19:45:00
5491,Getafe,Eibar,1.04185,0.454082,1,1,h,2015-05-17 18:00:00
5504,Getafe,Real Madrid,0.979312,3.13453,3,7,a,2015-05-23 19:30:00
