,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5826,Malaga,Athletic Club,1.32107,1.14151,1,0,h,2014-08-23 18:00:00
5837,Malaga,Valencia,1.13196,1.96863,0,3,a,2014-08-29 21:00:00
5788,Malaga,Levante,0.819725,0.358265,0,0,h,2014-09-13 17:00:00
5800,Malaga,Espanyol,0.446347,2.76188,2,2,a,2014-09-20 21:00:00
5813,Malaga,Barcelona,0.278657,0.646364,0,0,h,2014-09-24 21:00:00
5822,Malaga,Getafe,0.619457,0.704397,0,1,a,2014-09-28 11:00:00
5759,Malaga,Granada,2.2003,0.851565,2,1,h,2014-10-04 21:00:00
5768,Malaga,Cordoba,1.41292,0.395949,2,1,a,2014-10-18 21:00:00
5780,Malaga,Rayo Vallecano,3.90394,0.395055,4,0,h,2014-10-26 11:00:00
5719,Malaga,Real Sociedad,1.46771,0.112869,1,0,a,2014-11-01 21:00:00
5729,Malaga,Eibar,2.15625,0.783082,2,1,h,2014-11-08 21:00:00
5736,Malaga,Atletico Madrid,0.172228,2.30452,1,3,a,2014-11-22 15:00:00
5748,Malaga,Real Madrid,1.16042,4.15129,1,2,h,2014-11-29 19:00:00
5690,Malaga,Deportivo La Coruna,0.375388,2.64447,1,0,a,2014-12-06 21:00:00
5701,Malaga,Celta Vigo,1.10137,1.10271,1,0,h,2014-12-13 21:00:00
5714,Malaga,Elche,1.43511,0.508293,2,1,a,2014-12-21 18:00:00
5646,Malaga,Almeria,0.574598,1.38062,1,2,h,2015-01-03 21:00:00
5654,Malaga,Villarreal,0.496312,0.732696,1,1,h,2015-01-10 17:00:00
5671,Malaga,Sevilla,0.364,1.94535,0,2,a,2015-01-18 20:00:00
5678,Malaga,Athletic Club,1.25659,0.959466,1,1,a,2015-01-25 16:00:00
5606,Malaga,Valencia,1.68775,0.656199,1,0,h,2015-02-02 19:45:00
5611,Malaga,Levante,0.44907,3.08668,1,4,a,2015-02-07 19:00:00
5622,Malaga,Espanyol,1.56057,0.6984,0,2,h,2015-02-14 21:00:00
5629,Malaga,Barcelona,1.63942,1.22195,1,0,a,2015-02-21 15:00:00
5565,Malaga,Getafe,1.61726,2.02132,3,2,h,2015-02-28 21:00:00
5575,Malaga,Granada,0.108569,1.48614,0,1,a,2015-03-07 21:00:00
5587,Malaga,Cordoba,1.64345,0.926039,2,0,h,2015-03-15 16:00:00
5593,Malaga,Rayo Vallecano,0.787002,0.578125,0,1,a,2015-03-21 17:00:00
5509,Malaga,Real Sociedad,1.94239,0.432609,1,1,h,2015-04-04 21:00:00
5517,Malaga,Eibar,0.428638,0.790085,0,1,a,2015-04-07 21:00:00
5526,Malaga,Atletico Madrid,0.670229,2.52542,2,2,h,2015-04-11 17:00:00
5538,Malaga,Real Madrid,1.04346,3.03655,1,3,a,2015-04-18 19:00:00
5550,Malaga,Deportivo La Coruna,1.32081,1.16186,1,1,h,2015-04-26 11:00:00
5560,Malaga,Celta Vigo,1.16202,2.42446,0,1,a,2015-04-29 19:00:00
5473,Malaga,Elche,3.77025,1.57961,1,2,h,2015-05-03 20:00:00
5482,Malaga,Almeria,2.14355,1.84645,2,1,a,2015-05-10 18:00:00
5485,Malaga,Villarreal,0.853222,1.15862,1,2,a,2015-05-17 18:00:00
5499,Malaga,Sevilla,0.698996,2.65132,2,3,h,2015-05-23 17:30:00
