,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
32433,LeftFoot,OpenPlay,MissedShots,0.06835956126451492,82,1,0,Samu García,2300,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.8159999847412109, 0.5370000076293945)"
32414,RightFoot,OpenPlay,BlockedShot,0.11595191061496735,16,1,0,Juanmi,897,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.9530000305175781, 0.4370000076293945)"
32425,Head,OpenPlay,BlockedShot,0.019713765010237694,55,1,0,Juanmi,897,h,Malaga,Athletic Club,Ricardo Horta,2014-08-23 18:00:00,5826,2014,"(0.8669999694824219, 0.45299999237060545)"
32412,RightFoot,OpenPlay,MissedShots,0.022562433034181595,10,1,0,Sergi Darder,2621,h,Malaga,Athletic Club,Ricardo Horta,2014-08-23 18:00:00,5826,2014,"(0.765, 0.38)"
32418,RightFoot,OpenPlay,MissedShots,0.03485528752207756,29,1,0,Ricardo Horta,2338,h,Malaga,Athletic Club,Luis Alberto,2014-08-23 18:00:00,5826,2014,"(0.8319999694824218, 0.69)"
32416,RightFoot,OpenPlay,MissedShots,0.027692485600709915,18,1,0,Ricardo Horta,2338,h,Malaga,Athletic Club,Juanmi,2014-08-23 18:00:00,5826,2014,"(0.875999984741211, 0.2520000076293945)"
32415,RightFoot,FromCorner,BlockedShot,0.012672938406467438,17,1,0,Ricardo Horta,2338,h,Malaga,Athletic Club,Roque Santa Cruz,2014-08-23 18:00:00,5826,2014,"(0.805, 0.725)"
32420,RightFoot,SetPiece,Goal,0.544259786605835,34,1,0,Luis Alberto,1219,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.9169999694824219, 0.48700000762939455)"
32430,RightFoot,DirectFreekick,SavedShot,0.08890080451965332,69,1,0,Ricardo Horta,2338,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.795, 0.6530000305175782)"
32422,RightFoot,OpenPlay,MissedShots,0.02741336263716221,47,1,0,Luis Alberto,1219,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.855999984741211, 0.8069999694824219)"
32428,LeftFoot,OpenPlay,BlockedShot,0.01995057985186577,65,1,0,Roberto Rosales,2331,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.75, 0.3370000076293945)"
32419,RightFoot,Penalty,SavedShot,0.7432776093482971,34,1,0,Luis Alberto,1219,h,Malaga,Athletic Club,,2014-08-23 18:00:00,5826,2014,"(0.885, 0.5)"
32597,LeftFoot,FromCorner,BlockedShot,0.01308046281337738,32,0,3,Arthur Boka,2439,a,Malaga,Valencia,Luis Alberto,2014-08-29 21:00:00,5837,2014,"(0.7719999694824219, 0.7090000152587891)"
32615,LeftFoot,DirectFreekick,BlockedShot,0.04362638294696808,92,0,3,Juanpi,2343,a,Malaga,Valencia,,2014-08-29 21:00:00,5837,2014,"(0.7090000152587891, 0.3990000152587891)"
32604,LeftFoot,OpenPlay,SavedShot,0.35328391194343567,66,0,3,Samu Castillejo,2303,a,Malaga,Valencia,,2014-08-29 21:00:00,5837,2014,"(0.9069999694824219, 0.5770000076293945)"
32607,Head,SetPiece,MissedShots,0.028958626091480255,71,0,3,Samu Castillejo,2303,a,Malaga,Valencia,,2014-08-29 21:00:00,5837,2014,"(0.9030000305175782, 0.43099998474121093)"
32589,RightFoot,OpenPlay,SavedShot,0.032477378845214844,20,0,3,Juanmi,897,a,Malaga,Valencia,Roberto Rosales,2014-08-29 21:00:00,5837,2014,"(0.8290000152587891, 0.6680000305175782)"
32594,RightFoot,OpenPlay,SavedShot,0.11068931221961975,24,0,3,Juanmi,897,a,Malaga,Valencia,Luis Alberto,2014-08-29 21:00:00,5837,2014,"(0.879000015258789, 0.31799999237060544)"
32605,Head,FromCorner,MissedShots,0.06898506730794907,66,0,3,Roque Santa Cruz,2341,a,Malaga,Valencia,Luis Alberto,2014-08-29 21:00:00,5837,2014,"(0.985999984741211, 0.4179999923706055)"
32590,RightFoot,OpenPlay,MissedShots,0.14358459413051605,20,0,3,Roque Santa Cruz,2341,a,Malaga,Valencia,Juanmi,2014-08-29 21:00:00,5837,2014,"(0.9780000305175781, 0.56)"
32596,RightFoot,OpenPlay,SavedShot,0.04434763267636299,32,0,3,Ricardo Horta,2338,a,Malaga,Valencia,Luis Alberto,2014-08-29 21:00:00,5837,2014,"(0.8469999694824218, 0.6909999847412109)"
32591,RightFoot,OpenPlay,MissedShots,0.05613720417022705,22,0,3,Ricardo Horta,2338,a,Malaga,Valencia,Sergi Darder,2014-08-29 21:00:00,5837,2014,"(0.9380000305175781, 0.32099998474121094)"
32592,RightFoot,OpenPlay,BlockedShot,0.015509639866650105,22,0,3,Ricardo Horta,2338,a,Malaga,Valencia,,2014-08-29 21:00:00,5837,2014,"(0.745, 0.325)"
32612,Head,OpenPlay,MissedShots,0.05650322139263153,85,0,3,Samu Castillejo,2303,a,Malaga,Valencia,Samu García,2014-08-29 21:00:00,5837,2014,"(0.9230000305175782, 0.5670000076293945)"
