,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5827,Valencia,Sevilla,1.74903,1.17197,1,1,a,2014-08-23 20:00:00
5837,Valencia,Malaga,1.96863,1.13196,3,0,h,2014-08-29 21:00:00
5792,Valencia,Espanyol,1.86199,1.09215,3,1,h,2014-09-14 16:00:00
5805,Valencia,Getafe,1.54259,0.23474,3,0,a,2014-09-22 19:45:00
5815,Valencia,Cordoba,1.26428,0.116667,3,0,h,2014-09-25 21:00:00
5824,Valencia,Real Sociedad,0.554817,0.762877,1,1,a,2014-09-28 18:00:00
5755,Valencia,Atletico Madrid,1.01863,1.68827,3,1,h,2014-10-04 15:00:00
5770,Valencia,Deportivo La Coruna,0.56407,0.994809,0,3,a,2014-10-19 16:00:00
5777,Valencia,Elche,1.18501,0.498984,3,1,h,2014-10-25 19:00:00
5721,Valencia,Villarreal,0.339474,0.95333,3,1,a,2014-11-02 16:00:00
5733,Valencia,Athletic Club,0.766329,0.767828,0,0,h,2014-11-09 18:00:00
5741,Valencia,Levante,1.48232,1.0788,1,2,a,2014-11-23 16:00:00
5753,Valencia,Barcelona,1.14991,1.95194,0,1,h,2014-11-30 20:00:00
5694,Valencia,Granada,0.651538,1.1801,1,1,a,2014-12-07 20:00:00
5699,Valencia,Rayo Vallecano,3.01549,0.603533,3,0,h,2014-12-13 17:00:00
5710,Valencia,Eibar,1.49491,0.321199,1,0,a,2014-12-20 19:00:00
5648,Valencia,Real Madrid,0.708983,2.63452,2,1,h,2015-01-04 16:00:00
5655,Valencia,Celta Vigo,0.29812,2.22601,1,1,a,2015-01-10 19:00:00
5664,Valencia,Almeria,2.23964,0.822402,3,2,h,2015-01-17 17:00:00
5680,Valencia,Sevilla,2.66487,1.97883,3,1,h,2015-01-25 20:00:00
5606,Valencia,Malaga,0.656199,1.68775,0,1,a,2015-02-02 19:45:00
5615,Valencia,Espanyol,1.49482,1.57927,2,1,a,2015-02-08 18:00:00
5623,Valencia,Getafe,2.14598,0.649505,1,0,h,2015-02-15 11:00:00
5630,Valencia,Cordoba,1.89163,1.08496,2,1,a,2015-02-21 17:00:00
5566,Valencia,Real Sociedad,1.34535,0.377908,2,0,h,2015-03-01 11:00:00
5579,Valencia,Atletico Madrid,0.555779,0.985146,1,1,a,2015-03-08 20:00:00
5581,Valencia,Deportivo La Coruna,2.87108,0.181554,2,0,h,2015-03-13 19:45:00
5591,Valencia,Elche,2.37545,0.247285,4,0,a,2015-03-20 19:45:00
5511,Valencia,Villarreal,1.26916,0.278552,0,0,h,2015-04-05 16:00:00
5522,Valencia,Athletic Club,1.12945,1.30831,1,1,a,2015-04-09 19:00:00
5534,Valencia,Levante,0.822921,0.341912,3,0,h,2015-04-13 19:30:00
5536,Valencia,Barcelona,1.3841,2.05137,0,2,a,2015-04-18 15:00:00
5554,Valencia,Granada,1.9701,0.209664,4,0,h,2015-04-27 19:45:00
5563,Valencia,Rayo Vallecano,1.25767,0.486759,1,1,a,2015-04-30 19:00:00
5472,Valencia,Eibar,1.40783,0.996269,3,1,h,2015-05-03 18:00:00
5478,Valencia,Real Madrid,1.59908,2.73249,2,2,a,2015-05-09 19:00:00
5493,Valencia,Celta Vigo,2.1914,0.594569,1,1,h,2015-05-17 18:00:00
5500,Valencia,Almeria,2.17387,1.38838,3,2,a,2015-05-23 17:30:00
