,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1400,Deportivo La Coruna,Real Sociedad,0.574748,0.944878,0,0,h,2015-08-22 20:30:00
1416,Deportivo La Coruna,Valencia,0.818281,1.85572,1,1,a,2015-08-30 22:30:00
1428,Deportivo La Coruna,Rayo Vallecano,2.11613,0.61631,3,1,a,2015-09-14 22:30:00
1435,Deportivo La Coruna,Sporting Gijon,0.831861,1.62405,2,3,h,2015-09-20 18:00:00
1448,Deportivo La Coruna,Real Betis,0.264158,1.11886,2,1,a,2015-09-25 00:05:00
1456,Deportivo La Coruna,Espanyol,1.89137,0.259334,3,0,h,2015-09-27 18:00:00
1461,Deportivo La Coruna,Granada,0.942041,0.825643,1,1,a,2015-10-03 20:15:00
1477,Deportivo La Coruna,Athletic Club,1.24801,0.676596,2,2,h,2015-10-18 22:30:00
1483,Deportivo La Coruna,Malaga,0.766533,1.06014,0,2,a,2015-10-25 00:05:00
1489,Deportivo La Coruna,Atletico Madrid,0.917497,1.43617,1,1,h,2015-10-30 23:30:00
1501,Deportivo La Coruna,Levante,0.572246,0.822146,1,1,a,2015-11-07 21:15:00
1513,Deportivo La Coruna,Celta Vigo,1.02848,0.886052,2,0,h,2015-11-22 01:05:00
1523,Deportivo La Coruna,Las Palmas,2.20767,0.349655,2,0,a,2015-11-29 01:00:00
1532,Deportivo La Coruna,Sevilla,0.64324,1.09296,1,1,h,2015-12-06 01:00:00
1540,Deportivo La Coruna,Barcelona,1.22055,0.873385,2,2,a,2015-12-12 19:00:00
1552,Deportivo La Coruna,Eibar,1.60925,0.462565,2,0,h,2015-12-20 01:05:00
1563,Deportivo La Coruna,Getafe,0.584931,0.742286,0,0,a,2015-12-30 23:30:00
1575,Deportivo La Coruna,Villarreal,1.15796,1.55208,1,2,h,2016-01-03 21:15:00
1581,Deportivo La Coruna,Real Madrid,0.989088,3.52924,0,5,a,2016-01-09 23:30:00
1591,Deportivo La Coruna,Real Sociedad,1.06682,2.75948,1,1,a,2016-01-17 01:05:00
1605,Deportivo La Coruna,Valencia,1.05958,1.30721,1,1,h,2016-01-24 21:15:00
1617,Deportivo La Coruna,Rayo Vallecano,1.42948,1.13142,2,2,h,2016-02-01 23:30:00
1622,Deportivo La Coruna,Sporting Gijon,0.227944,0.666281,1,1,a,2016-02-07 01:05:00
1632,Deportivo La Coruna,Real Betis,3.22944,0.598716,2,2,h,2016-02-14 01:05:00
1641,Deportivo La Coruna,Espanyol,0.995453,3.34615,0,1,a,2016-02-20 21:15:00
1657,Deportivo La Coruna,Granada,0.822359,1.84198,0,1,h,2016-02-28 21:15:00
1664,Deportivo La Coruna,Athletic Club,0.875636,2.7862,1,4,a,2016-03-02 23:00:00
1672,Deportivo La Coruna,Malaga,3.50017,0.990845,3,3,h,2016-03-06 01:05:00
1682,Deportivo La Coruna,Atletico Madrid,0.292134,1.30692,0,3,a,2016-03-12 23:30:00
1693,Deportivo La Coruna,Levante,1.76797,0.632769,2,1,h,2016-03-19 23:30:00
1703,Deportivo La Coruna,Celta Vigo,0.864408,0.36047,1,1,a,2016-04-03 00:05:00
1718,Deportivo La Coruna,Las Palmas,2.30191,1.63213,1,3,h,2016-04-11 22:30:00
1725,Deportivo La Coruna,Sevilla,0.699714,2.00121,1,1,a,2016-04-17 18:00:00
1731,Deportivo La Coruna,Barcelona,2.19692,5.76112,0,8,h,2016-04-20 22:00:00
1743,Deportivo La Coruna,Eibar,0.323346,0.950821,1,1,a,2016-04-24 00:05:00
1756,Deportivo La Coruna,Getafe,0.669729,0.961273,0,2,h,2016-05-01 20:15:00
1763,Deportivo La Coruna,Villarreal,0.388761,0.701392,2,0,a,2016-05-08 19:00:00
1770,Deportivo La Coruna,Real Madrid,0.651269,1.90958,0,2,h,2016-05-14 19:00:00
