,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
84013,RightFoot,FromCorner,BlockedShot,0.028285346925258636,71,0,1,Javi Castellano,2622,a,Las Palmas,Atletico Madrid,,2015-08-22 22:30:00,1402,2015,"(0.7930000305175782, 0.6840000152587891)"
84014,OtherBodyPart,FromCorner,SavedShot,0.04945670813322067,71,0,1,Aythami,2461,a,Las Palmas,Atletico Madrid,Jonathan Viera,2015-08-22 22:30:00,1402,2015,"(0.9369999694824219, 0.575)"
84017,Head,FromCorner,MissedShots,0.13200552761554718,82,0,1,Aythami,2461,a,Las Palmas,Atletico Madrid,Jonathan Viera,2015-08-22 22:30:00,1402,2015,"(0.95, 0.46599998474121096)"
84006,RightFoot,OpenPlay,MissedShots,0.01109861209988594,48,0,1,Dani Castellano,2355,a,Las Palmas,Atletico Madrid,Antolin Alcaraz,2015-08-22 22:30:00,1402,2015,"(0.7269999694824218, 0.62)"
84011,Head,FromCorner,BlockedShot,0.1183929368853569,70,0,1,Pedro Bigas,2353,a,Las Palmas,Atletico Madrid,Momo,2015-08-22 22:30:00,1402,2015,"(0.9259999847412109, 0.519000015258789)"
84001,RightFoot,OpenPlay,MissedShots,0.009341441094875336,24,0,1,Roque Mesa,2356,a,Las Palmas,Atletico Madrid,,2015-08-22 22:30:00,1402,2015,"(0.6809999847412109, 0.41200000762939454)"
84008,Head,SetPiece,ShotOnPost,0.1485382616519928,57,0,1,David Simón,2364,a,Las Palmas,Atletico Madrid,Jonathan Viera,2015-08-22 22:30:00,1402,2015,"(0.965999984741211, 0.39799999237060546)"
84012,LeftFoot,FromCorner,BlockedShot,0.026135466992855072,71,0,1,Sergio Araujo,2365,a,Las Palmas,Atletico Madrid,,2015-08-22 22:30:00,1402,2015,"(0.8430000305175781, 0.6329999923706054)"
84234,LeftFoot,OpenPlay,BlockedShot,0.024564936757087708,3,0,0,Roque Mesa,2356,h,Las Palmas,Levante,Juan Emmanuel Culio,2015-08-31 00:30:00,1418,2015,"(0.759000015258789, 0.40900001525878904)"
84242,RightFoot,OpenPlay,BlockedShot,0.014913481660187244,47,0,0,Hernán,2429,h,Las Palmas,Levante,,2015-08-31 00:30:00,1418,2015,"(0.7169999694824218, 0.5570000076293945)"
84249,RightFoot,OpenPlay,SavedShot,0.029281403869390488,82,0,0,Hernán,2429,h,Las Palmas,Levante,Pedro Bigas,2015-08-31 00:30:00,1418,2015,"(0.785, 0.3220000076293945)"
84240,LeftFoot,OpenPlay,MissedShots,0.09224656969308853,36,0,0,Roque Mesa,2356,h,Las Palmas,Levante,,2015-08-31 00:30:00,1418,2015,"(0.865, 0.52)"
84243,RightFoot,SetPiece,MissedShots,0.019944148138165474,50,0,0,Roque Mesa,2356,h,Las Palmas,Levante,,2015-08-31 00:30:00,1418,2015,"(0.7959999847412109, 0.34799999237060547)"
84247,RightFoot,OpenPlay,MissedShots,0.020516207441687584,71,0,0,Roque Mesa,2356,h,Las Palmas,Levante,Juan Emmanuel Culio,2015-08-31 00:30:00,1418,2015,"(0.7269999694824218, 0.3629999923706055)"
84237,RightFoot,OpenPlay,MissedShots,0.018760932609438896,32,0,0,Jonathan Viera,2358,h,Las Palmas,Levante,Juan Emmanuel Culio,2015-08-31 00:30:00,1418,2015,"(0.740999984741211, 0.66)"
84239,RightFoot,OpenPlay,BlockedShot,0.057349059730768204,36,0,0,Jonathan Viera,2358,h,Las Palmas,Levante,Dani Castellano,2015-08-31 00:30:00,1418,2015,"(0.8690000152587891, 0.7130000305175781)"
84248,LeftFoot,SetPiece,MissedShots,0.010937024839222431,79,0,0,Juan Emmanuel Culio,2552,h,Las Palmas,Levante,,2015-08-31 00:30:00,1418,2015,"(0.730999984741211, 0.6179999923706054)"
84244,LeftFoot,OpenPlay,MissedShots,0.07244396209716797,51,0,0,Juan Emmanuel Culio,2552,h,Las Palmas,Levante,Jonathan Viera,2015-08-31 00:30:00,1418,2015,"(0.8730000305175781, 0.6359999847412109)"
84246,Head,SetPiece,MissedShots,0.29645976424217224,68,0,0,Aythami,2461,h,Las Palmas,Levante,Juan Emmanuel Culio,2015-08-31 00:30:00,1418,2015,"(0.970999984741211, 0.49900001525878906)"
84251,RightFoot,OpenPlay,MissedShots,0.01789064332842827,91,0,0,Sergio Araujo,2365,h,Las Palmas,Levante,,2015-08-31 00:30:00,1418,2015,"(0.799000015258789, 0.4929999923706055)"
84250,RightFoot,OpenPlay,BlockedShot,0.05491318553686142,87,0,0,Sergio Araujo,2365,h,Las Palmas,Levante,Willian José,2015-08-31 00:30:00,1418,2015,"(0.874000015258789, 0.3129999923706055)"
84241,LeftFoot,OpenPlay,MissedShots,0.024338483810424805,37,0,0,Sergio Araujo,2365,h,Las Palmas,Levante,Jonathan Viera,2015-08-31 00:30:00,1418,2015,"(0.7609999847412109, 0.639000015258789)"
84238,RightFoot,OpenPlay,MissedShots,0.017958050593733788,32,0,0,Sergio Araujo,2365,h,Las Palmas,Levante,,2015-08-31 00:30:00,1418,2015,"(0.7340000152587891, 0.425)"
84245,RightFoot,OpenPlay,SavedShot,0.05817338079214096,53,0,0,David Simón,2364,h,Las Palmas,Levante,Jonathan Viera,2015-08-31 00:30:00,1418,2015,"(0.955, 0.31)"
84464,RightFoot,OpenPlay,MissedShots,0.02010834403336048,27,3,3,Jonathan Viera,2358,a,Las Palmas,Celta Vigo,Juan Emmanuel Culio,2015-09-13 20:15:00,1426,2015,"(0.7340000152587891, 0.44599998474121094)"
84480,LeftFoot,OpenPlay,Goal,0.3854714632034302,73,3,3,David Simón,2364,a,Las Palmas,Celta Vigo,Juan Emmanuel Culio,2015-09-13 20:15:00,1426,2015,"(0.8769999694824219, 0.5940000152587891)"
