,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1403,Rayo Vallecano,Valencia,0.693517,2.20399,0,0,h,2015-08-23 00:30:00
1412,Rayo Vallecano,Celta Vigo,0.0816438,1.7022,0,3,a,2015-08-30 00:00:00
1428,Rayo Vallecano,Deportivo La Coruna,0.61631,2.11613,1,3,h,2015-09-14 22:30:00
1438,Rayo Vallecano,Las Palmas,1.77993,0.401504,1,0,a,2015-09-20 22:30:00
1442,Rayo Vallecano,Sporting Gijon,2.90667,0.532738,2,1,h,2015-09-23 22:00:00
1452,Rayo Vallecano,Sevilla,0.920477,2.76392,2,3,a,2015-09-26 22:30:00
1465,Rayo Vallecano,Real Betis,1.2884,1.68781,0,2,h,2015-10-04 14:00:00
1471,Rayo Vallecano,Barcelona,2.83637,4.61543,2,5,a,2015-10-17 22:30:00
1479,Rayo Vallecano,Espanyol,1.85851,1.41105,3,0,h,2015-10-23 22:30:00
1495,Rayo Vallecano,Eibar,0.502135,1.26188,0,1,a,2015-11-01 15:00:00
1503,Rayo Vallecano,Granada,0.825919,0.483537,2,1,h,2015-11-07 23:30:00
1518,Rayo Vallecano,Getafe,1.1181,0.721945,1,1,a,2015-11-23 23:30:00
1527,Rayo Vallecano,Athletic Club,1.45678,2.24726,0,3,h,2015-11-29 21:15:00
1535,Rayo Vallecano,Villarreal,0.325638,1.60179,1,2,a,2015-12-06 19:00:00
1545,Rayo Vallecano,Malaga,1.12081,1.43186,1,2,h,2015-12-13 15:00:00
1553,Rayo Vallecano,Real Madrid,0.93456,5.71778,2,10,a,2015-12-20 19:00:00
1560,Rayo Vallecano,Atletico Madrid,0.372305,2.20164,0,2,h,2015-12-30 21:15:00
1571,Rayo Vallecano,Real Sociedad,0.924233,1.31907,2,2,h,2016-01-03 15:00:00
1582,Rayo Vallecano,Levante,0.34525,0.954929,1,2,a,2016-01-10 01:05:00
1592,Rayo Vallecano,Valencia,1.82333,1.26687,2,2,a,2016-01-17 15:00:00
1602,Rayo Vallecano,Celta Vigo,3.20178,0.133975,3,0,h,2016-01-24 01:05:00
1617,Rayo Vallecano,Deportivo La Coruna,1.13142,1.42948,2,2,a,2016-02-01 23:30:00
1620,Rayo Vallecano,Las Palmas,3.09731,0.273377,2,0,h,2016-02-06 21:15:00
1628,Rayo Vallecano,Sporting Gijon,1.73162,2.38598,2,2,a,2016-02-12 23:30:00
1644,Rayo Vallecano,Sevilla,1.66155,3.37315,2,2,h,2016-02-21 15:00:00
1653,Rayo Vallecano,Real Betis,1.42394,2.46401,2,2,a,2016-02-27 23:30:00
1668,Rayo Vallecano,Barcelona,1.17964,4.52996,1,5,h,2016-03-04 00:00:00
1678,Rayo Vallecano,Espanyol,0.201034,1.78244,1,2,a,2016-03-07 23:30:00
1683,Rayo Vallecano,Eibar,1.20734,0.804912,1,1,h,2016-03-13 01:05:00
1692,Rayo Vallecano,Granada,1.57585,1.40008,2,2,a,2016-03-19 21:15:00
1699,Rayo Vallecano,Getafe,2.4939,0.759713,2,0,h,2016-04-01 22:30:00
1717,Rayo Vallecano,Athletic Club,2.08111,0.625122,0,1,a,2016-04-10 22:30:00
1727,Rayo Vallecano,Villarreal,1.08503,0.631315,2,1,h,2016-04-17 20:15:00
1735,Rayo Vallecano,Malaga,1.05395,1.14186,1,1,a,2016-04-20 22:45:00
1740,Rayo Vallecano,Real Madrid,1.56205,2.6433,2,3,h,2016-04-23 18:00:00
1751,Rayo Vallecano,Atletico Madrid,0.597729,1.07386,0,1,a,2016-04-30 20:15:00
1764,Rayo Vallecano,Real Sociedad,2.18163,1.6654,1,2,a,2016-05-08 19:00:00
1778,Rayo Vallecano,Levante,2.06167,1.32769,3,1,h,2016-05-15 21:30:00
