,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
84208,LeftFoot,OpenPlay,MissedShots,0.017755601555109024,26,0,0,Bebé,2168,h,Rayo Vallecano,Valencia,Roberto Trashorras,2015-08-23 00:30:00,1403,2015,"(0.710999984741211, 0.6409999847412109)"
84202,RightFoot,OpenPlay,SavedShot,0.009426758624613285,5,0,0,Bebé,2168,h,Rayo Vallecano,Valencia,Nacho,2015-08-23 00:30:00,1403,2015,"(0.6409999847412109, 0.88)"
84201,RightFoot,OpenPlay,SavedShot,0.026814071461558342,2,0,0,Bebé,2168,h,Rayo Vallecano,Valencia,Nacho,2015-08-23 00:30:00,1403,2015,"(0.779000015258789, 0.6370000076293946)"
84213,LeftFoot,OpenPlay,BlockedShot,0.5646243095397949,65,0,0,Manucho,2171,h,Rayo Vallecano,Valencia,Patrick Ebert,2015-08-23 00:30:00,1403,2015,"(0.9690000152587891, 0.54)"
84211,RightFoot,OpenPlay,BlockedShot,0.01905386708676815,56,0,0,Roberto Trashorras,2162,h,Rayo Vallecano,Valencia,Bebé,2015-08-23 00:30:00,1403,2015,"(0.765, 0.6819999694824219)"
84203,LeftFoot,OpenPlay,BlockedShot,0.02174062468111515,5,0,0,Roberto Trashorras,2162,h,Rayo Vallecano,Valencia,Miku,2015-08-23 00:30:00,1403,2015,"(0.7659999847412109, 0.38799999237060545)"
84207,RightFoot,OpenPlay,SavedShot,0.024480856955051422,26,0,0,Patrick Ebert,2575,h,Rayo Vallecano,Valencia,Zé Castro,2015-08-23 00:30:00,1403,2015,"(0.7480000305175781, 0.5109999847412109)"
84216,RightFoot,OpenPlay,MissedShots,0.009620700031518936,75,0,0,Lass,2558,h,Rayo Vallecano,Valencia,,2015-08-23 00:30:00,1403,2015,"(0.7140000152587891, 0.17700000762939452)"
84227,RightFoot,OpenPlay,BlockedShot,0.012120730243623257,56,0,3,Roberto Trashorras,2162,a,Rayo Vallecano,Celta Vigo,Lass,2015-08-30 00:00:00,1412,2015,"(0.7169999694824218, 0.40599998474121096)"
84231,LeftFoot,OpenPlay,MissedShots,0.012223822996020317,85,0,3,Nacho,2161,a,Rayo Vallecano,Celta Vigo,Roberto Trashorras,2015-08-30 00:00:00,1412,2015,"(0.6980000305175781, 0.6840000152587891)"
84229,RightFoot,OpenPlay,MissedShots,0.057299256324768066,74,0,3,Lass,2558,a,Rayo Vallecano,Celta Vigo,Miku,2015-08-30 00:00:00,1412,2015,"(0.835999984741211, 0.30100000381469727)"
84696,RightFoot,OpenPlay,BlockedShot,0.02919873595237732,65,1,3,Pablo Hernández,2164,h,Rayo Vallecano,Deportivo La Coruna,Patrick Ebert,2015-09-14 22:30:00,1428,2015,"(0.8009999847412109, 0.345)"
