,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
84169,RightFoot,OpenPlay,BlockedShot,0.03933050110936165,81,0,0,Luka Modric,2250,a,Real Madrid,Sporting Gijon,Danilo,2015-08-23 22:30:00,1405,2015,"(0.8090000152587891, 0.62)"
84152,RightFoot,OpenPlay,SavedShot,0.024369413033127785,32,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,Isco,2015-08-23 22:30:00,1405,2015,"(0.775, 0.35700000762939454)"
84160,RightFoot,OpenPlay,SavedShot,0.028569679707288742,53,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,Marcelo,2015-08-23 22:30:00,1405,2015,"(0.8209999847412109, 0.705)"
84172,RightFoot,OpenPlay,MissedShots,0.023515354841947556,84,0,0,Luka Modric,2250,a,Real Madrid,Sporting Gijon,Marcelo,2015-08-23 22:30:00,1405,2015,"(0.769000015258789, 0.48200000762939454)"
84164,Head,OpenPlay,MissedShots,0.11314702033996582,66,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,James Rodríguez,2015-08-23 22:30:00,1405,2015,"(0.9340000152587891, 0.4159999847412109)"
84165,LeftFoot,OpenPlay,BlockedShot,0.06978055089712143,68,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,James Rodríguez,2015-08-23 22:30:00,1405,2015,"(0.875999984741211, 0.34799999237060547)"
84167,LeftFoot,OpenPlay,SavedShot,0.11454391479492188,77,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,Gareth Bale,2015-08-23 22:30:00,1405,2015,"(0.919000015258789, 0.6780000305175782)"
84171,RightFoot,OpenPlay,SavedShot,0.03279102221131325,83,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,Gareth Bale,2015-08-23 22:30:00,1405,2015,"(0.8690000152587891, 0.725999984741211)"
84173,Head,OpenPlay,MissedShots,0.021482545882463455,87,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,Daniel Carvajal,2015-08-23 22:30:00,1405,2015,"(0.88, 0.46599998474121096)"
84174,RightFoot,DirectFreekick,BlockedShot,0.056614913046360016,93,0,0,Cristiano Ronaldo,2371,a,Real Madrid,Sporting Gijon,,2015-08-23 22:30:00,1405,2015,"(0.765, 0.6990000152587891)"
84156,RightFoot,OpenPlay,MissedShots,0.014588642865419388,45,0,0,Toni Kroos,2369,a,Real Madrid,Sporting Gijon,Danilo,2015-08-23 22:30:00,1405,2015,"(0.7040000152587891, 0.3770000076293945)"
84168,Head,OpenPlay,MissedShots,0.02192210964858532,77,0,0,Marcelo,2257,a,Real Madrid,Sporting Gijon,,2015-08-23 22:30:00,1405,2015,"(0.8859999847412109, 0.5259999847412109)"
