,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
84170,RightFoot,OpenPlay,BlockedShot,0.09837064146995544,83,0,0,Álex Menéndez,2219,h,Sporting Gijon,Real Madrid,Sergio Álvarez,2015-08-23 22:30:00,1405,2015,"(0.8780000305175781, 0.68)"
84158,Head,OpenPlay,MissedShots,0.033710870891809464,47,0,0,Carlos Carmona,2214,h,Sporting Gijon,Real Madrid,,2015-08-23 22:30:00,1405,2015,"(0.87, 0.5209999847412109)"
84159,RightFoot,OpenPlay,BlockedShot,0.025022707879543304,48,0,0,Guerrero,2218,h,Sporting Gijon,Real Madrid,,2015-08-23 22:30:00,1405,2015,"(0.755, 0.46)"
84154,Head,OpenPlay,ShotOnPost,0.10264181345701218,35,0,0,Antonio Sanabria,2217,h,Sporting Gijon,Real Madrid,Alberto Lora,2015-08-23 22:30:00,1405,2015,"(0.9059999847412109, 0.45599998474121095)"
84155,RightFoot,OpenPlay,MissedShots,0.012578277848660946,36,0,0,Nacho Cases,2213,h,Sporting Gijon,Real Madrid,,2015-08-23 22:30:00,1405,2015,"(0.754000015258789, 0.5279999923706055)"
84150,RightFoot,OpenPlay,MissedShots,0.06092393025755882,21,0,0,Bernardo,1716,h,Sporting Gijon,Real Madrid,,2015-08-23 22:30:00,1405,2015,"(0.8540000152587891, 0.385)"
84426,RightFoot,OpenPlay,MissedShots,0.01841057650744915,90,0,0,Nacho Cases,2213,a,Sporting Gijon,Real Sociedad,Alen Halilovic,2015-08-29 20:30:00,1410,2015,"(0.765, 0.6869999694824219)"
84412,LeftFoot,DirectFreekick,MissedShots,0.045230962336063385,25,0,0,Jony,2216,a,Sporting Gijon,Real Sociedad,,2015-08-29 20:30:00,1410,2015,"(0.7069999694824218, 0.44299999237060544)"
84417,LeftFoot,OpenPlay,MissedShots,0.009707367047667503,44,0,0,Jony,2216,a,Sporting Gijon,Real Sociedad,Carlos Carmona,2015-08-29 20:30:00,1410,2015,"(0.62, 0.5690000152587891)"
84416,RightFoot,OpenPlay,SavedShot,0.023456130176782608,42,0,0,Guerrero,2218,a,Sporting Gijon,Real Sociedad,Alberto Lora,2015-08-29 20:30:00,1410,2015,"(0.7390000152587891, 0.4809999847412109)"
84410,RightFoot,OpenPlay,BlockedShot,0.07159502804279327,11,0,0,Guerrero,2218,a,Sporting Gijon,Real Sociedad,,2015-08-29 20:30:00,1410,2015,"(0.845999984741211, 0.575)"
84419,RightFoot,OpenPlay,SavedShot,0.07652883231639862,52,0,0,Sergio Álvarez,2212,a,Sporting Gijon,Real Sociedad,,2015-08-29 20:30:00,1410,2015,"(0.86, 0.48)"
84421,LeftFoot,FromCorner,BlockedShot,0.01193138025701046,59,0,0,Alberto Lora,2209,a,Sporting Gijon,Real Sociedad,,2015-08-29 20:30:00,1410,2015,"(0.6819999694824219, 0.5640000152587891)"
84672,RightFoot,OpenPlay,SavedShot,0.01945802941918373,74,0,1,Luis Hernández,1680,h,Sporting Gijon,Valencia,,2015-09-12 20:15:00,1421,2015,"(0.7909999847412109, 0.67)"
84664,Head,OpenPlay,MissedShots,0.03539067134261131,53,0,1,Pablo Pérez,2222,h,Sporting Gijon,Valencia,Luis Hernández,2015-09-12 20:15:00,1421,2015,"(0.8969999694824219, 0.4209999847412109)"
84673,RightFoot,OpenPlay,BlockedShot,0.0392996147274971,83,0,1,Guerrero,2218,h,Sporting Gijon,Valencia,Antonio Sanabria,2015-09-12 20:15:00,1421,2015,"(0.8719999694824219, 0.28899999618530275)"
84652,RightFoot,FromCorner,BlockedShot,0.04917304217815399,5,0,1,Alberto Lora,2209,h,Sporting Gijon,Valencia,,2015-09-12 20:15:00,1421,2015,"(0.91, 0.32599998474121095)"
84666,LeftFoot,SetPiece,SavedShot,0.4093744158744812,64,0,1,Pablo Pérez,2222,h,Sporting Gijon,Valencia,Bernardo,2015-09-12 20:15:00,1421,2015,"(0.8909999847412109, 0.48700000762939455)"
84653,RightFoot,OpenPlay,SavedShot,0.09266439080238342,13,0,1,Antonio Sanabria,2217,h,Sporting Gijon,Valencia,Alen Halilovic,2015-09-12 20:15:00,1421,2015,"(0.8490000152587891, 0.4779999923706055)"
84681,RightFoot,OpenPlay,SavedShot,0.05195910111069679,94,0,1,Antonio Sanabria,2217,h,Sporting Gijon,Valencia,,2015-09-12 20:15:00,1421,2015,"(0.8680000305175781, 0.34900001525878904)"
84662,RightFoot,OpenPlay,BlockedShot,0.019903717562556267,49,0,1,Antonio Sanabria,2217,h,Sporting Gijon,Valencia,Alen Halilovic,2015-09-12 20:15:00,1421,2015,"(0.7140000152587891, 0.42700000762939455)"
84670,Head,OpenPlay,SavedShot,0.06237925589084625,74,0,1,Bernardo,1716,h,Sporting Gijon,Valencia,Luis Hernández,2015-09-12 20:15:00,1421,2015,"(0.9, 0.5420000076293945)"
84665,Head,OpenPlay,SavedShot,0.026213696226477623,57,0,1,Bernardo,1716,h,Sporting Gijon,Valencia,Luis Hernández,2015-09-12 20:15:00,1421,2015,"(0.9430000305175781, 0.3770000076293945)"
84675,RightFoot,OpenPlay,MissedShots,0.12866242229938507,84,0,1,Nacho Cases,2213,h,Sporting Gijon,Valencia,,2015-09-12 20:15:00,1421,2015,"(0.945, 0.41)"
84669,LeftFoot,OpenPlay,MissedShots,0.019138062372803688,73,0,1,Jony,2216,h,Sporting Gijon,Valencia,,2015-09-12 20:15:00,1421,2015,"(0.8519999694824218, 0.6659999847412109)"
84651,LeftFoot,FromCorner,SavedShot,0.017155148088932037,4,0,1,Jony,2216,h,Sporting Gijon,Valencia,,2015-09-12 20:15:00,1421,2015,"(0.7419999694824219, 0.47400001525878904)"
84674,Head,FromCorner,BlockedShot,0.045400090515613556,84,0,1,Luis Hernández,1680,h,Sporting Gijon,Valencia,Carlos Carmona,2015-09-12 20:15:00,1421,2015,"(0.91, 0.40900001525878904)"
