,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1779,Osasuna,Malaga,0.829951,0.834224,1,1,a,2016-08-19 22:45:00
1791,Osasuna,Real Sociedad,0.342253,0.758033,0,2,h,2016-08-27 20:15:00
1801,Osasuna,Real Madrid,1.03534,3.7979,2,5,a,2016-09-10 18:00:00
1814,Osasuna,Celta Vigo,0.259738,0.683638,0,0,h,2016-09-18 14:00:00
1827,Osasuna,Espanyol,1.06944,1.39628,1,2,h,2016-09-22 22:00:00
1836,Osasuna,Villarreal,1.7961,2.9887,1,3,a,2016-09-25 20:30:00
1842,Osasuna,Las Palmas,0.988479,1.37115,2,2,h,2016-10-01 20:30:00
1858,Osasuna,Eibar,1.40368,0.802032,3,2,a,2016-10-17 22:45:00
1859,Osasuna,Real Betis,0.929293,1.23524,1,2,h,2016-10-21 22:45:00
3314,Osasuna,Athletic Club,0.338045,1.4373,1,1,a,2016-10-30 19:15:00
2779,Osasuna,Alaves,0.471469,1.62667,0,1,h,2016-11-05 21:30:00
2795,Osasuna,Leganes,0.164701,1.6402,0,2,a,2016-11-21 23:45:00
2802,Osasuna,Atletico Madrid,1.15264,1.48301,0,3,h,2016-11-27 19:15:00
3169,Osasuna,Sporting Gijon,1.15825,1.12982,1,3,a,2016-12-04 21:30:00
3174,Osasuna,Barcelona,0.146912,3.17169,0,3,h,2016-12-10 16:00:00
3189,Osasuna,Deportivo La Coruna,0.426863,1.12829,0,2,a,2016-12-18 21:30:00
3893,Osasuna,Valencia,1.80424,1.45062,3,3,h,2017-01-09 23:45:00
3901,Osasuna,Granada,1.16305,1.66163,1,1,a,2017-01-15 21:30:00
3909,Osasuna,Sevilla,0.612007,1.16612,3,4,h,2017-01-22 14:00:00
3914,Osasuna,Malaga,0.814611,1.86933,1,1,h,2017-01-27 22:45:00
3932,Osasuna,Real Sociedad,0.985019,1.00374,2,3,a,2017-02-05 17:30:00
3934,Osasuna,Real Madrid,0.891933,2.36434,1,3,h,2017-02-11 19:45:00
3944,Osasuna,Celta Vigo,0.476623,1.31171,0,3,a,2017-02-19 17:30:00
3955,Osasuna,Espanyol,0.134311,2.0636,0,3,a,2017-02-26 11:00:00
3966,Osasuna,Villarreal,2.04719,2.12981,1,4,h,2017-03-01 18:30:00
3983,Osasuna,Las Palmas,1.30591,1.52118,2,5,a,2017-03-05 17:30:00
3990,Osasuna,Eibar,1.29637,0.993742,1,1,h,2017-03-13 19:45:00
3998,Osasuna,Real Betis,0.670991,1.90646,0,2,a,2017-03-18 19:45:00
4010,Osasuna,Athletic Club,0.536243,1.34566,1,2,h,2017-04-01 15:15:00
4020,Osasuna,Alaves,0.59864,0.640826,1,0,a,2017-04-05 19:30:00
4030,Osasuna,Leganes,1.58295,1.40274,2,1,h,2017-04-09 17:30:00
4037,Osasuna,Atletico Madrid,0.117168,2.86312,0,3,a,2017-04-15 17:30:00
4049,Osasuna,Sporting Gijon,0.795145,2.22378,2,2,h,2017-04-22 17:30:00
4055,Osasuna,Barcelona,0.096291,3.74562,1,7,a,2017-04-26 18:30:00
4069,Osasuna,Deportivo La Coruna,1.45216,1.56321,2,2,h,2017-04-30 11:00:00
4078,Osasuna,Valencia,0.841795,3.01483,1,4,a,2017-05-07 15:15:00
4087,Osasuna,Granada,2.1534,0.823768,2,1,h,2017-05-13 17:30:00
4098,Osasuna,Sevilla,0.240405,2.2749,0,5,a,2017-05-20 20:00:00
