,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
135271,RightFoot,SetPiece,MissedShots,0.01059791725128889,18,2,6,Álvaro Cejudo,2142,a,Real Betis,Barcelona,,2016-08-20 20:15:00,1781,2016,"(0.715, 0.52)"
135272,RightFoot,DirectFreekick,Goal,0.08755163848400116,20,2,6,Rubén Castro,2150,a,Real Betis,Barcelona,,2016-08-20 20:15:00,1781,2016,"(0.7859999847412109, 0.6329999923706054)"
135278,Head,SetPiece,MissedShots,0.021073151379823685,39,2,6,Antonio Sanabria,2217,a,Real Betis,Barcelona,Felipe Gutiérrez,2016-08-20 20:15:00,1781,2016,"(0.8580000305175781, 0.615)"
135303,LeftFoot,OpenPlay,MissedShots,0.03705688193440437,91,2,6,Dani Ceballos,2446,a,Real Betis,Barcelona,Rubén Castro,2016-08-20 20:15:00,1781,2016,"(0.8009999847412109, 0.3920000076293945)"
135296,Head,SetPiece,BlockedShot,0.0180446058511734,83,2,6,Rubén Castro,2150,a,Real Betis,Barcelona,Álvaro Cejudo,2016-08-20 20:15:00,1781,2016,"(0.8490000152587891, 0.375)"
135297,RightFoot,SetPiece,Goal,0.07806120812892914,83,2,6,Rubén Castro,2150,a,Real Betis,Barcelona,,2016-08-20 20:15:00,1781,2016,"(0.8930000305175781, 0.3820000076293945)"
135423,LeftFoot,FromCorner,MissedShots,0.0662059634923935,75,0,0,Felipe Gutiérrez,5170,h,Real Betis,Deportivo La Coruna,,2016-08-26 22:45:00,1789,2016,"(0.9030000305175782, 0.6609999847412109)"
135419,LeftFoot,OpenPlay,MissedShots,0.01668187789618969,67,0,0,Charly Musonda,2147,h,Real Betis,Deportivo La Coruna,Joaquín,2016-08-26 22:45:00,1789,2016,"(0.7169999694824218, 0.37400001525878906)"
135416,LeftFoot,OpenPlay,SavedShot,0.05243051052093506,57,0,0,Riza Durmisi,5036,h,Real Betis,Deportivo La Coruna,Felipe Gutiérrez,2016-08-26 22:45:00,1789,2016,"(0.9459999847412109, 0.6930000305175781)"
135422,Head,FromCorner,BlockedShot,0.045407336205244064,75,0,0,Germán Pezzella,2143,h,Real Betis,Deportivo La Coruna,Joaquín,2016-08-26 22:45:00,1789,2016,"(0.8969999694824219, 0.5729999923706055)"
135411,Head,FromCorner,BlockedShot,0.020549288019537926,46,0,0,Germán Pezzella,2143,h,Real Betis,Deportivo La Coruna,Joaquín,2016-08-26 22:45:00,1789,2016,"(0.8969999694824219, 0.46599998474121096)"
135409,Head,FromCorner,SavedShot,0.07633012533187866,42,0,0,Aissa Mandi,3237,h,Real Betis,Deportivo La Coruna,Felipe Gutiérrez,2016-08-26 22:45:00,1789,2016,"(0.9159999847412109, 0.5629999923706055)"
135425,RightFoot,OpenPlay,SavedShot,0.08003776520490646,80,0,0,Rubén Castro,2150,h,Real Betis,Deportivo La Coruna,,2016-08-26 22:45:00,1789,2016,"(0.9019999694824219, 0.5990000152587891)"
135404,RightFoot,OpenPlay,SavedShot,0.010312939062714577,14,0,0,Petros,2145,h,Real Betis,Deportivo La Coruna,,2016-08-26 22:45:00,1789,2016,"(0.68, 0.539000015258789)"
135426,RightFoot,OpenPlay,MissedShots,0.010178858414292336,82,0,0,Álvaro Cejudo,2142,h,Real Betis,Deportivo La Coruna,,2016-08-26 22:45:00,1789,2016,"(0.7019999694824218, 0.5579999923706055)"
135414,LeftFoot,OpenPlay,MissedShots,0.04323020577430725,54,0,0,Antonio Sanabria,2217,h,Real Betis,Deportivo La Coruna,Fabián,2016-08-26 22:45:00,1789,2016,"(0.8380000305175781, 0.6459999847412109)"
135402,LeftFoot,FromCorner,MissedShots,0.043908488005399704,5,0,0,Cristiano Piccini,2560,h,Real Betis,Deportivo La Coruna,Felipe Gutiérrez,2016-08-26 22:45:00,1789,2016,"(0.919000015258789, 0.6329999923706054)"
135410,LeftFoot,OpenPlay,BlockedShot,0.009782549925148487,43,0,0,Fabián,2447,h,Real Betis,Deportivo La Coruna,,2016-08-26 22:45:00,1789,2016,"(0.6940000152587891, 0.585)"
135427,RightFoot,OpenPlay,SavedShot,0.02238175831735134,90,0,0,Dani Ceballos,2446,h,Real Betis,Deportivo La Coruna,Charly Musonda,2016-08-26 22:45:00,1789,2016,"(0.7519999694824219, 0.56)"
135403,Head,OpenPlay,MissedShots,0.03394712880253792,14,0,0,Antonio Sanabria,2217,h,Real Betis,Deportivo La Coruna,Felipe Gutiérrez,2016-08-26 22:45:00,1789,2016,"(0.8730000305175781, 0.5629999923706055)"
135405,RightFoot,OpenPlay,BlockedShot,0.06506410241127014,18,0,0,Antonio Sanabria,2217,h,Real Betis,Deportivo La Coruna,Joaquín,2016-08-26 22:45:00,1789,2016,"(0.889000015258789, 0.3920000076293945)"
135669,RightFoot,OpenPlay,BlockedShot,0.06079595908522606,76,3,2,Charly Musonda,2147,a,Real Betis,Valencia,Germán Pezzella,2016-09-11 18:00:00,1806,2016,"(0.8069999694824219, 0.49)"
135661,RightFoot,DirectFreekick,MissedShots,0.052324116230010986,39,3,2,Joaquín,2148,a,Real Betis,Valencia,,2016-09-11 18:00:00,1806,2016,"(0.7709999847412109, 0.7319999694824219)"
135650,LeftFoot,OpenPlay,MissedShots,0.053590014576911926,9,3,2,Rubén Castro,2150,a,Real Betis,Valencia,Riza Durmisi,2016-09-11 18:00:00,1806,2016,"(0.9459999847412109, 0.6859999847412109)"
135659,RightFoot,OpenPlay,MissedShots,0.032405562698841095,35,3,2,Álex Alegría,5038,a,Real Betis,Valencia,Joaquín,2016-09-11 18:00:00,1806,2016,"(0.99, 0.36400001525878906)"
135652,RightFoot,OpenPlay,SavedShot,0.04110978543758392,15,3,2,Rubén Castro,2150,a,Real Betis,Valencia,Darko Brasanac,2016-09-11 18:00:00,1806,2016,"(0.7930000305175782, 0.5590000152587891)"
135658,RightFoot,OpenPlay,BlockedShot,0.11761733889579773,32,3,2,Rubén Castro,2150,a,Real Betis,Valencia,Felipe Gutiérrez,2016-09-11 18:00:00,1806,2016,"(0.8859999847412109, 0.5359999847412109)"
