,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
135235,RightFoot,FromCorner,BlockedShot,0.035033099353313446,47,6,4,Hiroshi Kiyotake,396,h,Sevilla,Espanyol,Pablo Sarabia,2016-08-21 00:15:00,1783,2016,"(0.895, 0.73)"
135233,RightFoot,FromCorner,Goal,0.47437459230422974,45,6,4,Luciano Vietto,2274,h,Sevilla,Espanyol,,2016-08-21 00:15:00,1783,2016,"(0.909000015258789, 0.4620000076293945)"
135226,Head,FromCorner,Goal,0.13365909457206726,21,6,4,Luciano Vietto,2274,h,Sevilla,Espanyol,Hiroshi Kiyotake,2016-08-21 00:15:00,1783,2016,"(0.9440000152587891, 0.53)"
135222,RightFoot,OpenPlay,SavedShot,0.07159499078989029,10,6,4,Luciano Vietto,2274,h,Sevilla,Espanyol,Pablo Sarabia,2016-08-21 00:15:00,1783,2016,"(0.8669999694824219, 0.47900001525878905)"
135219,RightFoot,OpenPlay,SavedShot,0.4286406934261322,5,6,4,Luciano Vietto,2274,h,Sevilla,Espanyol,Hiroshi Kiyotake,2016-08-21 00:15:00,1783,2016,"(0.9019999694824219, 0.43599998474121093)"
135239,RightFoot,OpenPlay,Goal,0.41603755950927734,65,6,4,Wissam Ben Yedder,3210,h,Sevilla,Espanyol,Pablo Sarabia,2016-08-21 00:15:00,1783,2016,"(0.8809999847412109, 0.45799999237060546)"
135238,RightFoot,FromCorner,SavedShot,0.023462478071451187,56,6,4,Franco Vázquez,1836,h,Sevilla,Espanyol,,2016-08-21 00:15:00,1783,2016,"(0.7780000305175782, 0.42900001525878906)"
135234,RightFoot,FromCorner,MissedShots,0.032704129815101624,47,6,4,Franco Vázquez,1836,h,Sevilla,Espanyol,Hiroshi Kiyotake,2016-08-21 00:15:00,1783,2016,"(0.84, 0.5220000076293946)"
135223,LeftFoot,OpenPlay,SavedShot,0.06411664932966232,12,6,4,Franco Vázquez,1836,h,Sevilla,Espanyol,Vitolo,2016-08-21 00:15:00,1783,2016,"(0.8880000305175781, 0.34700000762939454)"
135236,LeftFoot,OpenPlay,Goal,0.10731928050518036,53,6,4,Franco Vázquez,1836,h,Sevilla,Espanyol,Pablo Sarabia,2016-08-21 00:15:00,1783,2016,"(0.865999984741211, 0.515)"
