,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
1784,Sporting Gijon,Athletic Club,1.43642,0.604671,2,1,h,2016-08-21 20:15:00
1796,Sporting Gijon,Alaves,0.27695,1.12017,0,0,a,2016-08-28 20:15:00
1805,Sporting Gijon,Leganes,1.65936,0.484862,2,1,h,2016-09-11 14:00:00
1811,Sporting Gijon,Atletico Madrid,0.503786,2.52857,0,5,a,2016-09-17 18:15:00
1822,Sporting Gijon,Celta Vigo,0.847147,1.38706,1,2,a,2016-09-21 22:00:00
1831,Sporting Gijon,Barcelona,0.631314,3.6662,0,5,h,2016-09-24 18:15:00
1843,Sporting Gijon,Deportivo La Coruna,0.234392,1.26977,1,2,a,2016-10-01 22:45:00
1856,Sporting Gijon,Valencia,0.487759,0.962304,1,2,h,2016-10-16 20:30:00
1863,Sporting Gijon,Granada,0.242784,0.546868,0,0,a,2016-10-22 22:45:00
3309,Sporting Gijon,Sevilla,0.47946,1.288,1,1,h,2016-10-29 15:00:00
2776,Sporting Gijon,Malaga,1.27243,1.92978,2,3,a,2016-11-04 23:45:00
2793,Sporting Gijon,Real Sociedad,0.197028,2.1535,1,3,h,2016-11-20 21:30:00
2798,Sporting Gijon,Real Madrid,1.46445,2.90122,1,2,a,2016-11-26 19:15:00
3169,Sporting Gijon,Osasuna,1.12982,1.15825,3,1,h,2016-12-04 21:30:00
3180,Sporting Gijon,Espanyol,0.585213,1.22846,1,2,a,2016-12-11 21:30:00
3184,Sporting Gijon,Villarreal,1.18555,3.11803,1,3,h,2016-12-17 16:00:00
3887,Sporting Gijon,Las Palmas,0.715563,2.50535,0,1,a,2017-01-07 21:30:00
3900,Sporting Gijon,Eibar,0.451995,2.47656,2,3,h,2017-01-15 21:30:00
3911,Sporting Gijon,Real Betis,0.725506,1.22587,0,0,a,2017-01-22 20:30:00
3921,Sporting Gijon,Athletic Club,0.989558,2.01155,1,2,a,2017-01-29 20:30:00
3925,Sporting Gijon,Alaves,1.10417,3.304,2,4,h,2017-02-05 15:15:00
3935,Sporting Gijon,Leganes,0.172436,0.421338,2,0,a,2017-02-12 15:15:00
3953,Sporting Gijon,Atletico Madrid,1.62573,2.49836,1,4,h,2017-02-18 12:00:00
3961,Sporting Gijon,Celta Vigo,2.32319,1.18161,1,1,h,2017-02-26 17:30:00
3967,Sporting Gijon,Barcelona,1.07573,2.99036,1,6,a,2017-03-01 18:30:00
3976,Sporting Gijon,Deportivo La Coruna,0.924431,1.62631,0,1,h,2017-03-05 11:00:00
3994,Sporting Gijon,Valencia,0.926125,2.10881,1,1,a,2017-03-11 12:00:00
4002,Sporting Gijon,Granada,2.97883,1.16888,3,1,h,2017-03-19 17:30:00
4007,Sporting Gijon,Sevilla,0.26865,0.96799,0,0,a,2017-04-02 11:00:00
4023,Sporting Gijon,Malaga,0.809443,0.556202,0,1,h,2017-04-05 19:30:00
4027,Sporting Gijon,Real Sociedad,0.399035,1.98867,1,3,a,2017-04-10 19:45:00
4038,Sporting Gijon,Real Madrid,0.4652,1.66979,2,3,h,2017-04-15 15:15:00
4049,Sporting Gijon,Osasuna,2.22378,0.795145,2,2,a,2017-04-22 17:30:00
4059,Sporting Gijon,Espanyol,0.552443,1.71263,1,1,h,2017-04-25 18:30:00
4070,Sporting Gijon,Villarreal,1.03449,3.91003,1,3,a,2017-04-28 19:45:00
4080,Sporting Gijon,Las Palmas,1.55328,0.298784,1,0,h,2017-05-06 12:00:00
4090,Sporting Gijon,Eibar,1.13134,0.516325,1,0,a,2017-05-14 19:00:00
4102,Sporting Gijon,Real Betis,1.27001,2.14979,2,2,h,2017-05-20 16:00:00
