,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7879,Alaves,Leganes,0.993213,1.32428,0,1,a,2017-08-18 19:15:00
7891,Alaves,Barcelona,0.635924,2.68718,0,2,h,2017-08-26 17:15:00
7902,Alaves,Celta Vigo,0.491165,2.63491,0,1,a,2017-09-10 17:30:00
7912,Alaves,Villarreal,0.487809,2.14034,0,3,h,2017-09-17 11:00:00
7921,Alaves,Deportivo La Coruna,0.21606,1.93585,0,1,a,2017-09-20 20:00:00
7931,Alaves,Real Madrid,0.703287,2.7181,1,2,h,2017-09-23 15:15:00
7940,Alaves,Levante,2.5346,1.02629,2,0,a,2017-09-30 17:30:00
7950,Alaves,Real Sociedad,0.544525,0.875381,0,2,h,2017-10-14 17:30:00
7959,Alaves,Real Betis,0.618409,0.783724,0,2,a,2017-10-21 15:15:00
7969,Alaves,Valencia,0.629433,1.06744,1,2,h,2017-10-28 12:00:00
7979,Alaves,Espanyol,1.01634,0.684307,1,0,h,2017-11-04 17:30:00
7990,Alaves,Getafe,0.613023,4.07057,1,4,a,2017-11-18 12:00:00
8000,Alaves,Eibar,0.401289,1.08957,1,2,h,2017-11-25 12:00:00
8011,Alaves,Girona,1.71192,0.421084,3,2,a,2017-12-04 20:00:00
8021,Alaves,Las Palmas,3.731,0.279196,2,0,h,2017-12-08 20:00:00
8034,Alaves,Atletico Madrid,0.566869,1.04076,0,1,a,2017-12-16 19:45:00
8042,Alaves,Malaga,2.132,0.299907,1,0,h,2017-12-21 20:30:00
8052,Alaves,Athletic Club,0.232281,2.55044,0,2,a,2018-01-07 17:30:00
8063,Alaves,Sevilla,0.607306,0.799343,1,0,h,2018-01-14 15:15:00
8075,Alaves,Leganes,1.75269,1.41663,2,2,h,2018-01-21 11:00:00
8081,Alaves,Barcelona,1.03397,2.08908,1,2,a,2018-01-28 19:45:00
8092,Alaves,Celta Vigo,1.20482,1.29603,2,1,h,2018-02-03 17:30:00
8102,Alaves,Villarreal,0.786699,1.9855,2,1,a,2018-02-10 12:00:00
8111,Alaves,Deportivo La Coruna,0.591477,0.192999,1,0,h,2018-02-17 17:30:00
8120,Alaves,Real Madrid,0.615652,3.51278,0,4,a,2018-02-24 15:15:00
8134,Alaves,Levante,2.28032,0.290231,1,0,h,2018-03-01 20:30:00
8140,Alaves,Real Sociedad,0.370822,1.93124,1,2,a,2018-03-04 17:30:00
8149,Alaves,Real Betis,0.783255,1.71568,1,3,h,2018-03-12 20:00:00
8159,Alaves,Valencia,1.24894,2.69263,1,3,a,2018-03-17 15:15:00
8169,Alaves,Espanyol,0.537352,0.638324,0,0,a,2018-04-01 11:00:00
8184,Alaves,Getafe,1.48909,0.881652,2,0,h,2018-04-07 11:00:00
8190,Alaves,Eibar,0.118099,1.2615,1,0,a,2018-04-15 10:00:00
8204,Alaves,Girona,0.908885,1.7941,1,2,h,2018-04-19 17:30:00
8211,Alaves,Las Palmas,1.59228,0.349971,4,0,a,2018-04-22 16:30:00
8225,Alaves,Atletico Madrid,0.52622,2.56109,0,1,h,2018-04-29 15:00:00
8232,Alaves,Malaga,1.75049,1.66977,3,0,a,2018-05-06 11:00:00
8243,Alaves,Athletic Club,0.335029,1.03761,3,1,h,2018-05-12 17:30:00
8253,Alaves,Sevilla,1.08698,2.45526,0,1,a,2018-05-19 00:00:00
