,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
169118,Head,SetPiece,Goal,0.19079621136188507,84,2,2,Giménez,2278,a,Atletico Madrid,Girona,Koke,2017-08-19 19:15:00,7882,2017,"(0.895, 0.5070000076293946)"
169112,LeftFoot,OpenPlay,MissedShots,0.09824596345424652,74,2,2,Yannick Carrasco,2272,a,Atletico Madrid,Girona,Nicolás Gaitán,2017-08-19 19:15:00,7882,2017,"(0.86, 0.500999984741211)"
169107,RightFoot,OpenPlay,SavedShot,0.05215061455965042,34,2,2,Yannick Carrasco,2272,a,Atletico Madrid,Girona,Fernando Torres,2017-08-19 19:15:00,7882,2017,"(0.8009999847412109, 0.5579999923706055)"
169117,RightFoot,OpenPlay,MissedShots,0.3035822808742523,81,2,2,Luciano Vietto,2274,a,Atletico Madrid,Girona,Yannick Carrasco,2017-08-19 19:15:00,7882,2017,"(0.9209999847412109, 0.34799999237060547)"
169104,LeftFoot,OpenPlay,MissedShots,0.024185437709093094,13,2,2,Saúl Ñíguez,2266,a,Atletico Madrid,Girona,Antoine Griezmann,2017-08-19 19:15:00,7882,2017,"(0.735, 0.43900001525878907)"
169114,RightFoot,OpenPlay,Goal,0.03687882423400879,77,2,2,Ángel Correa,2275,a,Atletico Madrid,Girona,Lucas Hernández,2017-08-19 19:15:00,7882,2017,"(0.799000015258789, 0.4640000152587891)"
169109,LeftFoot,OpenPlay,MissedShots,0.06345147639513016,50,2,2,Antoine Griezmann,2270,a,Atletico Madrid,Girona,,2017-08-19 19:15:00,7882,2017,"(0.8630000305175781, 0.46)"
169100,RightFoot,OpenPlay,BlockedShot,0.023090597242116928,1,2,2,Juanfran,2262,a,Atletico Madrid,Girona,,2017-08-19 19:15:00,7882,2017,"(0.765, 0.43099998474121093)"
169116,RightFoot,OpenPlay,BlockedShot,0.05510357394814491,79,2,2,Nicolás Gaitán,5071,a,Atletico Madrid,Girona,Yannick Carrasco,2017-08-19 19:15:00,7882,2017,"(0.8209999847412109, 0.524000015258789)"
169563,RightFoot,OpenPlay,Goal,0.08981761336326599,87,5,1,Thomas Partey,2328,a,Atletico Madrid,Las Palmas,Yannick Carrasco,2017-08-26 21:15:00,7896,2017,"(0.8209999847412109, 0.500999984741211)"
169547,LeftFoot,OpenPlay,Goal,0.06947223842144012,4,5,1,Yannick Carrasco,2272,a,Atletico Madrid,Las Palmas,Saúl Ñíguez,2017-08-26 21:15:00,7896,2017,"(0.8969999694824219, 0.6819999694824219)"
169558,RightFoot,OpenPlay,Goal,0.12312629818916321,74,5,1,Koke,2269,a,Atletico Madrid,Las Palmas,Yannick Carrasco,2017-08-26 21:15:00,7896,2017,"(0.9080000305175782, 0.4759999847412109)"
169557,RightFoot,OpenPlay,Goal,0.02058478631079197,61,5,1,Koke,2269,a,Atletico Madrid,Las Palmas,,2017-08-26 21:15:00,7896,2017,"(0.7709999847412109, 0.710999984741211)"
169553,RightFoot,FromCorner,SavedShot,0.02405056357383728,50,5,1,Koke,2269,a,Atletico Madrid,Las Palmas,Ángel Correa,2017-08-26 21:15:00,7896,2017,"(0.8540000152587891, 0.835999984741211)"
169562,RightFoot,OpenPlay,MissedShots,0.025028783828020096,86,5,1,Thomas Partey,2328,a,Atletico Madrid,Las Palmas,Koke,2017-08-26 21:15:00,7896,2017,"(0.7580000305175781, 0.7440000152587891)"
169546,RightFoot,OpenPlay,Goal,0.1326528638601303,2,5,1,Ángel Correa,2275,a,Atletico Madrid,Las Palmas,,2017-08-26 21:15:00,7896,2017,"(0.8690000152587891, 0.5729999923706055)"
169555,LeftFoot,OpenPlay,MissedShots,0.02587520331144333,56,5,1,Yannick Carrasco,2272,a,Atletico Madrid,Las Palmas,,2017-08-26 21:15:00,7896,2017,"(0.7519999694824219, 0.705)"
169773,RightFoot,OpenPlay,SavedShot,0.03505260497331619,4,0,0,Ángel Correa,2275,a,Atletico Madrid,Valencia,,2017-09-09 15:15:00,7908,2017,"(0.8109999847412109, 0.35700000762939454)"
169793,RightFoot,OpenPlay,BlockedShot,0.013122501783072948,84,0,0,Thomas Partey,2328,a,Atletico Madrid,Valencia,,2017-09-09 15:15:00,7908,2017,"(0.745, 0.34)"
169785,RightFoot,OpenPlay,SavedShot,0.05900280177593231,56,0,0,Ángel Correa,2275,a,Atletico Madrid,Valencia,,2017-09-09 15:15:00,7908,2017,"(0.889000015258789, 0.3160000038146973)"
169796,RightFoot,OpenPlay,MissedShots,0.02704373374581337,92,0,0,Koke,2269,a,Atletico Madrid,Valencia,,2017-09-09 15:15:00,7908,2017,"(0.8059999847412109, 0.674000015258789)"
169789,RightFoot,OpenPlay,BlockedShot,0.04715600609779358,65,0,0,Fernando Torres,2271,a,Atletico Madrid,Valencia,Ángel Correa,2017-09-09 15:15:00,7908,2017,"(0.8009999847412109, 0.4879999923706055)"
169787,LeftFoot,OpenPlay,SavedShot,0.06458510458469391,61,0,0,Nicolás Gaitán,5071,a,Atletico Madrid,Valencia,Filipe Luis,2017-09-09 15:15:00,7908,2017,"(0.8819999694824219, 0.6680000305175782)"
169790,LeftFoot,OpenPlay,BlockedShot,0.023252548649907112,65,0,0,Nicolás Gaitán,5071,a,Atletico Madrid,Valencia,,2017-09-09 15:15:00,7908,2017,"(0.8109999847412109, 0.67)"
169794,LeftFoot,OpenPlay,MissedShots,0.023349540308117867,84,0,0,Nicolás Gaitán,5071,a,Atletico Madrid,Valencia,,2017-09-09 15:15:00,7908,2017,"(0.76, 0.519000015258789)"
169779,LeftFoot,OpenPlay,MissedShots,0.10716789215803146,31,0,0,Luciano Vietto,2274,a,Atletico Madrid,Valencia,Thomas Partey,2017-09-09 15:15:00,7908,2017,"(0.8719999694824219, 0.4779999923706055)"
