,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7881,Celta Vigo,Real Sociedad,1.82363,1.97071,2,3,h,2017-08-19 17:15:00
7890,Celta Vigo,Real Betis,0.261415,1.5432,1,2,a,2017-08-25 21:00:00
7902,Celta Vigo,Alaves,2.63491,0.491165,1,0,h,2017-09-10 17:30:00
7913,Celta Vigo,Espanyol,0.857512,0.707575,1,2,a,2017-09-18 20:00:00
7923,Celta Vigo,Getafe,0.732797,0.743449,1,1,h,2017-09-21 20:00:00
7934,Celta Vigo,Eibar,1.13361,1.06999,4,0,a,2017-09-24 17:30:00
7944,Celta Vigo,Girona,2.56272,1.32391,3,3,h,2017-09-29 20:00:00
7956,Celta Vigo,Las Palmas,1.68838,1.90333,5,2,a,2017-10-16 20:00:00
7967,Celta Vigo,Atletico Madrid,0.895385,1.14703,0,1,h,2017-10-23 01:15:00
7976,Celta Vigo,Malaga,1.07069,2.03731,1,2,a,2017-10-29 19:45:00
7986,Celta Vigo,Athletic Club,1.22047,1.26285,3,1,h,2017-11-05 15:15:00
7997,Celta Vigo,Sevilla,2.34863,1.48193,1,2,a,2017-11-18 17:30:00
8007,Celta Vigo,Leganes,1.34321,0.907445,1,0,h,2017-11-24 20:00:00
8018,Celta Vigo,Barcelona,1.54959,3.8047,2,2,a,2017-12-02 12:00:00
8028,Celta Vigo,Valencia,1.12881,1.36901,1,2,a,2017-12-09 19:45:00
8030,Celta Vigo,Villarreal,0.882659,0.692275,0,1,h,2017-12-17 15:15:00
8047,Celta Vigo,Deportivo La Coruna,1.56341,1.79279,3,1,a,2017-12-23 17:30:00
8056,Celta Vigo,Real Madrid,2.01847,1.95926,2,2,h,2018-01-07 19:45:00
8059,Celta Vigo,Levante,0.294559,1.87325,1,0,a,2018-01-14 11:00:00
8077,Celta Vigo,Real Sociedad,1.4667,2.06555,2,1,a,2018-01-21 17:30:00
8080,Celta Vigo,Real Betis,2.74078,1.29797,3,2,h,2018-01-29 20:00:00
8092,Celta Vigo,Alaves,1.29603,1.20482,1,2,a,2018-02-03 17:30:00
8103,Celta Vigo,Espanyol,2.33191,0.241607,2,2,h,2018-02-11 17:30:00
8113,Celta Vigo,Getafe,0.0813122,1.57227,0,3,a,2018-02-19 20:00:00
8123,Celta Vigo,Eibar,1.47741,1.7577,2,0,h,2018-02-24 12:00:00
8132,Celta Vigo,Girona,0.418862,1.25486,0,1,a,2018-02-27 20:30:00
8145,Celta Vigo,Las Palmas,1.49597,0.729207,2,1,h,2018-03-05 20:00:00
8155,Celta Vigo,Atletico Madrid,0.87523,1.6219,0,3,a,2018-03-11 15:15:00
8166,Celta Vigo,Malaga,1.38296,0.483684,0,0,h,2018-03-18 17:30:00
8176,Celta Vigo,Athletic Club,0.487787,1.85897,1,1,a,2018-03-31 00:00:00
8179,Celta Vigo,Sevilla,2.31598,1.74101,4,0,h,2018-04-07 14:15:00
8198,Celta Vigo,Leganes,0.791146,1.74594,0,1,a,2018-04-14 16:30:00
8208,Celta Vigo,Barcelona,3.39681,2.27463,2,2,h,2018-04-17 19:00:00
8218,Celta Vigo,Valencia,0.79777,2.36216,1,1,h,2018-04-21 14:15:00
8226,Celta Vigo,Villarreal,1.51033,4.36585,1,4,a,2018-04-28 00:00:00
8237,Celta Vigo,Deportivo La Coruna,0.995172,0.802341,1,1,h,2018-05-05 17:30:00
8247,Celta Vigo,Real Madrid,0.202932,1.95788,0,6,a,2018-05-12 17:30:00
8257,Celta Vigo,Levante,4.51406,0.26433,4,2,h,2018-05-19 00:00:00
