,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
169194,RightFoot,Penalty,SavedShot,0.7432776093482971,88,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,,2017-08-20 21:15:00,7886,2017,"(0.885, 0.5)"
169192,RightFoot,OpenPlay,SavedShot,0.07123751193284988,84,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,Borja Valle,2017-08-20 21:15:00,7886,2017,"(0.8180000305175781, 0.615999984741211)"
169183,Head,FromCorner,BlockedShot,0.04989544302225113,58,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,Bruno Gama,2017-08-20 21:15:00,7886,2017,"(0.9230000305175782, 0.5970000076293945)"
169178,Head,OpenPlay,SavedShot,0.023210009559988976,41,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,Juanfran,2017-08-20 21:15:00,7886,2017,"(0.87, 0.47200000762939454)"
169177,Head,OpenPlay,MissedShots,0.14826641976833344,36,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,Luisinho,2017-08-20 21:15:00,7886,2017,"(0.9390000152587891, 0.5320000076293945)"
169169,RightFoot,OpenPlay,SavedShot,0.21493284404277802,7,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,Juanfran,2017-08-20 21:15:00,7886,2017,"(0.88, 0.35700000762939454)"
169168,RightFoot,OpenPlay,SavedShot,0.037624068558216095,5,0,3,Florin Andone,4068,h,Deportivo La Coruna,Real Madrid,Celso Borges,2017-08-20 21:15:00,7886,2017,"(0.9180000305175782, 0.7080000305175781)"
169170,Head,FromCorner,MissedShots,0.08798898756504059,7,0,3,Zakaria Bakkali,2538,h,Deportivo La Coruna,Real Madrid,Fede Cartabia,2017-08-20 21:15:00,7886,2017,"(0.9590000152587891, 0.5309999847412109)"
169190,LeftFoot,OpenPlay,MissedShots,0.008878680877387524,76,0,3,Luisinho,2500,h,Deportivo La Coruna,Real Madrid,Guilherme,2017-08-20 21:15:00,7886,2017,"(0.735999984741211, 0.8180000305175781)"
169172,RightFoot,SetPiece,MissedShots,0.016687307506799698,15,0,3,Guilherme,1891,h,Deportivo La Coruna,Real Madrid,,2017-08-20 21:15:00,7886,2017,"(0.7619999694824219, 0.64)"
169180,RightFoot,OpenPlay,BlockedShot,0.020592350512742996,47,0,3,Guilherme,1891,h,Deportivo La Coruna,Real Madrid,Zakaria Bakkali,2017-08-20 21:15:00,7886,2017,"(0.749000015258789, 0.4779999923706055)"
169186,RightFoot,OpenPlay,ShotOnPost,0.06003238633275032,63,0,3,Guilherme,1891,h,Deportivo La Coruna,Real Madrid,,2017-08-20 21:15:00,7886,2017,"(0.9390000152587891, 0.26799999237060546)"
169370,LeftFoot,OpenPlay,BlockedShot,0.050051283091306686,78,2,2,Luisinho,2500,a,Deportivo La Coruna,Levante,Bruno Gama,2017-08-26 19:15:00,7898,2017,"(0.9119999694824219, 0.7180000305175781)"
169351,LeftFoot,FromCorner,MissedShots,0.014948981814086437,19,2,2,Luisinho,2500,a,Deportivo La Coruna,Levante,,2017-08-26 19:15:00,7898,2017,"(0.7809999847412109, 0.7380000305175781)"
169374,Head,FromCorner,MissedShots,0.12810072302818298,86,2,2,Celso Borges,2466,a,Deportivo La Coruna,Levante,Fede Cartabia,2017-08-26 19:15:00,7898,2017,"(0.9440000152587891, 0.4520000076293945)"
169368,Head,SetPiece,MissedShots,0.047765325754880905,76,2,2,Celso Borges,2466,a,Deportivo La Coruna,Levante,Fede Cartabia,2017-08-26 19:15:00,7898,2017,"(0.8959999847412109, 0.40099998474121096)"
169371,RightFoot,OpenPlay,MissedShots,0.14107635617256165,79,2,2,Celso Borges,2466,a,Deportivo La Coruna,Levante,Adrián,2017-08-26 19:15:00,7898,2017,"(0.925, 0.5540000152587891)"
169352,RightFoot,FromCorner,SavedShot,0.06044472008943558,19,2,2,Sidnei,2314,a,Deportivo La Coruna,Levante,Luisinho,2017-08-26 19:15:00,7898,2017,"(0.8219999694824218, 0.49700000762939456)"
169357,Head,FromCorner,Goal,0.10893475264310837,30,2,2,Sidnei,2314,a,Deportivo La Coruna,Levante,Emre Colak,2017-08-26 19:15:00,7898,2017,"(0.9430000305175781, 0.5670000076293945)"
169375,LeftFoot,FromCorner,BlockedShot,0.02746482938528061,88,2,2,Juanfran,2316,a,Deportivo La Coruna,Levante,Fede Cartabia,2017-08-26 19:15:00,7898,2017,"(0.7609999847412109, 0.36400001525878906)"
169344,LeftFoot,OpenPlay,Goal,0.11775581538677216,4,2,2,Fede Cartabia,2318,a,Deportivo La Coruna,Levante,Florin Andone,2017-08-26 19:15:00,7898,2017,"(0.8830000305175781, 0.5)"
169364,LeftFoot,OpenPlay,SavedShot,0.1010570377111435,63,2,2,Fede Cartabia,2318,a,Deportivo La Coruna,Levante,Adrián,2017-08-26 19:15:00,7898,2017,"(0.89, 0.36400001525878906)"
169377,LeftFoot,OpenPlay,MissedShots,0.01751181110739708,91,2,2,Fede Cartabia,2318,a,Deportivo La Coruna,Levante,Fabian Schär,2017-08-26 19:15:00,7898,2017,"(0.6859999847412109, 0.35200000762939454)"
169613,LeftFoot,OpenPlay,BlockedShot,0.0816793292760849,90,2,4,Lucas Pérez,1700,h,Deportivo La Coruna,Real Sociedad,Fabian Schär,2017-09-10 11:00:00,7900,2017,"(0.9, 0.37900001525878907)"
169598,Head,SetPiece,SavedShot,0.25293171405792236,46,2,4,Florin Andone,4068,h,Deportivo La Coruna,Real Sociedad,Pedro Mosquera,2017-09-10 11:00:00,7900,2017,"(0.9380000305175781, 0.44599998474121094)"
169599,RightFoot,OpenPlay,Goal,0.4570266008377075,49,2,4,Florin Andone,4068,h,Deportivo La Coruna,Real Sociedad,Adrián,2017-09-10 11:00:00,7900,2017,"(0.92, 0.49900001525878906)"
169604,RightFoot,OpenPlay,MissedShots,0.06761664152145386,58,2,4,Florin Andone,4068,h,Deportivo La Coruna,Real Sociedad,Juanfran,2017-09-10 11:00:00,7900,2017,"(0.89, 0.575)"
169590,RightFoot,FromCorner,BlockedShot,0.01667812652885914,7,2,4,Juanfran,2316,h,Deportivo La Coruna,Real Sociedad,,2017-09-10 11:00:00,7900,2017,"(0.7440000152587891, 0.4209999847412109)"
169597,LeftFoot,FromCorner,MissedShots,0.027793042361736298,45,2,4,Bruno Gama,5084,h,Deportivo La Coruna,Real Sociedad,Adrián,2017-09-10 11:00:00,7900,2017,"(0.8690000152587891, 0.7319999694824219)"
169593,RightFoot,OpenPlay,Goal,0.03918146342039108,26,2,4,Adrián,2305,h,Deportivo La Coruna,Real Sociedad,Fabian Schär,2017-09-10 11:00:00,7900,2017,"(0.9130000305175782, 0.7)"
169595,LeftFoot,DirectFreekick,BlockedShot,0.06026533246040344,32,2,4,Fede Cartabia,2318,h,Deportivo La Coruna,Real Sociedad,,2017-09-10 11:00:00,7900,2017,"(0.7830000305175782, 0.720999984741211)"
169607,RightFoot,OpenPlay,MissedShots,0.023208284750580788,66,2,4,Adrián,2305,h,Deportivo La Coruna,Real Sociedad,Florin Andone,2017-09-10 11:00:00,7900,2017,"(0.754000015258789, 0.5670000076293945)"
169592,Head,OpenPlay,MissedShots,0.04652910307049751,24,2,4,Florin Andone,4068,h,Deportivo La Coruna,Real Sociedad,Luisinho,2017-09-10 11:00:00,7900,2017,"(0.905, 0.595999984741211)"
169602,LeftFoot,DirectFreekick,SavedShot,0.034992411732673645,57,2,4,Lucas Pérez,1700,h,Deportivo La Coruna,Real Sociedad,,2017-09-10 11:00:00,7900,2017,"(0.7240000152587891, 0.255)"
169872,Head,SetPiece,BlockedShot,0.029924433678388596,75,1,2,Celso Borges,2466,a,Deportivo La Coruna,Real Betis,Fede Cartabia,2017-09-16 17:30:00,7911,2017,"(0.8959999847412109, 0.5320000076293945)"
169853,LeftFoot,OpenPlay,ShotOnPost,0.017794523388147354,22,1,2,Celso Borges,2466,a,Deportivo La Coruna,Real Betis,Fede Cartabia,2017-09-16 17:30:00,7911,2017,"(0.7319999694824219, 0.515)"
169854,LeftFoot,OpenPlay,Goal,0.016390196979045868,22,1,2,Fede Cartabia,2318,a,Deportivo La Coruna,Real Betis,,2017-09-16 17:30:00,7911,2017,"(0.7580000305175781, 0.6780000305175782)"
169876,Head,FromCorner,MissedShots,0.058522142469882965,89,1,2,Adrián,2305,a,Deportivo La Coruna,Real Betis,Lucas Pérez,2017-09-16 17:30:00,7911,2017,"(0.93, 0.40400001525878904)"
169867,Head,OpenPlay,MissedShots,0.08139226585626602,55,1,2,Adrián,2305,a,Deportivo La Coruna,Real Betis,Juanfran,2017-09-16 17:30:00,7911,2017,"(0.9290000152587891, 0.4809999847412109)"
169865,LeftFoot,DirectFreekick,MissedShots,0.030521443113684654,52,1,2,Fede Cartabia,2318,a,Deportivo La Coruna,Real Betis,,2017-09-16 17:30:00,7911,2017,"(0.68, 0.32799999237060545)"
169868,LeftFoot,OpenPlay,SavedShot,0.05169236660003662,63,1,2,Fede Cartabia,2318,a,Deportivo La Coruna,Real Betis,Adrián,2017-09-16 17:30:00,7911,2017,"(0.8680000305175781, 0.3270000076293945)"
169859,RightFoot,OpenPlay,BlockedShot,0.01320675015449524,37,1,2,Guilherme,1891,a,Deportivo La Coruna,Real Betis,Zakaria Bakkali,2017-09-16 17:30:00,7911,2017,"(0.7119999694824218, 0.6509999847412109)"
169852,RightFoot,OpenPlay,SavedShot,0.016959361732006073,20,1,2,Guilherme,1891,a,Deportivo La Coruna,Real Betis,Fernando Navarro,2017-09-16 17:30:00,7911,2017,"(0.7269999694824218, 0.6090000152587891)"
169861,RightFoot,DirectFreekick,MissedShots,0.015482422895729542,42,1,2,Fabian Schär,76,a,Deportivo La Coruna,Real Betis,,2017-09-16 17:30:00,7911,2017,"(0.43200000762939456, 0.8330000305175781)"
169866,RightFoot,OpenPlay,BlockedShot,0.027348199859261513,54,1,2,Florin Andone,4068,a,Deportivo La Coruna,Real Betis,Fernando Navarro,2017-09-16 17:30:00,7911,2017,"(0.769000015258789, 0.41700000762939454)"
169864,RightFoot,OpenPlay,BlockedShot,0.018774447962641716,48,1,2,Florin Andone,4068,a,Deportivo La Coruna,Real Betis,,2017-09-16 17:30:00,7911,2017,"(0.8290000152587891, 0.7559999847412109)"
170127,LeftFoot,OpenPlay,MissedShots,0.4107521176338196,91,1,0,Emre Colak,5080,h,Deportivo La Coruna,Alaves,Borja Valle,2017-09-20 20:00:00,7921,2017,"(0.879000015258789, 0.5570000076293945)"
170107,RightFoot,OpenPlay,MissedShots,0.027537642046809196,20,1,0,Federico Valverde,6241,h,Deportivo La Coruna,Alaves,,2017-09-20 20:00:00,7921,2017,"(0.7809999847412109, 0.605)"
170114,Head,FromCorner,MissedShots,0.09917563199996948,44,1,0,Celso Borges,2466,h,Deportivo La Coruna,Alaves,Lucas Pérez,2017-09-20 20:00:00,7921,2017,"(0.9719999694824218, 0.534000015258789)"
