,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7888,Eibar,Malaga,1.4766,0.913442,1,0,a,2017-08-21 21:00:00
7894,Eibar,Athletic Club,1.1133,1.35304,0,1,h,2017-08-27 17:15:00
7905,Eibar,Sevilla,0.690659,2.84122,0,3,a,2017-09-09 17:30:00
7915,Eibar,Leganes,0.383513,0.236029,1,0,h,2017-09-16 06:00:00
7924,Eibar,Barcelona,0.962105,2.58774,1,6,a,2017-09-19 21:00:00
7934,Eibar,Celta Vigo,1.06999,1.13361,0,4,h,2017-09-24 17:30:00
7943,Eibar,Villarreal,0.539665,2.76075,0,3,a,2017-10-01 17:30:00
7954,Eibar,Deportivo La Coruna,0.565592,0.470714,0,0,h,2017-10-15 11:00:00
7961,Eibar,Real Madrid,0.359568,1.54139,0,3,a,2017-10-22 19:45:00
7972,Eibar,Levante,1.41711,0.90967,2,2,h,2017-10-29 17:30:00
7981,Eibar,Real Sociedad,0.275872,2.41358,1,3,a,2017-11-05 17:30:00
7991,Eibar,Real Betis,2.62321,0.689499,5,0,h,2017-11-20 20:00:00
8000,Eibar,Alaves,1.08957,0.401289,2,1,a,2017-11-25 12:00:00
8010,Eibar,Espanyol,1.70062,0.266091,3,1,h,2017-12-03 17:30:00
8019,Eibar,Getafe,0.906043,0.267913,0,0,a,2017-12-09 12:00:00
8031,Eibar,Valencia,0.808252,1.09896,2,1,h,2017-12-16 17:30:00
8039,Eibar,Girona,2.47814,0.343595,4,1,h,2017-12-21 18:30:00
8049,Eibar,Las Palmas,1.69025,0.909208,2,1,a,2018-01-06 17:30:00
8067,Eibar,Atletico Madrid,0.922091,1.68244,0,1,h,2018-01-13 17:30:00
8071,Eibar,Malaga,1.43961,1.36627,1,1,h,2018-01-22 20:00:00
8082,Eibar,Athletic Club,0.488401,1.70978,1,1,a,2018-01-26 20:00:00
8095,Eibar,Sevilla,1.71804,1.72858,5,1,h,2018-02-03 12:00:00
8105,Eibar,Leganes,1.47183,0.106979,1,0,a,2018-02-10 17:30:00
8114,Eibar,Barcelona,0.511918,2.55934,0,2,h,2018-02-17 15:15:00
8123,Eibar,Celta Vigo,1.7577,1.47741,0,2,a,2018-02-24 12:00:00
8131,Eibar,Villarreal,1.00403,0.510311,1,0,h,2018-02-28 20:30:00
8143,Eibar,Deportivo La Coruna,0.601828,1.24866,1,1,a,2018-03-03 17:30:00
8152,Eibar,Real Madrid,1.39288,1.79681,1,2,h,2018-03-10 12:00:00
8162,Eibar,Levante,1.91049,1.71343,1,2,a,2018-03-16 20:00:00
8171,Eibar,Real Sociedad,0.54378,0.711691,0,0,h,2018-04-01 17:30:00
8185,Eibar,Real Betis,0.500493,2.26948,0,2,a,2018-04-07 16:30:00
8190,Eibar,Alaves,1.2615,0.118099,0,1,h,2018-04-15 10:00:00
8199,Eibar,Espanyol,0.287037,0.472484,1,0,a,2018-04-18 17:30:00
8209,Eibar,Getafe,0.401553,0.618811,0,1,h,2018-04-21 11:00:00
8219,Eibar,Valencia,1.29179,0.748181,0,0,a,2018-04-29 15:00:00
8229,Eibar,Girona,1.82278,1.57265,4,1,a,2018-05-05 12:00:00
8240,Eibar,Las Palmas,0.992038,0.514215,1,0,h,2018-05-12 17:30:00
8250,Eibar,Atletico Madrid,0.953672,1.46822,2,2,a,2018-05-20 16:00:00
