,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7883,Espanyol,Sevilla,1.09286,2.52013,1,1,a,2017-08-19 21:15:00
7892,Espanyol,Leganes,1.29777,1.22097,0,1,h,2017-08-27 17:15:00
7903,Espanyol,Barcelona,0.752988,5.54505,0,5,a,2017-09-09 19:45:00
7913,Espanyol,Celta Vigo,0.707575,0.857512,2,1,h,2017-09-18 20:00:00
7922,Espanyol,Villarreal,0.992677,1.91885,0,0,a,2017-09-21 19:00:00
7932,Espanyol,Deportivo La Coruna,3.02613,1.40609,4,1,h,2017-09-24 11:00:00
7941,Espanyol,Real Madrid,0.278294,3.02561,0,2,a,2017-10-01 19:45:00
7952,Espanyol,Levante,2.47349,0.91221,0,0,h,2017-10-13 20:00:00
7963,Espanyol,Real Sociedad,0.610458,1.33975,1,1,a,2017-10-23 19:00:00
7970,Espanyol,Real Betis,0.731922,0.378493,1,0,h,2017-10-30 20:00:00
7979,Espanyol,Alaves,0.684307,1.01634,0,1,a,2017-11-04 17:30:00
7989,Espanyol,Valencia,1.14765,1.27213,0,2,h,2017-11-19 15:15:00
7999,Espanyol,Getafe,1.26709,0.836933,1,0,h,2017-11-27 20:00:00
8010,Espanyol,Eibar,0.266091,1.70062,1,3,a,2017-12-03 17:30:00
8020,Espanyol,Girona,0.348241,1.5012,0,1,h,2017-12-11 20:00:00
8033,Espanyol,Las Palmas,2.13177,1.47394,2,2,a,2017-12-17 17:30:00
8041,Espanyol,Atletico Madrid,0.932545,0.798417,1,0,h,2017-12-22 20:30:00
8051,Espanyol,Malaga,0.300209,1.10377,1,0,a,2018-01-08 20:00:00
8062,Espanyol,Athletic Club,0.540004,1.22268,1,1,h,2018-01-14 17:30:00
8072,Espanyol,Sevilla,1.09365,1.54864,0,3,h,2018-01-20 12:00:00
8084,Espanyol,Leganes,1.40084,0.781967,2,3,a,2018-01-28 00:00:00
8093,Espanyol,Barcelona,0.928257,0.709587,1,1,h,2018-02-04 15:15:00
8103,Espanyol,Celta Vigo,0.241607,2.33191,2,2,a,2018-02-11 17:30:00
8112,Espanyol,Villarreal,1.28201,1.15691,1,1,h,2018-02-18 17:30:00
8125,Espanyol,Deportivo La Coruna,0.373435,1.76399,0,0,a,2018-02-23 20:00:00
8133,Espanyol,Real Madrid,0.787948,1.10507,1,0,h,2018-02-27 19:00:00
8141,Espanyol,Levante,1.06127,2.04187,1,1,a,2018-03-04 11:00:00
8150,Espanyol,Real Sociedad,2.49193,0.947318,2,1,h,2018-03-11 11:00:00
8160,Espanyol,Real Betis,0.175768,0.756102,0,3,a,2018-03-17 19:45:00
8169,Espanyol,Alaves,0.638324,0.537352,0,0,h,2018-04-01 11:00:00
8183,Espanyol,Valencia,1.15464,1.99031,0,1,a,2018-04-08 18:45:00
8189,Espanyol,Getafe,0.515034,0.696539,0,1,a,2018-04-15 16:30:00
8199,Espanyol,Eibar,0.472484,0.287037,0,1,h,2018-04-18 17:30:00
8210,Espanyol,Girona,0.949254,1.95052,2,0,a,2018-04-22 10:00:00
8220,Espanyol,Las Palmas,2.35325,1.7456,1,1,h,2018-04-28 00:00:00
8231,Espanyol,Atletico Madrid,1.01747,0.39488,2,0,a,2018-05-06 15:15:00
8242,Espanyol,Malaga,3.96999,1.72397,4,1,h,2018-05-13 15:15:00
8252,Espanyol,Athletic Club,1.08743,0.851602,1,0,a,2018-05-20 16:00:00
