,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
169110,Head,FromCorner,SavedShot,0.03341306373476982,53,2,2,Marc Muniesa,860,h,Girona,Atletico Madrid,,2017-08-19 19:15:00,7882,2017,"(0.845, 0.53)"
169108,RightFoot,OpenPlay,SavedShot,0.5098409056663513,41,2,2,Portu,6118,h,Girona,Atletico Madrid,Cristhian Stuani,2017-08-19 19:15:00,7882,2017,"(0.93, 0.4909999847412109)"
169101,RightFoot,OpenPlay,MissedShots,0.010376526042819023,1,2,2,Álex Granell,6116,h,Girona,Atletico Madrid,,2017-08-19 19:15:00,7882,2017,"(0.6980000305175781, 0.4640000152587891)"
169103,RightFoot,OpenPlay,MissedShots,0.01544551458209753,8,2,2,Aday Benítez,6115,h,Girona,Atletico Madrid,Borja,2017-08-19 19:15:00,7882,2017,"(0.779000015258789, 0.7580000305175781)"
169119,RightFoot,DirectFreekick,MissedShots,0.10387562215328217,88,2,2,Pedro Alcalá,6114,h,Girona,Atletico Madrid,,2017-08-19 19:15:00,7882,2017,"(0.78, 0.47299999237060547)"
169121,Head,OpenPlay,SavedShot,0.5226514339447021,92,2,2,Olarenwaju Kayode,6119,h,Girona,Atletico Madrid,Planas,2017-08-19 19:15:00,7882,2017,"(0.9580000305175781, 0.539000015258789)"
169113,RightFoot,OpenPlay,MissedShots,0.04539477452635765,76,2,2,Borja,4070,h,Girona,Atletico Madrid,Planas,2017-08-19 19:15:00,7882,2017,"(0.8440000152587891, 0.7669999694824219)"
169115,RightFoot,OpenPlay,MissedShots,0.6167426705360413,78,2,2,Cristhian Stuani,1709,h,Girona,Atletico Madrid,Portu,2017-08-19 19:15:00,7882,2017,"(0.965999984741211, 0.43599998474121093)"
169106,Head,SetPiece,Goal,0.4866962730884552,24,2,2,Cristhian Stuani,1709,h,Girona,Atletico Madrid,,2017-08-19 19:15:00,7882,2017,"(0.9459999847412109, 0.5109999847412109)"
169105,Head,OpenPlay,Goal,0.13974209129810333,21,2,2,Cristhian Stuani,1709,h,Girona,Atletico Madrid,Álex Granell,2017-08-19 19:15:00,7882,2017,"(0.9290000152587891, 0.46099998474121096)"
169102,RightFoot,OpenPlay,SavedShot,0.012370648793876171,5,2,2,Cristhian Stuani,1709,h,Girona,Atletico Madrid,Borja,2017-08-19 19:15:00,7882,2017,"(0.66, 0.610999984741211)"
169111,RightFoot,OpenPlay,MissedShots,0.026415949687361717,71,2,2,Pere Pons,6117,h,Girona,Atletico Madrid,,2017-08-19 19:15:00,7882,2017,"(0.7609999847412109, 0.4759999847412109)"
169120,LeftFoot,FromCorner,MissedShots,0.05199604481458664,91,2,2,Marc Muniesa,860,h,Girona,Atletico Madrid,Pablo Maffeo,2017-08-19 19:15:00,7882,2017,"(0.905, 0.35200000762939454)"
169525,Head,SetPiece,MissedShots,0.024137789383530617,10,1,0,Pedro Alcalá,6114,h,Girona,Malaga,Álex Granell,2017-08-26 19:15:00,7895,2017,"(0.9030000305175782, 0.355)"
